match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082592,fb2d1dda,2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,34,29,1,2,0,0,0,0,0,1,0,0,43,0,8,51,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
1082597,fb2d1dda,2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,50,30,5,3,0,0,0,0,0,0,0,0,73,0,0,73,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,Kuldeep Yadav,AS Rajpoot,TA Boult
1082600,fb2d1dda,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,45,37,3,2,0,0,0,0,0,1,0,0,56,0,8,64,S Dhawan,DA Warner,DJ Hooda,Yuvraj Singh,BCJ Cutting,NV Ojha,V Shankar,Rashid Khan,B Kumar,A Nehra,Mustafizur Rahman
1082602,fb2d1dda,2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,11,16,1,0,0,0,0,0,0,0,0,0,10,0,0,10,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,P Negi,Mandeep Singh,STR Binny,TS Mills,S Aravind,YS Chahal,S Badree
1082606,fb2d1dda,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,53,42,4,2,0,0,0,0,0,1,0,0,69,0,8,77,DR Smith,BB McCullum,SK Raina,Ishan Kishan,KD Karthik,JJ Roy,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,MM Patel
1082612,fb2d1dda,2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,62,36,0,7,0,0,0,0,0,0,0,0,90,0,0,90,HM Amla,SE Marsh,WP Saha,GJ Maxwell,MP Stoinis,AR Patel,Gurkeerat Singh,Swapnil Singh,MM Sharma,Sandeep Sharma,I Sharma
1082614,fb2d1dda,2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,8,9,1,0,0,0,0,0,0,0,0,0,9,0,0,9,SV Samson,AP Tare,KK Nair,SS Iyer,CJ Anderson,RR Pant,K Rabada,CH Morris,PJ Cummins,A Mishra,Z Khan
1082618,fb2d1dda,2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,3,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082625,fb2d1dda,2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,19,16,1,1,0,0,0,0,0,0,0,0,22,0,0,22,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,KD Karthik,RA Jadeja,JP Faulkner,IK Pathan,AJ Tye,Basil Thampi,Ankit Soni
1082628,fb2d1dda,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,N Rana,Mumbai Indians,27,29,4,0,0,0,0,0,0,0,0,0,31,0,0,31,V Kohli,Mandeep Singh,TM Head,AB de Villiers,KM Jadhav,SR Watson,P Negi,AF Milne,S Aravind,A Choudhary,YS Chahal
1082635,fb2d1dda,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,N Rana,Mumbai Indians,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,SV Samson,KK Nair,SS Iyer,RR Pant,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,A Mishra,Mohammed Shami,Z Khan
