match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
548331,addbde6c,2012-04-20,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,N Saini,Kings XI Punjab,14,12,1,0,0,0,0,0,0,1,0,0,15,0,8,23,MA Agarwal,CH Gayle,V Kohli,SS Tiwary,AB de Villiers,AB McDonald,DL Vettori,KB Arun Karthik,R Vinay Kumar,HV Patel,Z Khan
548334,addbde6c,2012-04-22,Wankhede Stadium,Indian Premier League,T20,20,N Saini,Kings XI Punjab,30,25,5,0,0,0,0,0,0,1,0,1,39,0,14,53,JEC Franklin,SR Tendulkar,RG Sharma,KD Karthik,KA Pollard,Harbhajan Singh,NLTC Perera,AT Rayudu,PP Ojha,RP Singh,MM Patel
548339,addbde6c,2012-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,N Saini,Kings XI Punjab,17,22,2,0,0,0,0,0,0,2,0,0,19,0,16,35,JEC Franklin,SR Tendulkar,RG Sharma,KD Karthik,KA Pollard,AT Rayudu,Harbhajan Singh,RJ Peterson,RP Singh,MM Patel,CJ McKay
548343,addbde6c,2012-04-28,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,N Saini,Kings XI Punjab,6,4,1,0,0,0,0,0,0,0,0,1,7,0,6,13,F du Plessis,S Badrinath,SK Raina,WP Saha,RA Jadeja,MS Dhoni,DJ Bravo,JA Morkel,KMDN Kulasekara,R Ashwin,SB Jakati
548350,addbde6c,2012-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,N Saini,Kings XI Punjab,50,36,5,0,0,0,0,0,0,1,0,0,65,0,8,73,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,AB McDonald,AUK Pathan,SS Tiwary,DL Vettori,R Vinay Kumar,Z Khan,KP Appanna
548354,addbde6c,2012-05-05,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,N Saini,Kings XI Punjab,2,10,0,0,0,0,0,0,0,1,0,0,-4,0,8,4,R Dravid,AM Rahane,SR Watson,AL Menaria,BJ Hodge,J Botha,STR Binny,AA Chavan,DH Yagnik,SW Tait,SK Trivedi
548359,addbde6c,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,N Saini,Kings XI Punjab,2,4,0,0,0,0,0,0,0,1,0,0,2,0,8,10,DJ Harris,S Dhawan,PA Patel,CL White,KC Sangakkara,PA Reddy,AA Jhunjhunwala,A Ashish Reddy,J Theron,A Mishra,V Pratap Singh
548366,addbde6c,2012-05-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,N Saini,Kings XI Punjab,3,11,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,S Dhawan,PA Patel,KC Sangakkara,CL White,DT Christian,PA Reddy,AA Jhunjhunwala,A Mishra,DW Steyn,MS Gony,TP Sudhindra
548369,addbde6c,2012-05-15,Feroz Shah Kotla,Indian Premier League,T20,20,N Saini,Kings XI Punjab,15,15,2,0,0,0,0,0,0,2,0,0,17,0,16,33,DA Warner,V Sehwag,Y Venugopal Rao,DPMD Jayawardene,LRPL Taylor,NV Ojha,IK Pathan,P Negi,M Morkel,VR Aaron,UT Yadav
548371,addbde6c,2012-05-17,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,N Saini,Kings XI Punjab,1,4,0,0,0,0,0,0,0,2,0,0,1,0,16,17,M Vijay,MEK Hussey,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,JA Morkel,S Anirudha,R Ashwin,BW Hilfenhaus,VY Mahesh
