match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082591,890946a0,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CH Gayle,Mandeep Singh,TM Head,KM Jadhav,SR Watson,Sachin Baby,STR Binny,S Aravind,TS Mills,YS Chahal,A Choudhary
1082596,890946a0,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
1082600,890946a0,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,9,10,0,0,0,0,0,0,0,0,0,0,9,0,0,9,PA Patel,JC Buttler,RG Sharma,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082604,890946a0,2017-04-15,Eden Gardens,Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,11,12,0,0,0,0,0,0,0,1,0,0,11,0,8,19,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,Kuldeep Yadav,UT Yadav,TA Boult
1082609,890946a0,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,34,22,2,1,0,0,0,0,0,0,0,0,46,0,0,46,HM Amla,M Vohra,GJ Maxwell,EJG Morgan,DA Miller,WP Saha,AR Patel,MM Sharma,KC Cariappa,I Sharma,Sandeep Sharma
1082611,890946a0,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
1082615,890946a0,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082623,890946a0,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MJ Guptill,M Vohra,SE Marsh,GJ Maxwell,EJG Morgan,WP Saha,AR Patel,Anureet Singh,MM Sharma,I Sharma,KC Cariappa
1082627,890946a0,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SP Jackson,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082630,890946a0,2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
