date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2019-03-23,MA Chidambaram Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,2,3,0,0,25,0,25,0,0,0,0,0,2,2,0,4,SR Watson,AT Rayudu,SK Raina,KM Jadhav,RA Jadeja,MS Dhoni,DJ Bravo,DL Chahar,SN Thakur,Harbhajan Singh,Imran Tahir
2019-03-28,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,25,0,40,0,0,1,0,0,0,0,8,8,Q de Kock,RG Sharma,SA Yadav,Yuvraj Singh,KA Pollard,KH Pandya,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,SL Malinga
2019-04-02,Sawai Mansingh Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,0,40,0,0,0,0,0,0,0,0,0,AM Rahane,JC Buttler,SPD Smith,RA Tripathi,BA Stokes,STR Binny,K Gowtham,JC Archer,S Gopal,VR Aaron,DS Kulkarni
2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,25,2,34,0,0,0,0,0,0,50,0,50,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
2019-04-07,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,25,2,24,0,0,1,0,0,0,54,8,62,PP Shaw,S Dhawan,SS Iyer,CA Ingram,RR Pant,CH Morris,AR Patel,R Tewatia,K Rabada,I Sharma,S Lamichhane
2019-04-13,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,KL Rahul,CH Gayle,MA Agarwal,SN Khan,SM Curran,Mandeep Singh,N Pooran,AJ Tye,R Ashwin,Mohammed Shami,M Ashwin
2019-04-15,Wankhede Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,18,0,34,0,0,1,0,0,0,-4,8,4,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,JP Behrendorff,RD Chahar,JJ Bumrah,SL Malinga
2019-04-19,Eden Gardens,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,1,31,0,0,0,0,0,0,25,0,25,CA Lynn,SP Narine,Shubman Gill,RV Uthappa,N Rana,AD Russell,KD Karthik,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
2019-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,25,2,26,0,0,0,0,0,0,52,0,52,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,Imran Tahir
2019-04-24,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,2,33,0,0,0,0,0,0,50,0,50,KL Rahul,CH Gayle,MA Agarwal,DA Miller,N Pooran,Mandeep Singh,R Ashwin,GC Viljoen,M Ashwin,AS Rajpoot,Mohammed Shami
2019-04-28,Arun Jaitley Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,1,48,0,0,0,0,0,0,21,0,21,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,SE Rutherford,AR Patel,S Lamichhane,A Mishra,K Rabada,I Sharma
2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,1,0,0,6,0,12,0,0,0,0,0,-2,0,0,-2,SV Samson,LS Livingstone,AM Rahane,SPD Smith,R Parag,STR Binny,MK Lomror,S Gopal,JD Unadkat,VR Aaron,O Thomas
2019-05-04,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,24,2,40,0,0,0,0,0,0,50,0,50,WP Saha,MJ Guptill,MK Pandey,KS Williamson,V Shankar,YK Pathan,Mohammad Nabi,Rashid Khan,B Kumar,KK Ahmed,Basil Thampi
2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,18,1,23,0,0,0,0,0,0,25,0,25,Shubman Gill,RA Tripathi,N Rana,T Banton,KD Karthik,EJG Morgan,PJ Cummins,Kuldeep Yadav,LH Ferguson,M Prasidh Krishna,CV Varun
2020-10-31,Sharjah Cricket Stadium,Indian Premier League,T20,20,Navdeep Saini,Royal Challengers Bangalore,0,0,0,0,12,1,30,0,0,0,0,0,0,19,0,19,DA Warner,WP Saha,MK Pandey,KS Williamson,Abhishek Sharma,JO Holder,Abdul Samad,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan
