date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2010-03-12,Dr DY Patil Sports Academy,Indian Premier League,T20,20,OA Shah,Kolkata Knight Riders,58,46,3,3,0,0,0,0,0,0,0,0,75,0,0,75,AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds,RG Sharma,Anirudh Singh,TL Suman,WPUJC Vaas,Jaskaran Singh,RP Singh,PP Ojha
2010-03-14,Eden Gardens,Indian Premier League,T20,20,OA Shah,Kolkata Knight Riders,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,JH Kallis,SP Goswami,MK Pandey,V Kohli,EJG Morgan,R Dravid,RV Uthappa,RE van der Merwe,P Kumar,A Kumble,DW Steyn
2010-03-16,Eden Gardens,Indian Premier League,T20,20,OA Shah,Kolkata Knight Riders,5,4,1,0,0,0,0,0,0,0,0,0,6,0,0,6,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JM Kemp,JA Morkel,R Ashwin,L Balaji,M Muralitharan,MS Gony
2010-03-20,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,OA Shah,Kolkata Knight Riders,19,18,0,2,0,0,0,0,0,0,0,0,23,0,0,23,MJ Lumb,NV Ojha,FY Fazal,AA Jhunjhunwala,YK Pathan,AC Voges,P Dogra,SK Warne,MM Patel,SK Trivedi,SW Tait
2010-03-22,Brabourne Stadium,Indian Premier League,T20,20,OA Shah,Kolkata Knight Riders,31,23,3,0,0,0,0,0,0,0,0,0,40,0,0,40,S Dhawan,SR Tendulkar,SS Tiwary,KA Pollard,R Sathish,AP Tare,DJ Bravo,R McLaren,Harbhajan Singh,Z Khan,SL Malinga
2011-05-13,Holkar Cricket Stadium,Indian Premier League,T20,20,OA Shah,Kochi Tuskers Kerala,23,13,1,2,0,0,0,0,0,0,0,0,34,0,0,34,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,DJ Hussey,Mandeep Singh,Bipul Sharma,SJ Srivastava,PP Chawla,RJ Harris,BA Bhatt
2011-05-15,Holkar Cricket Stadium,Indian Premier League,T20,20,OA Shah,Kochi Tuskers Kerala,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,FY Fazal,R Dravid,SR Watson,AM Rahane,AL Menaria,PR Shah,JDP Oram,SK Warne,AA Chavan,SW Tait,ND Doshi
2011-05-18,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,OA Shah,Kochi Tuskers Kerala,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,MEK Hussey,M Vijay,SK Raina,S Badrinath,WP Saha,MS Dhoni,JA Morkel,DJ Bravo,R Ashwin,DE Bollinger,SB Jakati
2012-04-06,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,14,9,2,0,0,0,0,0,0,0,0,0,16,0,0,16,AC Gilchrist,PC Valthaty,SE Marsh,AM Nayar,DJ Hussey,Mandeep Singh,Bipul Sharma,PP Chawla,JP Faulkner,P Kumar,Harmeet Singh
2012-04-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,23,11,2,1,0,0,0,0,0,1,0,0,33,0,8,41,JH Kallis,BB McCullum,G Gambhir,MK Tiwary,DB Das,YK Pathan,R Bhatia,LR Shukla,B Lee,SP Narine,Iqbal Abdulla
2012-04-11,Wankhede Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,76,43,5,5,0,0,0,0,0,0,0,0,105,0,0,105,RE Levi,TL Suman,RG Sharma,AT Rayudu,KA Pollard,KD Karthik,JEC Franklin,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
2012-04-13,Eden Gardens,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,31,36,3,0,0,0,0,0,0,0,0,0,38,0,0,38,JH Kallis,G Gambhir,MS Bisla,MK Tiwary,Shakib Al Hasan,YK Pathan,RN ten Doeschate,DB Das,R Bhatia,L Balaji,SP Narine
2012-04-15,M Chinnaswamy Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,60,27,5,5,0,0,0,0,0,1,0,0,89,0,8,97,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,M Kaif,DL Vettori,R Vinay Kumar,Z Khan,S Aravind,M Muralitharan
2012-04-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,12,12,1,0,0,0,0,0,0,0,0,0,13,0,0,13,KC Sangakkara,S Dhawan,DT Christian,JP Duminy,B Chipli,T Mishra,AA Jhunjhunwala,Ankit Sharma,A Mishra,DW Steyn,Anand Rajan
2012-04-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,OA Shah,Rajasthan Royals,52,45,4,3,0,0,0,0,0,0,0,0,70,0,0,70,S Badrinath,F du Plessis,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,WP Saha,R Ashwin,KMDN Kulasekara,SB Jakati,DE Bollinger
2012-04-23,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,10,15,0,1,0,0,0,0,0,0,0,0,10,0,0,10,V Kohli,TM Dilshan,MA Agarwal,CH Gayle,AB de Villiers,SS Tiwary,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
2012-04-29,Feroz Shah Kotla,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor,Y Nagar,NV Ojha,IK Pathan,AB Agarkar,M Morkel,S Nadeem,UT Yadav
2012-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,1,3,0,0,0,0,0,0,0,1,0,0,1,0,8,9,DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor,Y Nagar,NV Ojha,IK Pathan,P Negi,M Morkel,S Nadeem,UT Yadav
2012-05-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,4,7,0,0,0,0,0,0,0,0,0,1,4,0,6,10,SC Ganguly,MJ Clarke,RV Uthappa,AP Majumdar,SPD Smith,AD Mathews,M Manhas,WD Parnell,B Kumar,M Kartik,A Nehra
2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,OA Shah,Rajasthan Royals,28,34,1,0,0,0,0,0,0,2,0,0,29,0,16,45,PA Reddy,S Dhawan,JP Duminy,CL White,CA Lynn,PA Patel,A Ashish Reddy,A Mishra,DW Steyn,MS Gony,V Pratap Singh
2012-05-20,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,28,26,1,1,0,0,0,0,0,0,0,0,31,0,0,31,SR Tendulkar,DR Smith,RG Sharma,KD Karthik,JEC Franklin,AT Rayudu,KA Pollard,Harbhajan Singh,SL Malinga,RP Singh,DS Kulkarni
2013-04-29,Sawai Mansingh Stadium,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A Mukund,CH Gayle,V Kohli,AB de Villiers,MC Henriques,SS Tiwary,R Rampaul,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat
2013-05-03,Eden Gardens,Indian Premier League,T20,20,OA Shah,Rajasthan Royals,24,23,2,0,0,0,0,0,0,0,0,0,26,0,0,26,G Gambhir,MS Bisla,JH Kallis,YK Pathan,EJG Morgan,DB Das,R Bhatia,S Narwal,SMSM Senanayake,Iqbal Abdulla,SP Narine
