match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082593,e938e1bc,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,P Kumar,Gujarat Lions,0,0,0,0,12,0,13,0,0,0,0,0,0,2,0,2,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,PP Chawla,Kuldeep Yadav,SP Narine,TA Boult
1082596,e938e1bc,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,P Kumar,Gujarat Lions,7,7,0,0,12,1,16,0,0,0,0,0,7,25,0,32,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
1082603,e938e1bc,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,P Kumar,Gujarat Lions,0,0,0,0,24,1,51,0,0,0,0,0,0,19,0,19,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,Ankit Sharma,SN Thakur,LH Ferguson,RD Chahar,Imran Tahir
1082606,e938e1bc,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,P Kumar,Gujarat Lions,0,0,0,0,15,1,25,0,0,0,0,0,0,25,0,25,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,HH Pandya,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082613,e938e1bc,2017-04-21,Eden Gardens,Indian Premier League,T20,20,P Kumar,Gujarat Lions,0,0,0,0,12,1,24,0,0,0,0,0,0,21,0,21,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,Shakib Al Hasan,CR Woakes,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
1082643,e938e1bc,2017-05-13,Green Park,Indian Premier League,T20,20,P Kumar,Gujarat Lions,1,2,0,0,24,2,25,0,0,0,0,0,1,52,0,53,DA Warner,S Dhawan,MC Henriques,V Shankar,DJ Hooda,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
335982,e938e1bc,2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,18,17,1,2,24,0,41,0,0,1,0,0,23,-2,8,29,SC Ganguly,BB McCullum,RT Ponting,DJ Hussey,Mohammad Hafeez,LR Shukla,WP Saha,AB Agarkar,AB Dinda,M Kartik,I Sharma
335985,e938e1bc,2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,0,0,0,0,24,1,29,0,0,0,0,0,0,25,0,25,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni
335992,e938e1bc,2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,34,30,2,3,18,1,42,0,0,0,0,0,46,19,0,65,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
335996,e938e1bc,2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,6,5,0,0,24,2,29,0,0,0,0,0,6,50,0,56,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,Joginder Sharma,P Amarnath,MS Gony
335998,e938e1bc,2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,6,5,1,0,24,0,24,0,0,1,0,0,7,2,8,17,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,DL Vettori,Mohammad Asif,VY Mahesh,GD McGrath
336006,e938e1bc,2008-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,0,2,0,0,24,2,22,0,1,0,0,0,-2,66,0,64,SE Marsh,JR Hopes,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,U Kaul,Gagandeep Singh,S Sreesanth,VRV Singh
336010,e938e1bc,2008-05-08,Eden Gardens,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,4,2,1,0,18,1,37,0,0,0,0,0,5,19,0,24,A Chopra,BJ Hodge,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,M Kartik,Umar Gul,I Sharma,AB Dinda
336012,e938e1bc,2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,8,11,1,0,12,0,21,0,0,0,0,0,9,-2,0,7,ST Jayasuriya,SR Tendulkar,RV Uthappa,DR Smith,AM Nayar,SM Pollock,MK Pandey,YV Takawale,DS Kulkarni,CRD Fernando,A Nehra
336016,e938e1bc,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,5,7,0,0,16,0,15,0,0,0,0,0,5,4,0,9,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh
336023,e938e1bc,2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,0,1,0,0,24,0,31,0,0,0,0,0,-2,0,0,-2,GC Smith,SA Asnodkar,SR Watson,YK Pathan,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336026,e938e1bc,2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,2,5,0,0,12,1,34,0,0,0,0,0,2,19,0,21,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,S Dhawan,KD Karthik,MF Maharoof,R Bhatia,VY Mahesh,PJ Sangwan,GD McGrath
336029,e938e1bc,2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,21,11,2,1,24,1,27,0,0,0,0,0,31,27,0,58,PA Patel,SP Fleming,MS Dhoni,SK Raina,S Badrinath,JA Morkel,S Vidyut,MS Gony,L Balaji,M Ntini,M Muralitharan
336034,e938e1bc,2008-05-03,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,8,4,2,0,24,3,24,1,0,0,0,0,10,89,0,99,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,SB Styris,AS Yadav,SB Bangar,RP Singh,DP Vijaykumar,PP Ojha
392182,e938e1bc,2009-04-18,Newlands,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,8,10,0,1,19,2,7,0,0,0,0,0,10,56,0,66,GC Smith,SA Asnodkar,NK Patel,T Henderson,YK Pathan,AD Mascarenhas,RA Jadeja,SK Warne,M Rawat,MM Patel,Kamran Khan
392185,e938e1bc,2009-04-20,St George's Park,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,0,3,0,0,24,2,38,0,0,0,0,0,-2,50,0,48,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,Joginder Sharma,L Balaji,MS Gony,M Muralitharan
392188,e938e1bc,2009-04-22,Newlands,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,14,6,0,2,24,1,41,1,0,1,0,0,18,31,8,57,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,DB Ravi Teja,FH Edwards,Harmeet Singh,PP Ojha,RP Singh
392191,e938e1bc,2009-04-24,Kingsmead,Indian Premier League,T20,20,P Kumar,Royal Challengers Bangalore,13,7,0,1,24,0,37,0,0,0,0,0,15,0,0,15,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,VRV Singh,RR Bose,YA Abdulla
