match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082595,f62772e5,2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,10,8,0,1,6,2,3,1,0,0,0,0,12,58,0,70,AP Tare,SW Billings,KK Nair,SV Samson,RR Pant,CH Morris,CR Brathwaite,PJ Cummins,A Mishra,S Nadeem,Z Khan
1082598,f62772e5,2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,M Vohra,HM Amla,AR Patel,GJ Maxwell,WP Saha,DA Miller,MP Stoinis,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
1082602,f62772e5,2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,13,13,0,0,12,0,29,0,0,0,0,0,13,-6,0,7,PA Patel,JC Buttler,RG Sharma,MJ McClenaghan,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,JJ Bumrah,TG Southee
1082607,f62772e5,2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,10,7,0,1,18,1,13,0,0,0,0,0,12,31,0,43,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,DT Christian,MK Tiwary,SN Thakur,JD Unadkat,RD Chahar,Imran Tahir
1082610,f62772e5,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,0,0,0,24,1,21,0,0,0,1,1,0,29,18,47,DR Smith,BB McCullum,SK Raina,AJ Finch,KD Karthik,RA Jadeja,Ishan Kishan,AJ Tye,Basil Thampi,DS Kulkarni,S Kaushik
1082617,f62772e5,2017-04-23,Eden Gardens,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,2,3,0,0,18,2,15,0,0,0,0,0,2,54,0,56,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082621,f62772e5,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,32,19,3,2,12,1,24,0,0,0,0,0,47,21,0,68,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,RA Jadeja,KD Karthik,JP Faulkner,AJ Tye,Basil Thampi,NB Singh,Ankit Soni
1082624,f62772e5,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,3,7,0,0,24,1,18,0,0,0,0,0,3,31,0,34,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,JD Unadkat,DL Chahar,Imran Tahir
1082628,f62772e5,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,35,23,1,3,24,3,18,0,0,0,0,0,50,85,0,135,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,KV Sharma,HH Pandya,MJ McClenaghan,SL Malinga,JJ Bumrah
1082633,f62772e5,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,21,25,2,0,18,1,22,0,0,1,0,0,23,25,8,56,HM Amla,MJ Guptill,SE Marsh,M Vohra,WP Saha,GJ Maxwell,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
1082636,f62772e5,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,5,3,1,0,19,2,21,1,0,1,1,0,6,60,20,86,CA Lynn,SP Narine,C de Grandhomme,G Gambhir,MK Pandey,YK Pathan,SP Jackson,CR Woakes,UT Yadav,PP Chawla,AS Rajpoot
1082646,f62772e5,2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,13,6,3,0,12,3,10,1,0,0,1,0,16,91,12,119,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan
1136571,f62772e5,2018-04-15,M.Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,3,4,0,0,6,0,13,0,0,0,0,0,3,0,0,3,AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
1136584,f62772e5,2018-04-25,M.Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,1,0,0,18,1,36,0,0,0,0,0,-2,21,0,19,SR Watson,AT Rayudu,SK Raina,SW Billings,RA Jadeja,MS Dhoni,DJ Bravo,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1175372,f62772e5,2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,0,0,0,19,2,21,1,0,1,0,0,0,60,8,68,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
1178395,f62772e5,2019-04-07,M.Chinnaswamy Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,1,0,0,18,1,28,0,0,0,0,0,-2,25,0,23,PP Shaw,S Dhawan,SS Iyer,CA Ingram,RR Pant,CH Morris,AR Patel,R Tewatia,K Rabada,I Sharma,S Lamichhane
1178403,f62772e5,2019-04-13,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KL Rahul,CH Gayle,MA Agarwal,SN Khan,SM Curran,Mandeep Singh,N Pooran,AJ Tye,R Ashwin,Mohammed Shami,M Ashwin
1178406,f62772e5,2019-04-15,Wankhede Stadium,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,2,0,0,24,0,47,0,0,0,0,0,-2,-4,0,-6,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,JP Behrendorff,RD Chahar,JJ Bumrah,SL Malinga
1178410,f62772e5,2019-04-19,Eden Gardens,Indian Premier League,T20,20,P Negi,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,CA Lynn,SP Narine,Shubman Gill,RV Uthappa,N Rana,AD Russell,KD Karthik,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
