date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,43,23,2,4,0,0,0,0,0,0,0,0,63,0,0,63,F du Plessis,Anuj Rawat,V Kohli,KD Karthik,SE Rutherford,DJ Willey,Shahbaz Ahmed,PWH de Silva,HV Patel,Mohammed Siraj,Akash Deep
2022-04-01,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,31,9,3,3,0,0,0,0,0,0,0,0,44,0,0,44,AM Rahane,VR Iyer,SS Iyer,SW Billings,N Rana,AD Russell,SP Narine,TG Southee,UT Yadav,CV Varun,Shivam Mavi
2022-04-03,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,9,6,0,1,0,0,0,0,0,0,0,0,11,0,0,11,RV Uthappa,RD Gaikwad,MM Ali,AT Rayudu,RA Jadeja,S Dube,MS Dhoni,DJ Bravo,D Pretorius,CJ Jordan,Mukesh Choudhary
2022-04-25,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,42,35,2,2,0,0,0,0,0,0,0,0,52,0,0,52,RD Gaikwad,RV Uthappa,MJ Santner,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
2022-04-29,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,9,8,1,0,0,0,0,0,0,0,0,0,10,0,0,10,Q de Kock,KL Rahul,DJ Hooda,KH Pandya,MP Stoinis,A Badoni,JO Holder,PVD Chameera,Mohsin Khan,Avesh Khan,Ravi Bishnoi
2022-05-03,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,40,29,5,1,0,0,0,0,0,0,0,0,53,0,0,53,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,Rashid Khan,PJ Sangwan,LH Ferguson,AS Joseph,Mohammed Shami
2022-05-07,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,27,18,2,2,0,0,0,0,0,1,0,0,35,0,8,43,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-13,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,1,3,0,0,0,0,0,0,0,2,0,0,1,0,16,17,V Kohli,F du Plessis,RM Patidar,MK Lomror,GJ Maxwell,KD Karthik,Shahbaz Ahmed,HV Patel,PWH de Silva,Mohammed Siraj,JR Hazlewood
2022-05-16,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,4,6,1,0,0,0,0,0,0,1,0,0,5,0,8,13,DA Warner,SN Khan,MR Marsh,Lalit Yadav,RR Pant,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed
2023-04-01,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,50,32,5,2,0,0,0,0,0,0,0,0,71,0,0,71,Mandeep Singh,Rahmanullah Gurbaz,AS Roy,VR Iyer,N Rana,RK Singh,AD Russell,SN Thakur,SP Narine,TG Southee,UT Yadav
2023-04-05,"Barsapara Cricket Stadium, Guwahati",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,YBK Jaiswal,R Ashwin,JC Buttler,SV Samson,D Padikkal,R Parag,SO Hetmyer,Dhruv Jurel,JO Holder,YS Chahal,TA Boult
2023-04-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,20,28,1,0,0,0,0,0,0,0,0,0,21,0,0,21,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,Rashid Khan,AS Joseph,Mohammed Shami,MM Sharma,J Little
2023-05-08,"Eden Gardens, Kolkata",Indian Premier League,T20,20,PBB Rajapaksa,Punjab Kings,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Suyash Sharma,JJ Roy,Rahmanullah Gurbaz,N Rana,VR Iyer,AD Russell,RK Singh,SN Thakur,SP Narine,Harshit Rana,VG Arora
