match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082595,ded9240e,2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,6,6,1,0,24,1,30,1,0,0,0,0,7,33,0,40,CH Gayle,SR Watson,Mandeep Singh,KM Jadhav,STR Binny,Vishnu Vinod,P Negi,Iqbal Abdulla,TS Mills,YS Chahal,B Stanlake
1082599,ded9240e,2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,0,0,0,0,19,2,25,0,1,0,0,0,0,62,0,62,AM Rahane,MA Agarwal,F du Plessis,RA Tripathi,BA Stokes,MS Dhoni,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
1082605,ded9240e,2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,12,6,2,0,24,2,24,1,0,0,0,0,14,60,0,74,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
1082608,ded9240e,2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,3,4,0,0,24,2,40,0,0,0,0,0,3,50,0,53,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
1082611,ded9240e,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,0,0,0,0,25,0,38,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
1082614,ded9240e,2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,4,5,0,0,24,2,22,0,0,1,0,0,4,54,8,66,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
1082622,ded9240e,2017-04-28,Eden Gardens,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,SP Narine,G Gambhir,RV Uthappa,MK Pandey,SP Jackson,YK Pathan,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082632,ded9240e,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,0,0,0,0,24,2,31,0,0,0,0,0,0,50,0,50,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
1082635,ded9240e,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,10,10,0,1,24,0,65,0,0,0,0,0,12,-6,0,6,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082640,ded9240e,2017-05-10,Green Park,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,24,13,2,1,24,1,39,1,0,0,0,0,34,33,0,67,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
1082642,ded9240e,2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,11,7,0,1,24,2,35,1,0,0,0,0,13,58,0,71,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
1082646,ded9240e,2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,PJ Cummins,Delhi Daredevils,7,3,0,1,24,2,22,1,0,0,0,1,9,62,6,77,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal
1216494,ded9240e,2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,4,17,0,0,18,0,20,0,0,0,0,0,-2,2,0,0,D Padikkal,AJ Finch,Gurkeerat Singh,V Kohli,AB de Villiers,CH Morris,Washington Sundar,I Udana,Navdeep Saini,YS Chahal,Mohammed Siraj
1216497,ded9240e,2020-10-24,Sheikh Zayed Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,0,0,0,0,24,3,17,2,0,0,0,0,0,101,0,101,AM Rahane,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,K Rabada,R Ashwin,TU Deshpande,A Nortje
1216501,ded9240e,2020-10-07,Sheikh Zayed Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,17,10,1,1,24,0,26,0,0,0,0,0,24,2,0,26,SR Watson,F du Plessis,AT Rayudu,MS Dhoni,SM Curran,KM Jadhav,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,KV Sharma
1216504,ded9240e,2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,12,10,1,0,18,1,15,0,0,0,0,0,13,29,0,42,JC Buttler,SPD Smith,SV Samson,RV Uthappa,R Parag,R Tewatia,TK Curran,S Gopal,JC Archer,JD Unadkat,AS Rajpoot
1216508,ded9240e,2020-09-23,Sheikh Zayed Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,33,14,1,4,18,0,49,0,0,2,0,0,52,-6,16,62,Q de Kock,RG Sharma,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1216512,ded9240e,2020-10-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,0,0,0,0,24,1,32,0,0,0,0,0,0,25,0,25,JM Bairstow,KS Williamson,PK Garg,DA Warner,MK Pandey,V Shankar,Abdul Samad,Rashid Khan,Sandeep Sharma,Basil Thampi,T Natarajan
1216515,ded9240e,2020-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,5,4,1,0,24,0,49,0,0,0,0,0,6,-6,0,0,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,R Ashwin,K Rabada,A Nortje,A Mishra,HV Patel
1216520,ded9240e,2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,PJ Cummins,Kolkata Knight Riders,1,8,0,0,24,0,31,0,0,0,0,0,1,0,0,1,KL Rahul,Mandeep Singh,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
