match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1216495,bb965e9a,2020-11-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,SS Tiwary,KA Pollard,NM Coulter-Nile,JL Pattinson,DS Kulkarni,RD Chahar
1216498,bb965e9a,2020-10-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,KL Rahul,Mandeep Singh,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1216507,bb965e9a,2020-10-11,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,15,8,1,1,0,0,0,0,0,0,0,0,18,0,0,18,BA Stokes,JC Buttler,SPD Smith,SV Samson,RV Uthappa,R Parag,R Tewatia,JC Archer,S Gopal,JD Unadkat,Kartik Tyagi
1216512,bb965e9a,2020-10-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,4,7,0,0,0,0,0,0,0,2,0,0,4,0,16,20,Shubman Gill,RA Tripathi,N Rana,AD Russell,EJG Morgan,KD Karthik,PJ Cummins,LH Ferguson,Kuldeep Yadav,Shivam Mavi,CV Varun
1216516,bb965e9a,2020-10-02,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,51,27,6,1,0,0,0,0,0,0,0,0,73,0,0,73,F du Plessis,SR Watson,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,SM Curran,DJ Bravo,SN Thakur,PP Chawla,DL Chahar
1216518,bb965e9a,2020-10-22,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RV Uthappa,BA Stokes,SV Samson,JC Buttler,SPD Smith,R Parag,R Tewatia,JC Archer,S Gopal,AS Rajpoot,Kartik Tyagi
1216524,,2020-10-27,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,DA Warner,WP Saha,MK Pandey,KS Williamson,V Shankar,Abdul Samad,JO Holder,Rashid Khan,Sandeep Sharma,T Natarajan,S Nadeem
1216528,bb965e9a,2020-10-13,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,16,21,1,0,0,0,0,0,0,0,0,0,17,0,0,17,SM Curran,F du Plessis,SR Watson,AT Rayudu,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,PP Chawla,SN Thakur,KV Sharma
1216532,bb965e9a,2020-09-29,Sheikh Zayed Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,PP Shaw,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,K Rabada,A Nortje,A Mishra,I Sharma
1216534,bb965e9a,2020-09-21,Dubai International Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,12,13,1,0,0,0,0,0,0,0,0,0,13,0,0,13,D Padikkal,AJ Finch,V Kohli,AB de Villiers,S Dube,JR Philippe,Washington Sundar,UT Yadav,Navdeep Saini,DW Steyn,YS Chahal
1216538,bb965e9a,2020-10-04,Sharjah Cricket Stadium,Indian Premier League,T20,20,PK Garg,Sunrisers Hyderabad,8,7,0,0,0,0,0,0,0,0,0,0,8,0,0,8,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
