match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
598049,6aed7e79,2013-05-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,V Sehwag,CM Gautam,DA Warner,BJ Rohrer,KM Jadhav,AB Agarkar,M Morkel,UT Yadav,P Negi,S Kaul
598063,6aed7e79,2013-05-15,Wankhede Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,1,38,0,0,0,0,0,0,25,0,25,GJ Maxwell,AP Tare,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha
598065,6aed7e79,2013-05-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,3,6,0,0,18,0,23,0,0,0,0,0,3,0,0,3,PA Patel,S Dhawan,GH Vihari,CL White,BB Samantray,DJG Sammy,NLTC Perera,DW Steyn,KV Sharma,A Mishra,I Sharma
729285,6aed7e79,2014-04-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,AJ Finch,S Dhawan,DA Warner,KL Rahul,DJG Sammy,Y Venugopal Rao,KV Sharma,DW Steyn,A Mishra,B Kumar,I Sharma
729291,6aed7e79,2014-04-20,Sharjah Cricket Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,CA Pujara,V Sehwag,WP Saha,GJ Maxwell,DA Miller,GJ Bailey,MG Johnson,M Kartik,AR Patel,P Awana,L Balaji
729297,6aed7e79,2014-04-23,Dubai International Cricket Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,2,2,0,0,24,1,27,0,0,0,0,0,2,27,0,29,DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,M Manhas,R Ashwin,BW Hilfenhaus,IC Pandey,MM Sharma
729305,6aed7e79,2014-04-26,Sheikh Zayed Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,4,20,1,0,0,0,0,0,120,0,120,PA Patel,YV Takawale,V Kohli,Yuvraj Singh,AB de Villiers,S Rana,JA Morkel,MA Starc,R Rampaul,AB Dinda,YS Chahal
729315,6aed7e79,2014-04-29,Sheikh Zayed Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,2,32,1,0,0,0,0,0,58,0,58,G Gambhir,MS Bisla,JH Kallis,MK Pandey,SA Yadav,Shakib Al Hasan,RV Uthappa,R Vinay Kumar,PP Chawla,SP Narine,M Morkel
733975,6aed7e79,2014-05-03,Feroz Shah Kotla,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,2,26,0,0,0,0,0,0,52,0,52,Q de Kock,M Vijay,KP Pietersen,KD Karthik,JP Duminy,KM Jadhav,WD Parnell,S Nadeem,Mohammed Shami,JD Unadkat,R Sharma
733979,6aed7e79,2014-05-05,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,3,26,1,0,0,1,0,0,89,12,101,RV Uthappa,G Gambhir,AD Russell,MK Pandey,Shakib Al Hasan,YK Pathan,RN ten Doeschate,SA Yadav,R Vinay Kumar,SP Narine,UT Yadav
733989,6aed7e79,2014-05-08,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,3,7,0,0,24,1,22,0,0,0,1,0,3,29,12,44,S Dhawan,AJ Finch,KL Rahul,NV Ojha,DA Warner,MC Henriques,IK Pathan,KV Sharma,DW Steyn,A Mishra,B Kumar
733999,6aed7e79,2014-05-11,M Chinnaswamy Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,1,39,0,0,0,0,0,0,25,0,25,V Kohli,CH Gayle,VH Zol,AB de Villiers,Yuvraj Singh,JA Morkel,PA Patel,MA Starc,VR Aaron,YS Chahal,AB Dinda
734003,6aed7e79,2014-05-13,JSCA International Stadium Complex,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,0,35,0,0,0,0,0,0,0,0,0,DR Smith,BB McCullum,SK Raina,F du Plessis,R Ashwin,MS Dhoni,RA Jadeja,V Shankar,IC Pandey,MM Sharma,S Badree
734011,6aed7e79,2014-05-15,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,18,1,24,0,0,0,0,0,0,25,0,25,KP Pietersen,MA Agarwal,KD Karthik,JP Duminy,MK Tiwary,LRPL Taylor,KM Jadhav,S Nadeem,Imran Tahir,R Shukla,S Kaul
734033,6aed7e79,2014-05-23,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,24,0,38,0,0,0,0,0,0,0,0,0,V Sehwag,M Vohra,SE Marsh,WP Saha,DA Miller,GJ Bailey,AR Patel,R Dhawan,Karanveer Singh,BE Hendricks,L Balaji
734041,6aed7e79,2014-05-25,Wankhede Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,12,0,25,0,0,0,0,0,0,-6,0,-6,LMP Simmons,MEK Hussey,CJ Anderson,KA Pollard,RG Sharma,AT Rayudu,AP Tare,Harbhajan Singh,S Gopal,PP Ojha,JJ Bumrah
829709,6aed7e79,2015-04-10,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,PV Tambe,Rajasthan Royals,0,0,0,0,18,0,15,0,0,0,0,0,0,4,0,4,V Sehwag,M Vijay,WP Saha,GJ Maxwell,AR Patel,DA Miller,GJ Bailey,MG Johnson,Anureet Singh,Karanveer Singh,Sandeep Sharma
