match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1254087,a97c8ec2,2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,1,0,0,12,0,20,0,0,0,0,0,-2,0,0,-2,Shubman Gill,VR Iyer,AD Russell,N Rana,RA Tripathi,EJG Morgan,KD Karthik,LH Ferguson,SP Narine,CV Varun,M Prasidh Krishna
1254113,a97c8ec2,2021-09-24,Sharjah Cricket Stadium,Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,1,1,0,0,24,0,40,0,0,0,0,0,1,0,0,1,RD Gaikwad,F du Plessis,MM Ali,AT Rayudu,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,JR Hazlewood
1304049,a97c8ec2,2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,0,0,0,24,1,40,0,0,0,0,0,0,25,0,25,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,RA Bawa,M Shahrukh Khan,OF Smith,Harpreet Brar,Arshdeep Singh,Sandeep Sharma,RD Chahar
1304052,a97c8ec2,2022-03-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,4,3,1,0,24,4,20,1,0,0,0,0,5,120,0,125,AM Rahane,VR Iyer,SS Iyer,N Rana,SP Narine,SW Billings,SP Jackson,AD Russell,TG Southee,UT Yadav,CV Varun
1304059,a97c8ec2,2022-04-05,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,0,0,0,24,1,32,0,0,0,0,0,0,25,0,25,JC Buttler,YBK Jaiswal,D Padikkal,SV Samson,SO Hetmyer,R Parag,R Ashwin,Navdeep Saini,TA Boult,YS Chahal,M Prasidh Krishna
1304064,a97c8ec2,2022-04-09,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,0,0,0,24,2,28,2,0,0,0,0,0,66,0,66,Ishan Kishan,RG Sharma,D Brevis,SA Yadav,Tilak Varma,KA Pollard,Ramandeep Singh,JD Unadkat,M Ashwin,JJ Bumrah,Basil Thampi
1304068,a97c8ec2,2022-04-12,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,7,3,0,1,18,2,40,0,0,0,0,0,9,44,0,53,RD Gaikwad,RV Uthappa,MM Ali,S Dube,RA Jadeja,MS Dhoni,AT Rayudu,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
1304073,a97c8ec2,2022-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,0,0,0,24,2,41,1,0,0,0,1,0,56,6,62,PP Shaw,DA Warner,MR Marsh,RR Pant,R Powell,Lalit Yadav,SN Thakur,AR Patel,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
1304077,a97c8ec2,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,Q de Kock,KL Rahul,MK Pandey,KH Pandya,DJ Hooda,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Ravi Bishnoi,Avesh Khan
1304082,a97c8ec2,2022-04-23,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,PWH de Silva,Royal Challengers Bangalore,8,20,1,0,6,0,7,0,0,0,0,0,3,0,0,3,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,J Suchith,B Kumar,M Jansen,T Natarajan,Umran Malik
