date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2013-05-09,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,Parvez Rasool,Pune Warriors,1,4,0,0,24,1,24,0,0,0,0,0,1,27,0,28,MS Bisla,G Gambhir,JH Kallis,EJG Morgan,RN ten Doeschate,YK Pathan,MK Tiwary,R Bhatia,Iqbal Abdulla,SP Narine,L Balaji
2013-05-11,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,Parvez Rasool,Pune Warriors,4,5,0,0,6,0,5,0,0,0,0,0,4,0,0,4,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,GJ Maxwell,Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha,AN Ahmed
2014-05-20,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Parvez Rasool,Sunrisers Hyderabad,0,0,0,0,24,1,26,0,0,1,0,0,0,27,8,35,CH Gayle,PA Patel,V Kohli,Yuvraj Singh,AB de Villiers,S Rana,MA Starc,M Muralitharan,YS Chahal,AN Ahmed,VR Aaron
2014-05-22,JSCA International Stadium Complex,Indian Premier League,T20,20,Parvez Rasool,Sunrisers Hyderabad,0,0,0,0,24,0,35,0,0,0,0,0,0,0,0,0,DR Smith,F du Plessis,SK Raina,DJ Hussey,MS Dhoni,RA Jadeja,M Manhas,R Ashwin,JW Hastings,MM Sharma,P Negi
2014-05-24,Eden Gardens,Indian Premier League,T20,20,Parvez Rasool,Sunrisers Hyderabad,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,RV Uthappa,G Gambhir,MK Pandey,YK Pathan,RN ten Doeschate,Shakib Al Hasan,SA Yadav,R Vinay Kumar,M Morkel,UT Yadav,SP Narine
2015-04-11,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,Parvez Rasool,Sunrisers Hyderabad,2,2,0,0,6,0,11,0,0,0,0,0,2,0,0,2,DR Smith,BB McCullum,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,F du Plessis,R Ashwin,MM Sharma,IC Pandey,A Nehra
2015-05-09,Shaheed Veer Narayan Singh International Stadium,Indian Premier League,T20,20,Parvez Rasool,Sunrisers Hyderabad,0,0,0,0,24,1,20,0,0,0,0,0,0,29,0,29,Q de Kock,SS Iyer,JP Duminy,Yuvraj Singh,KM Jadhav,SS Tiwary,JA Morkel,J Yadav,NM Coulter-Nile,A Mishra,Z Khan
2016-04-12,M Chinnaswamy Stadium,Indian Premier League,T20,20,Parvez Rasool,Royal Challengers Bangalore,0,0,0,0,24,1,31,1,0,1,0,0,0,33,8,41,DA Warner,S Dhawan,MC Henriques,NV Ojha,DJ Hooda,EJG Morgan,A Ashish Reddy,KV Sharma,A Nehra,B Kumar,Mustafizur Rahman
2016-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,Parvez Rasool,Royal Challengers Bangalore,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,Q de Kock,SS Iyer,SV Samson,KK Nair,JP Duminy,CR Brathwaite,CH Morris,P Negi,Z Khan,A Mishra,Mohammed Shami
2016-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Parvez Rasool,Royal Challengers Bangalore,10,9,1,0,24,0,34,0,0,0,0,0,11,0,0,11,DA Warner,S Dhawan,KS Williamson,MC Henriques,NV Ojha,DJ Hooda,A Ashish Reddy,BB Sran,B Kumar,A Nehra,Mustafizur Rahman
2016-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,Parvez Rasool,Royal Challengers Bangalore,0,0,0,0,18,0,37,0,0,1,0,0,0,-6,8,2,AM Rahane,UT Khawaja,SS Tiwary,MS Dhoni,NLTC Perera,GJ Bailey,R Bhatia,R Ashwin,A Zampa,AB Dinda,RP Singh
