date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2018-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,1,23,1,0,0,0,0,0,37,0,37,C Munro,G Gambhir,SS Iyer,V Shankar,RR Pant,R Tewatia,CH Morris,DT Christian,A Mishra,TA Boult,Mohammed Shami
2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,33,21,3,1,24,2,30,1,0,0,0,0,46,58,0,104,Q de Kock,BB McCullum,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal
2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,14,11,0,1,24,1,33,1,0,1,0,0,16,33,8,57,SR Watson,M Vijay,AT Rayudu,SW Billings,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
2018-04-19,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,0,53,0,0,0,0,0,0,-6,0,-6,WP Saha,S Dhawan,KS Williamson,YK Pathan,MK Pandey,DJ Hooda,Shakib Al Hasan,CJ Jordan,B Kumar,Rashid Khan,S Kaul
2018-04-21,Eden Gardens,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,1,33,0,0,0,0,0,0,25,0,25,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
2018-04-23,Arun Jaitley Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,6,9,0,0,24,1,19,0,0,0,0,0,6,31,0,37,PP Shaw,G Gambhir,GJ Maxwell,SS Iyer,RR Pant,DT Christian,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
2018-04-26,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,4,6,0,0,24,0,34,0,0,1,0,0,4,0,8,12,S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan,YK Pathan,Mohammad Nabi,Rashid Khan,Basil Thampi,S Kaul,Sandeep Sharma
2018-05-04,Holkar Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,SA Yadav,E Lewis,Ishan Kishan,HH Pandya,RG Sharma,KH Pandya,JP Duminy,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
2018-05-06,Holkar Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,1,30,0,0,1,0,0,0,25,8,33,JC Buttler,DJM Short,AM Rahane,SV Samson,BA Stokes,RA Tripathi,JC Archer,K Gowtham,S Gopal,JD Unadkat,Anureet Singh
2018-05-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,2,0,0,24,0,34,0,0,1,0,0,-2,0,8,6,AM Rahane,JC Buttler,K Gowtham,SV Samson,BA Stokes,STR Binny,MK Lomror,JC Archer,JD Unadkat,IS Sodhi,Anureet Singh
2018-05-12,Holkar Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,45,24,4,3,16,0,36,0,0,0,0,0,65,-6,0,59,CA Lynn,SP Narine,RV Uthappa,AD Russell,KD Karthik,N Rana,Shubman Gill,JPR Scantlebury-Searles,PP Chawla,Kuldeep Yadav,M Prasidh Krishna
2018-05-14,Holkar Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,1,0,0,6,0,9,0,0,0,0,0,-2,0,0,-2,V Kohli,PA Patel,MM Ali,AB de Villiers,Mandeep Singh,SN Khan,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
2018-05-16,Wankhede Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,18,2,18,0,0,1,0,0,0,52,8,60,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
2018-05-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,2,0,0,24,2,36,1,0,0,0,0,-2,58,0,56,AT Rayudu,F du Plessis,SK Raina,SW Billings,Harbhajan Singh,DL Chahar,MS Dhoni,DJ Bravo,RA Jadeja,SN Thakur,L Ngidi
2019-03-25,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,2,20,1,0,1,0,0,0,62,8,70,AM Rahane,JC Buttler,SV Samson,SPD Smith,BA Stokes,RA Tripathi,K Gowtham,JC Archer,JD Unadkat,S Gopal,DS Kulkarni
2019-03-27,Eden Gardens,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,0,47,0,0,0,0,0,0,-4,0,-4,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
2019-03-30,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,0,26,0,0,0,0,0,0,2,0,2,RG Sharma,Q de Kock,SA Yadav,Yuvraj Singh,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,M Markande,SL Malinga,JJ Bumrah
2019-04-01,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,3,4,0,0,24,2,31,1,0,0,0,0,3,58,0,61,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,CH Morris,GH Vihari,HV Patel,K Rabada,Avesh Khan,S Lamichhane
2019-04-06,MA Chidambaram Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,3,23,1,0,0,0,0,0,91,0,91,SR Watson,F du Plessis,SK Raina,MS Dhoni,AT Rayudu,KM Jadhav,SC Kuggeleijn,RA Jadeja,Harbhajan Singh,DL Chahar,Imran Tahir
2019-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,2,30,0,0,1,0,0,0,50,8,58,DA Warner,JM Bairstow,V Shankar,Mohammad Nabi,MK Pandey,DJ Hooda,YK Pathan,Rashid Khan,B Kumar,S Kaul,Sandeep Sharma
2019-04-10,Wankhede Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,1,37,0,0,0,0,0,0,25,0,25,Q de Kock,SD Lad,SA Yadav,KA Pollard,Ishan Kishan,HH Pandya,KH Pandya,AS Joseph,RD Chahar,JP Behrendorff,JJ Bumrah
2019-04-13,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,PA Patel,V Kohli,AB de Villiers,MP Stoinis,MM Ali,AD Nath,P Negi,UT Yadav,Mohammed Siraj,YS Chahal,Navdeep Saini
2019-04-16,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,17,4,1,2,24,2,24,1,0,0,0,0,22,60,0,82,RA Tripathi,JC Buttler,SV Samson,AM Rahane,AJ Turner,JC Archer,STR Binny,S Gopal,JD Unadkat,DS Kulkarni,IS Sodhi
2019-04-20,Arun Jaitley Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,16,14,2,0,18,0,26,0,0,1,0,0,18,0,8,26,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,AR Patel,SE Rutherford,A Mishra,K Rabada,I Sharma,S Lamichhane
2019-04-24,M.Chinnaswamy Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,6,2,0,1,24,1,15,1,0,0,0,0,8,39,0,47,PA Patel,V Kohli,AB de Villiers,MM Ali,AD Nath,MP Stoinis,Washington Sundar,UT Yadav,TG Southee,YS Chahal,Navdeep Saini
2019-04-29,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,1,0,0,24,2,30,0,0,0,0,0,-2,50,0,48,DA Warner,WP Saha,MK Pandey,Mohammad Nabi,KS Williamson,Rashid Khan,V Shankar,Abhishek Sharma,B Kumar,KK Ahmed,Sandeep Sharma
2019-05-03,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,3,0,0,24,1,38,0,0,0,0,0,-2,25,0,23,Shubman Gill,CA Lynn,RV Uthappa,AD Russell,KD Karthik,SP Narine,N Rana,RK Singh,PP Chawla,HF Gurney,S Sandeep Warrier
2019-05-05,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,R Ashwin,Kings XI Punjab,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,F du Plessis,SR Watson,SK Raina,MS Dhoni,AT Rayudu,KM Jadhav,DJ Bravo,RA Jadeja,DL Chahar,Harbhajan Singh,Imran Tahir
2020-09-20,Dubai International Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Delhi Capitals,4,6,0,0,6,2,2,1,0,0,0,0,4,58,0,62,KL Rahul,MA Agarwal,KK Nair,N Pooran,GJ Maxwell,SN Khan,K Gowtham,CJ Jordan,Mohammed Shami,SS Cottrell,Ravi Bishnoi
2020-10-24,Sheikh Zayed Stadium,Indian Premier League,T20,20,R Ashwin,Delhi Capitals,14,13,2,0,18,0,45,0,0,0,0,0,16,-6,0,10,Shubman Gill,N Rana,RA Tripathi,KD Karthik,SP Narine,EJG Morgan,PJ Cummins,LH Ferguson,KL Nagarkoti,M Prasidh Krishna,CV Varun
2020-10-09,Sharjah Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Delhi Capitals,0,1,0,0,24,2,22,0,0,0,0,0,-2,54,0,52,YBK Jaiswal,JC Buttler,SPD Smith,SV Samson,MK Lomror,R Tewatia,AJ Tye,JC Archer,S Gopal,Kartik Tyagi,VR Aaron
2020-11-02,Sheikh Zayed Stadium,Indian Premier League,T20,20,R Ashwin,Delhi Capitals,0,0,0,0,24,1,18,0,0,0,0,0,0,31,0,31,JR Philippe,D Padikkal,V Kohli,AB de Villiers,CH Morris,S Dube,Washington Sundar,I Udana,Shahbaz Ahmed,Mohammed Siraj,YS Chahal
2020-10-17,Sharjah Cricket Stadium,Indian Premier League,T20,20,R Ashwin,Delhi Capitals,0,0,0,0,18,0,30,0,0,0,0,0,0,0,0,0,SM Curran,F du Plessis,SR Watson,AT Rayudu,MS Dhoni,RA Jadeja,KM Jadhav,DJ Bravo,DL Chahar,SN Thakur,KV Sharma
