date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,R Bhatia,Rising Pune Supergiant,0,0,0,0,18,2,14,0,0,1,0,0,0,56,8,64,PA Patel,JC Buttler,RG Sharma,N Rana,AT Rayudu,KH Pandya,KA Pollard,HH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,R Bhatia,Rising Pune Supergiant,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,HM Amla,M Vohra,WP Saha,AR Patel,GJ Maxwell,DA Miller,MP Stoinis,Swapnil Singh,MM Sharma,Sandeep Sharma,T Natarajan
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,R Bhatia,Rising Pune Supergiant,16,17,0,1,12,0,21,0,0,0,0,0,18,-2,0,16,AP Tare,SW Billings,SV Samson,RR Pant,CJ Anderson,CH Morris,KK Nair,PJ Cummins,A Mishra,Z Khan,S Nadeem
2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,24,3,18,1,0,0,0,0,0,93,0,93,T Kohli,YK Pathan,SR Watson,M Kaif,DS Lehmann,RA Jadeja,M Rawat,D Salunkhe,SK Warne,SK Trivedi,MM Patel
2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,24,3,27,1,0,0,0,0,0,89,0,89,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,RG Sharma,Shahid Afridi,SB Bangar,AS Yadav,WPUJC Vaas,RP Singh,PP Ojha
2008-04-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,17,15,1,1,6,1,5,0,0,0,0,1,20,25,6,51,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,TM Srivastava,IK Pathan,B Lee,PP Chawla,S Sreesanth,VRV Singh
2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,8,5,1,0,6,0,14,0,0,0,0,0,9,0,0,9,P Kumar,W Jaffer,LRPL Taylor,JH Kallis,R Dravid,MV Boucher,V Kohli,Z Khan,DW Steyn,R Vinay Kumar,SB Joshi
2008-05-02,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,6,1,11,0,0,0,0,0,0,25,0,25,PA Patel,SP Fleming,S Vidyut,MS Dhoni,JA Morkel,SK Raina,S Badrinath,Joginder Sharma,M Ntini,MS Gony,M Muralitharan
2008-05-04,Dr DY Patil Sports Academy,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,9,8,0,1,12,1,22,1,0,0,0,0,11,31,0,42,YV Takawale,ST Jayasuriya,DJ Thornely,RV Uthappa,DJ Bravo,AM Nayar,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-15,Feroz Shah Kotla,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,24,0,32,0,0,0,0,0,0,0,0,0,AC Gilchrist,Shahid Afridi,HH Gibbs,RG Sharma,SB Styris,Y Venugopal Rao,DB Ravi Teja,RP Singh,PP Ojha,DP Vijaykumar,PM Sarvesh Kumar
2008-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,DPMD Jayawardene,IK Pathan,RR Powar,PP Chawla,U Kaul,S Sreesanth,VRV Singh
2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,R Bhatia,Delhi Daredevils,0,0,0,0,24,0,47,0,0,1,0,0,0,-4,8,4,JH Kallis,B Chipli,SP Goswami,R Dravid,Misbah-ul-Haq,CL White,B Akhil,P Kumar,Z Khan,A Kumble,DW Steyn
