date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2019-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,16,14,2,0,18,0,24,0,0,0,0,0,18,0,0,18,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,MJ Santner,DL Chahar,SN Thakur,Imran Tahir
2019-04-20,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,43,29,5,1,12,0,17,0,0,0,0,0,56,0,0,56,Q de Kock,RG Sharma,SA Yadav,HH Pandya,KA Pollard,BCJ Cutting,KH Pandya,RD Chahar,JJ Bumrah,SL Malinga,M Markande
2019-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,4,3,1,0,18,1,25,0,0,2,0,0,5,25,16,46,PP Shaw,S Dhawan,SS Iyer,RR Pant,SE Rutherford,CA Ingram,AR Patel,CH Morris,A Mishra,K Rabada,I Sharma
2019-04-25,Eden Gardens,Indian Premier League,T20,20,R Parag,Rajasthan Royals,47,34,5,2,6,0,7,0,0,1,0,0,62,0,8,70,CA Lynn,Shubman Gill,N Rana,KD Karthik,SP Narine,AD Russell,CR Brathwaite,RK Singh,PP Chawla,Y Prithvi Raj,M Prasidh Krishna
2019-04-27,Sawai Mansingh Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,0,0,0,0,18,0,24,0,0,0,0,0,0,0,0,0,DA Warner,KS Williamson,MK Pandey,V Shankar,Shakib Al Hasan,DJ Hooda,WP Saha,Rashid Khan,B Kumar,S Kaul,KK Ahmed
2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,0,0,0,0,6,1,10,0,0,1,0,0,0,25,8,33,V Kohli,AB de Villiers,MP Stoinis,H Klaasen,Gurkeerat Singh,PA Patel,P Negi,UT Yadav,Navdeep Saini,K Khejroliya,YS Chahal
2019-05-04,Arun Jaitley Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,50,53,4,2,6,0,14,0,0,1,0,0,66,0,8,74,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,SE Rutherford,AR Patel,KMA Paul,A Mishra,TA Boult,I Sharma
2020-09-22,Sharjah Cricket Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,6,4,1,0,0,0,0,0,0,0,0,0,7,0,0,7,M Vijay,SR Watson,F du Plessis,SM Curran,RD Gaikwad,KM Jadhav,MS Dhoni,RA Jadeja,PP Chawla,DL Chahar,L Ngidi
2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,1,6,0,0,6,0,14,0,0,1,0,0,1,0,8,9,Shubman Gill,SP Narine,N Rana,AD Russell,KD Karthik,EJG Morgan,PJ Cummins,KL Nagarkoti,Shivam Mavi,Kuldeep Yadav,CV Varun
2020-10-11,Dubai International Cricket Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,42,28,2,2,0,0,0,0,0,0,0,0,54,0,0,54,DA Warner,JM Bairstow,MK Pandey,KS Williamson,PK Garg,V Shankar,Abhishek Sharma,Rashid Khan,Sandeep Sharma,KK Ahmed,T Natarajan
2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,R Parag,Rajasthan Royals,16,19,1,0,6,0,13,0,0,0,0,0,17,0,0,17,D Padikkal,AJ Finch,V Kohli,AB de Villiers,S Dube,Gurkeerat Singh,Washington Sundar,I Udana,Navdeep Saini,YS Chahal,A Zampa
