match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1422119,ba5e1069,2024-03-22,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,37,17,3,3,0,0,0,0,0,2,0,0,56,0,16,72,V Kohli,F du Plessis,RM Patidar,GJ Maxwell,C Green,Anuj Rawat,KD Karthik,KV Sharma,AS Joseph,Mayank Dagar,Mohammed Siraj
1422125,ba5e1069,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,46,22,6,3,0,0,0,0,0,3,0,0,68,0,28,96,MM Sharma,WP Saha,Shubman Gill,B Sai Sudharsan,V Shankar,DA Miller,Azmatullah Omarzai,R Tewatia,Rashid Khan,UT Yadav,SH Johnson
1422131,ba5e1069,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,2,12,0,0,0,0,0,0,0,0,0,0,-4,0,0,-4,Rasikh Salam,PP Shaw,DA Warner,RR Pant,MR Marsh,T Stubbs,AR Patel,Abishek Porel,A Nortje,Mukesh Kumar,I Sharma
1422136,ba5e1069,2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,12,9,2,0,6,0,3,0,0,1,0,0,14,0,8,22,T Natarajan,TM Head,Abhishek Sharma,AK Markram,Shahbaz Ahmed,H Klaasen,Nithish Kumar Reddy,Abdul Samad,PJ Cummins,B Kumar,M Markande
1426260,ba5e1069,2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,15,9,3,0,6,0,4,0,0,1,0,0,18,0,8,26,PD Salt,SP Narine,A Raghuvanshi,SS Iyer,VR Iyer,Ramandeep Singh,RK Singh,AD Russell,AS Roy,MA Starc,VG Arora
1426267,ba5e1069,2024-04-14,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,21,18,2,1,0,0,0,0,0,1,0,0,25,0,8,33,Akash Madhwal,RG Sharma,Ishan Kishan,SA Yadav,Tilak Varma,HH Pandya,TH David,R Shepherd,Mohammad Nabi,S Gopal,JJ Bumrah
1426272,ba5e1069,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Q de Kock,KL Rahul,N Pooran,MP Stoinis,DJ Hooda,A Badoni,KH Pandya,MJ Henry,Ravi Bishnoi,Mohsin Khan,Yash Thakur
1426297,ba5e1069,2024-05-10,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,1,2,0,0,0,0,0,0,0,0,0,1,1,0,6,7,S Sandeep Warrier,B Sai Sudharsan,Shubman Gill,DA Miller,M Shahrukh Khan,MS Wade,R Tewatia,Rashid Khan,Noor Ahmad,UT Yadav,MM Sharma
1426299,ba5e1069,2024-05-12,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,27,18,1,2,0,0,0,0,0,0,0,0,34,0,0,34,N Burger,YBK Jaiswal,JC Buttler,SV Samson,R Parag,Dhruv Jurel,SB Dubey,R Ashwin,TA Boult,Avesh Khan,Sandeep Sharma
1426306,ba5e1069,2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,R Ravindra,Chennai Super Kings,61,38,5,3,0,0,0,0,0,0,0,0,84,0,0,84,Swapnil Singh,V Kohli,F du Plessis,RM Patidar,C Green,KD Karthik,GJ Maxwell,MK Lomror,Yash Dayal,KV Sharma,Mohammed Siraj
