date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-05-13,Eden Gardens,Indian Premier League,T20,20,R Vinay Kumar,Mumbai Indians,0,0,0,0,18,2,31,0,0,0,0,0,0,48,0,48,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot
2018-04-08,Eden Gardens,Indian Premier League,T20,20,R Vinay Kumar,Kolkata Knight Riders,6,4,1,0,12,2,30,0,0,1,0,0,7,44,8,59,BB McCullum,Q de Kock,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal
2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,R Vinay Kumar,Kolkata Knight Riders,0,0,0,0,12,0,35,0,0,1,0,0,0,-6,8,2,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,0,0,0,0,24,0,42,0,0,0,0,0,0,-2,0,-2,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni
2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,1,1,0,0,12,0,15,0,0,0,0,0,1,0,0,1,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,R Vinay Kumar,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn
2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,0,0,0,0,12,0,25,0,0,0,0,0,0,-6,0,-6,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,DL Vettori,Mohammad Asif,VY Mahesh,GD McGrath
2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,0,0,0,0,25,4,27,0,0,0,0,1,0,110,6,116,AC Gilchrist,HH Gibbs,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar
2008-05-08,Eden Gardens,Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,0,0,0,0,18,1,15,0,0,1,0,0,0,29,8,37,A Chopra,BJ Hodge,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,M Kartik,Umar Gul,I Sharma,AB Dinda
2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,R Vinay Kumar,Royal Challengers Bangalore,23,22,2,1,18,0,25,0,0,0,0,0,27,0,0,27,ST Jayasuriya,SR Tendulkar,RV Uthappa,DR Smith,AM Nayar,SM Pollock,MK Pandey,YV Takawale,DS Kulkarni,CRD Fernando,A Nehra
