match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
392199,05c2ca46,2009-04-29,Kingsmead,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,9,9,0,1,24,1,29,1,0,0,0,0,11,33,0,44,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
392204,05c2ca46,2009-05-01,Kingsmead,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,35,19,3,3,18,2,27,0,0,0,0,1,54,50,6,110,Yuvraj Singh,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,RR Powar,TM Srivastava,VS Malik,YA Abdulla
392208,05c2ca46,2009-05-03,New Wanderers Stadium,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,0,0,0,0,18,1,28,0,0,0,0,0,0,25,0,25,ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,DJ Bravo,AM Nayar,S Dhawan,PR Shah,Harbhajan Singh,Z Khan,SL Malinga
392213,05c2ca46,2009-05-07,SuperSport Park,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,15,17,1,0,6,0,11,0,0,0,0,0,16,0,0,16,GC Smith,NV Ojha,LA Carseldine,YK Pathan,RA Jadeja,AS Raut,NK Patel,SK Warne,M Morkel,MM Patel,A Singh
392218,05c2ca46,2009-05-10,St George's Park,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,3,5,0,0,18,1,17,1,0,0,0,0,3,37,0,40,ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,AM Nayar,DJ Bravo,Harbhajan Singh,YV Takawale,C Nanda,DS Kulkarni,SL Malinga
392224,05c2ca46,2009-05-14,Kingsmead,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,3,7,0,0,24,1,31,0,0,1,0,0,3,25,8,36,M Vijay,ML Hayden,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,SB Jakati,L Balaji,M Muralitharan,S Tyagi
392232,05c2ca46,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,0,0,0,0,24,1,31,1,0,0,0,0,0,33,0,33,G Gambhir,V Sehwag,M Manhas,AB de Villiers,KD Karthik,AB McDonald,Y Nagar,MF Maharoof,DL Vettori,AM Salvi,A Nehra
392236,05c2ca46,2009-05-21,SuperSport Park,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,23,18,3,1,24,1,37,1,0,2,0,0,28,33,16,77,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,AA Bilakhia,RJ Harris,Jaskaran Singh,RP Singh,PP Ojha
392238,05c2ca46,2009-05-23,New Wanderers Stadium,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,2,5,0,0,24,1,24,0,0,0,0,0,2,27,0,29,PA Patel,ML Hayden,MS Dhoni,SK Raina,JA Morkel,JDP Oram,S Badrinath,SB Jakati,L Balaji,M Muralitharan,MS Gony
392239,05c2ca46,2009-05-24,New Wanderers Stadium,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,32,21,1,3,24,0,28,0,0,0,0,0,47,0,0,47,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,AA Bilakhia,RJ Harris,PP Ojha,Harmeet Singh,RP Singh
419109,05c2ca46,2010-03-14,Eden Gardens,Indian Premier League,T20,20,RE van der Merwe,Royal Challengers Bangalore,1,2,0,0,24,2,27,0,0,0,0,0,1,52,0,53,BJ Hodge,MK Tiwary,SC Ganguly,CA Pujara,OA Shah,RS Gavaskar,AD Mathews,WP Saha,M Kartik,CK Langeveldt,I Sharma
501201,05c2ca46,2011-04-10,Feroz Shah Kotla,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,8,6,1,0,24,0,16,0,0,0,0,1,9,6,6,21,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
501204,05c2ca46,2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,2,3,0,0,24,1,41,0,0,0,0,0,2,23,0,25,AG Paunikar,R Dravid,J Botha,AL Menaria,AM Rahane,LRPL Taylor,AS Raut,SK Warne,A Singh,SK Trivedi,SW Tait
501233,05c2ca46,2011-04-30,Nehru Stadium,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,2,4,0,0,23,3,20,2,0,2,0,0,2,99,16,117,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,BJ Hodge,RA Jadeja,B Akhil,R Vinay Kumar,RR Powar,S Sreesanth,RP Singh
501238,05c2ca46,2011-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,2,3,0,0,18,2,17,1,0,0,0,0,2,62,0,64,M Klinger,BB McCullum,PA Patel,DPMD Jayawardene,BJ Hodge,RA Jadeja,RV Gomez,R Vinay Kumar,RP Singh,S Sreesanth,P Parameswaran
548307,05c2ca46,2012-04-05,Eden Gardens,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,0,0,0,0,18,3,28,1,0,0,1,0,0,87,12,99,BB McCullum,JH Kallis,G Gambhir,MK Tiwary,YK Pathan,DB Das,LR Shukla,R Bhatia,B Lee,Iqbal Abdulla,M de Lange
548316,05c2ca46,2012-04-10,Feroz Shah Kotla,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,0,0,0,0,24,1,15,0,0,1,0,0,0,31,8,39,F du Plessis,M Vijay,SK Raina,S Badrinath,RA Jadeja,DJ Bravo,MS Dhoni,JA Morkel,R Ashwin,SB Jakati,DE Bollinger
548364,05c2ca46,2012-05-12,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,0,0,0,0,18,0,17,0,0,0,0,0,0,4,0,4,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,S Anirudha,DJ Bravo,JA Morkel,R Ashwin,BW Hilfenhaus,SB Jakati
598024,05c2ca46,2013-04-21,Feroz Shah Kotla,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,0,0,0,0,24,1,35,0,0,0,0,0,0,25,0,25,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,RT Ponting,Harbhajan Singh,JJ Bumrah,MM Patel,SL Malinga
598059,05c2ca46,2013-04-23,Feroz Shah Kotla,Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,8,9,1,0,24,2,17,1,1,0,0,0,9,76,0,85,AC Gilchrist,Mandeep Singh,LA Pomersbach,DA Miller,M Vohra,DJ Hussey,PP Chawla,P Kumar,Harmeet Singh,BA Bhatt,P Awana
598062,05c2ca46,2013-05-14,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,RE van der Merwe,Delhi Daredevils,14,16,1,0,18,1,19,0,0,0,0,0,15,27,0,42,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,S Badrinath,JA Morkel,R Ashwin,JO Holder,MM Sharma
