date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2021-04-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,RP Meredith,Punjab Kings,0,0,0,0,24,1,49,0,0,0,0,0,0,19,0,19,BA Stokes,M Vohra,SV Samson,JC Buttler,S Dube,R Parag,R Tewatia,CH Morris,S Gopal,C Sakariya,Mustafizur Rahman
2021-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,RP Meredith,Punjab Kings,0,0,0,0,22,0,21,0,0,0,0,0,0,4,0,4,RD Gaikwad,F du Plessis,MM Ali,SK Raina,AT Rayudu,SM Curran,RA Jadeja,MS Dhoni,DJ Bravo,SN Thakur,DL Chahar
2021-04-18,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,RP Meredith,Punjab Kings,0,0,0,0,15,1,36,0,0,0,0,0,0,19,0,19,PP Shaw,S Dhawan,SPD Smith,RR Pant,MP Stoinis,Lalit Yadav,LI Meriwala,CR Woakes,R Ashwin,K Rabada,Avesh Khan
2021-04-30,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,RP Meredith,Punjab Kings,0,0,0,0,20,1,29,1,0,0,0,0,0,33,0,33,V Kohli,D Padikkal,RM Patidar,GJ Maxwell,AB de Villiers,Shahbaz Ahmed,DR Sams,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
2021-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,RP Meredith,Punjab Kings,0,0,0,0,22,1,36,0,0,0,0,0,0,25,0,25,PP Shaw,S Dhawan,SPD Smith,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,Lalit Yadav,K Rabada,I Sharma,Avesh Khan
2022-04-21,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,RP Meredith,Mumbai Indians,0,0,0,0,24,1,25,0,0,0,0,0,0,27,0,27,RD Gaikwad,RV Uthappa,MJ Santner,AT Rayudu,S Dube,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
2022-04-24,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,RP Meredith,Mumbai Indians,0,0,0,0,24,2,42,0,0,1,0,0,0,48,8,56,Q de Kock,KL Rahul,MK Pandey,MP Stoinis,KH Pandya,DJ Hooda,A Badoni,JO Holder,PVD Chameera,Ravi Bishnoi,Mohsin Khan
2022-04-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,RP Meredith,Mumbai Indians,0,0,0,0,24,2,24,0,0,0,0,0,0,52,0,52,JC Buttler,D Padikkal,SV Samson,DJ Mitchell,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-06,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,RP Meredith,Mumbai Indians,0,0,0,0,24,1,34,0,0,0,0,0,0,25,0,25,WP Saha,Shubman Gill,HH Pandya,B Sai Sudharsan,DA Miller,R Tewatia,Rashid Khan,PJ Sangwan,LH Ferguson,AS Joseph,Mohammed Shami
2022-05-09,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,RP Meredith,Mumbai Indians,0,1,0,0,18,0,36,0,0,0,0,0,-2,-4,0,-6,VR Iyer,AM Rahane,N Rana,SS Iyer,AD Russell,RK Singh,SP Jackson,PJ Cummins,SP Narine,TG Southee,CV Varun
