match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082595,919a3be2,2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,57,39,3,4,0,0,0,0,0,0,0,0,78,0,0,78,CH Gayle,SR Watson,Mandeep Singh,KM Jadhav,STR Binny,Vishnu Vinod,P Negi,Iqbal Abdulla,TS Mills,YS Chahal,B Stanlake
1082599,919a3be2,2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,31,22,1,2,0,0,0,0,0,3,0,0,42,0,28,70,AM Rahane,MA Agarwal,F du Plessis,RA Tripathi,BA Stokes,MS Dhoni,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
1082605,919a3be2,2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,15,9,3,0,0,0,0,0,0,0,0,0,18,0,0,18,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
1082608,919a3be2,2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,38,17,2,4,0,0,0,0,0,1,0,0,58,0,8,66,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
1082611,919a3be2,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,RR Pant,Delhi Daredevils,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
1082614,919a3be2,2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,0,3,0,0,0,0,0,0,0,1,0,1,-2,0,14,12,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
1082622,919a3be2,2017-04-28,Eden Gardens,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,6,4,1,0,0,0,0,0,0,0,0,0,7,0,0,7,SP Narine,G Gambhir,RV Uthappa,MK Pandey,SP Jackson,YK Pathan,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082626,919a3be2,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,RR Pant,Delhi Daredevils,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,MJ Guptill,HM Amla,M Vohra,SE Marsh,GJ Maxwell,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
1082630,919a3be2,2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,34,20,4,1,0,0,0,0,0,0,0,0,48,0,0,48,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
1082632,919a3be2,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,RR Pant,Delhi Daredevils,97,44,6,9,0,0,0,0,0,2,0,0,135,0,16,151,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
