date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-05-28,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,M Kaif,NK Patel,Younis Khan,SR Watson,YK Pathan,Kamran Akmal,M Rawat,D Salunkhe,Pankaj Singh,SK Trivedi,MM Patel
2008-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,2,23,1,0,1,0,0,0,54,8,62,G Gambhir,V Sehwag,S Dhawan,TM Dilshan,MF Maharoof,Shoaib Malik,PJ Sangwan,KD Karthik,A Mishra,R Bhatia,GD McGrath
2008-05-23,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,24,1,20,1,0,0,0,0,0,37,0,37,AC Gilchrist,HH Gibbs,RG Sharma,Y Venugopal Rao,LPC Silva,SB Styris,DB Ravi Teja,SB Bangar,RP Singh,PP Ojha,DP Vijaykumar
2008-05-25,Eden Gardens,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,0,14,0,0,1,0,0,0,0,8,8,Salman Butt,SC Ganguly,DB Das,DJ Hussey,LR Shukla,WP Saha,A Chopra,Umar Gul,I Sharma,BAW Mendis,AB Dinda
2008-05-31,Wankhede Stadium,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,28,21,4,1,18,0,28,0,0,0,0,0,36,0,0,36,PA Patel,S Vidyut,SK Raina,MS Dhoni,CK Kapugedera,S Badrinath,JA Morkel,MS Gony,L Balaji,M Muralitharan,M Ntini
2009-04-26,Newlands,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,0,14,0,0,2,0,0,0,0,16,16,SA Asnodkar,GC Smith,RJ Quiney,YK Pathan,AD Mascarenhas,RA Jadeja,AS Raut,SK Warne,M Rawat,MM Patel,Kamran Khan
2009-04-29,Kingsmead,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,10,10,1,0,24,1,23,0,0,0,0,0,11,29,0,40,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,SS Tiwary,Z Khan,PR Shah,SL Malinga
2009-05-01,Kingsmead,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,JD Ryder,SP Goswami,R Bishnoi,JH Kallis,RV Uthappa,V Kohli,MV Boucher,RE van der Merwe,P Kumar,A Kumble,KP Appanna
2009-05-03,St George's Park,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,0,8,0,0,0,0,0,0,6,0,6,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2009-05-05,Kingsmead,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,6,7,0,0,18,1,33,0,0,0,0,0,6,23,0,29,NV Ojha,GC Smith,YK Pathan,RA Jadeja,LA Carseldine,AS Raut,NK Patel,SK Warne,SM Harwood,SK Trivedi,A Singh
2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AC Gilchrist,HH Gibbs,TL Suman,RG Sharma,A Symonds,Y Venugopal Rao,DB Ravi Teja,PP Ojha,Shoaib Ahmed,RP Singh,RJ Harris
2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,18,0,20,0,0,0,0,0,0,2,0,2,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,M Manhas,KD Karthik,MF Maharoof,DL Vettori,R Bhatia,PJ Sangwan,A Nehra
2009-05-17,New Wanderers Stadium,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,2,11,1,0,0,1,0,0,62,12,74,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,DB Ravi Teja,RJ Harris,RP Singh,Jaskaran Singh,PP Ojha
2009-05-20,Kingsmead,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,7,5,1,0,24,2,21,1,0,0,0,0,8,62,0,70,GJ Bailey,PA Patel,SK Raina,S Badrinath,MS Dhoni,JDP Oram,MS Gony,R Ashwin,T Thushara,L Balaji,M Muralitharan
2010-03-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,3,7,0,0,6,0,16,0,0,0,0,0,3,0,0,3,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,MF Maharoof,A Mishra,PJ Sangwan,VY Mahesh,DP Nannes
2010-03-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,2,1,0,0,25,1,23,1,0,0,0,0,2,37,0,39,PA Patel,ML Hayden,SK Raina,M Vijay,S Badrinath,JA Morkel,MS Gony,R Ashwin,JM Kemp,L Balaji,M Muralitharan
2010-04-04,Eden Gardens,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,SC Ganguly,CH Gayle,MK Tiwary,AD Mathews,DJ Hussey,CA Pujara,WP Saha,AB Agarkar,M Kartik,SE Bond,JD Unadkat
2010-04-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,MJ Lumb,NV Ojha,YK Pathan,SR Watson,FY Fazal,AA Jhunjhunwala,AC Voges,AS Raut,SK Warne,SK Trivedi,AP Dole
2010-04-09,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,S Dhawan,SR Tendulkar,AT Rayudu,SS Tiwary,JP Duminy,R Sathish,KA Pollard,Harbhajan Singh,R McLaren,Z Khan,SL Malinga
2010-04-11,Feroz Shah Kotla,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,24,1,25,0,0,0,0,0,0,27,0,27,DA Warner,V Sehwag,G Gambhir,PD Collingwood,KD Karthik,DL Vettori,M Manhas,R Bhatia,MF Maharoof,A Mishra,A Nehra
2010-04-18,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,24,2,28,0,0,0,1,0,0,50,12,62,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,JM Kemp,R Ashwin,SB Jakati,DE Bollinger,S Tyagi
2011-04-15,Wankhede Stadium,Indian Premier League,T20,20,RR Powar,Kochi Tuskers Kerala,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,DJ Jacobs,SR Tendulkar,AT Rayudu,KA Pollard,RG Sharma,A Symonds,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
2011-04-18,Nehru Stadium,Indian Premier League,T20,20,RR Powar,Kochi Tuskers Kerala,0,0,0,0,18,0,24,0,0,0,0,0,0,0,0,0,MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,TG Southee,DE Bollinger
2011-04-20,Eden Gardens,Indian Premier League,T20,20,RR Powar,Kochi Tuskers Kerala,3,6,0,0,24,1,29,0,0,0,0,0,3,25,0,28,MS Bisla,JH Kallis,G Gambhir,MK Tiwary,EJG Morgan,Shakib Al Hasan,YK Pathan,R Bhatia,B Lee,Iqbal Abdulla,L Balaji
2011-04-30,Nehru Stadium,Indian Premier League,T20,20,RR Powar,Kochi Tuskers Kerala,0,1,0,0,12,1,20,0,0,0,0,0,-2,25,0,23,DA Warner,V Sehwag,NV Ojha,Y Venugopal Rao,Y Nagar,TR Birt,IK Pathan,RE van der Merwe,M Morkel,AB Agarkar,UT Yadav
2011-05-08,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Powar,Kochi Tuskers Kerala,8,6,0,0,12,0,27,0,0,0,0,0,8,-6,0,2,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,CA Pujara,M Kaif,SS Tiwary,DL Vettori,Z Khan,S Aravind,A Mithun
2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,RR Powar,Kings XI Punjab,0,0,0,0,18,0,32,0,0,0,0,0,0,-2,0,-2,DJ Harris,S Dhawan,PA Patel,CL White,KC Sangakkara,PA Reddy,AA Jhunjhunwala,A Ashish Reddy,J Theron,A Mishra,V Pratap Singh
