match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1359477,cad00a4d,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,30,20,3,1,0,0,0,0,0,0,0,0,41,0,0,41,KL Rahul,KR Mayers,DJ Hooda,KH Pandya,MP Stoinis,N Pooran,A Badoni,K Gowtham,Avesh Khan,Ravi Bishnoi,JD Unadkat
1359481,cad00a4d,2023-04-04,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,V Shankar,DA Miller,R Tewatia,Rashid Khan,AS Joseph,Yash Dayal
1359485,cad00a4d,2023-04-08,"Barsapara Cricket Stadium, Guwahati",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,14,13,2,0,0,0,0,0,0,0,0,0,16,0,0,16,M Ashwin,YBK Jaiswal,JC Buttler,SV Samson,R Parag,SO Hetmyer,Dhruv Jurel,JO Holder,R Ashwin,YS Chahal,TA Boult
1359518,cad00a4d,2023-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,8,6,2,0,0,0,0,0,0,1,0,0,10,0,8,18,MM Sharma,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,Noor Ahmad,Mohammed Shami
1359524,cad00a4d,2023-05-06,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,35,23,1,3,0,0,0,0,0,0,0,0,50,0,0,50,HV Patel,V Kohli,F du Plessis,GJ Maxwell,MK Lomror,KD Karthik,Anuj Rawat,KM Jadhav,PWH de Silva,KV Sharma,Mohammed Siraj
1359529,cad00a4d,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,35,37,2,1,0,0,0,0,0,0,0,0,43,0,0,43,M Pathirana,RD Gaikwad,DP Conway,AM Rahane,MM Ali,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1359533,cad00a4d,2023-05-13,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,5,7,1,0,0,0,0,0,0,1,0,0,6,0,8,14,NT Ellis,P Simran Singh,S Dhawan,LS Livingstone,JM Sharma,SM Curran,Harpreet Brar,M Shahrukh Khan,Sikandar Raza,R Dhawan,RD Chahar
1359538,cad00a4d,2023-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,82,40,6,6,0,0,0,0,0,0,0,0,114,0,0,114,NT Ellis,P Simran Singh,S Dhawan,Atharva Taide,LS Livingstone,JM Sharma,M Shahrukh Khan,SM Curran,Harpreet Brar,RD Chahar,K Rabada
1359541,cad00a4d,2023-05-20,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,RR Rossouw,Delhi Capitals,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,M Pathirana,RD Gaikwad,DP Conway,S Dube,MS Dhoni,RA Jadeja,AM Rahane,MM Ali,AT Rayudu,DL Chahar,TU Deshpande
1426271,cad00a4d,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Akash Madhwal,Ishan Kishan,RG Sharma,SA Yadav,Tilak Varma,HH Pandya,TH David,R Shepherd,Mohammad Nabi,G Coetzee,S Gopal
1426275,cad00a4d,2024-04-21,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,9,7,2,0,0,0,0,0,0,1,0,0,11,0,8,19,S Sandeep Warrier,WP Saha,Shubman Gill,B Sai Sudharsan,DA Miller,Azmatullah Omarzai,R Tewatia,M Shahrukh Khan,Rashid Khan,R Sai Kishore,Noor Ahmad
1426280,cad00a4d,2024-04-26,"Eden Gardens, Kolkata",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,26,18,1,2,0,0,0,0,0,0,0,0,33,0,0,33,AS Roy,PD Salt,SP Narine,VR Iyer,AD Russell,SS Iyer,RK Singh,Ramandeep Singh,A Raghuvanshi,CV Varun,Harshit Rana
1426287,cad00a4d,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,43,25,5,2,0,0,0,0,0,1,0,0,62,0,8,70,AM Rahane,RD Gaikwad,S Dube,RA Jadeja,Sameer Rizvi,MM Ali,MS Dhoni,DJ Mitchell,DL Chahar,SN Thakur,RJ Gleeson
1426291,cad00a4d,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Simarjeet Singh,AM Rahane,RD Gaikwad,DJ Mitchell,S Dube,MM Ali,RA Jadeja,MJ Santner,SN Thakur,MS Dhoni,TU Deshpande
1426296,cad00a4d,2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,61,27,9,3,0,0,0,0,0,1,0,0,90,0,8,98,Yash Dayal,V Kohli,F du Plessis,WG Jacks,RM Patidar,C Green,KD Karthik,MK Lomror,Swapnil Singh,KV Sharma,Mohammed Siraj
1426303,cad00a4d,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,22,13,5,0,0,0,0,0,0,1,0,0,31,0,8,39,YBK Jaiswal,T Kohler-Cadmore,SV Samson,R Parag,R Ashwin,Dhruv Jurel,R Powell,D Ferreira,TA Boult,Avesh Khan,Sandeep Sharma
1426307,cad00a4d,2024-05-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,RR Rossouw,Punjab Kings,49,26,3,4,0,0,0,0,0,0,0,0,70,0,0,70,T Natarajan,TM Head,Abhishek Sharma,RA Tripathi,Nithish Kumar Reddy,H Klaasen,Shahbaz Ahmed,Abdul Samad,Sanvir Singh,PJ Cummins,B Kumar
733977,cad00a4d,2014-05-04,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Rossouw,Royal Challengers Bangalore,14,23,1,0,0,0,0,0,0,0,0,0,13,0,0,13,AJ Finch,S Dhawan,KL Rahul,DA Warner,DJG Sammy,NV Ojha,IK Pathan,KV Sharma,DW Steyn,B Kumar,I Sharma
733983,cad00a4d,2014-05-06,Wankhede Stadium,Indian Premier League,T20,20,RR Rossouw,Royal Challengers Bangalore,24,14,1,2,0,0,0,0,0,0,0,0,35,0,0,35,BR Dunk,CM Gautam,AT Rayudu,RG Sharma,CJ Anderson,KA Pollard,AP Tare,Harbhajan Singh,JJ Bumrah,SL Malinga,P Suyal
733999,,2014-05-11,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Rossouw,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,V Kohli,CH Gayle,VH Zol,AB de Villiers,Yuvraj Singh,JA Morkel,PA Patel,MA Starc,VR Aaron,YS Chahal,AB Dinda
734035,cad00a4d,2014-05-24,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Rossouw,Royal Challengers Bangalore,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DR Smith,F du Plessis,SK Raina,MS Dhoni,DJ Hussey,RA Jadeja,M Manhas,R Ashwin,MM Sharma,S Badree,A Nehra
829737,cad00a4d,2015-04-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Rossouw,Royal Challengers Bangalore,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,LMP Simmons,PA Patel,UBT Chand,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,HH Pandya,JJ Bumrah,MJ McClenaghan,SL Malinga
829745,cad00a4d,2015-04-22,M Chinnaswamy Stadium,Indian Premier League,T20,20,RR Rossouw,Royal Challengers Bangalore,14,9,1,1,0,0,0,0,0,2,0,0,17,0,16,33,DR Smith,BB McCullum,SK Raina,MS Dhoni,RA Jadeja,F du Plessis,DJ Bravo,R Ashwin,MM Sharma,A Nehra,IC Pandey
