date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2011-04-09,Nehru Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,1,0,0,6,1,20,0,0,0,0,0,-2,25,0,23,MA Agarwal,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,AUK Pathan,CA Pujara,Z Khan,DL Vettori,DP Nannes,A Mithun
2011-04-13,Dr DY Patil Sports Academy,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,26,19,3,0,0,0,0,0,0,0,0,1,31,0,6,37,JD Ryder,GC Smith,M Manhas,Yuvraj Singh,RV Uthappa,MD Mishra,WD Parnell,R Sharma,M Kartik,SB Wagh,AC Thomas
2011-04-15,Wankhede Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,0,0,0,18,1,30,1,0,0,0,0,0,33,0,33,DJ Jacobs,SR Tendulkar,AT Rayudu,KA Pollard,RG Sharma,A Symonds,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
2011-04-18,Nehru Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,0,0,0,12,1,20,1,0,0,0,0,0,33,0,33,MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,TG Southee,DE Bollinger
2011-04-20,Eden Gardens,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,10,10,0,1,0,0,0,0,0,0,0,0,12,0,0,12,MS Bisla,JH Kallis,G Gambhir,MK Tiwary,EJG Morgan,Shakib Al Hasan,YK Pathan,R Bhatia,B Lee,Iqbal Abdulla,L Balaji
2011-04-24,Sawai Mansingh Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,1,0,0,6,0,9,0,0,0,0,0,-2,0,0,-2,SR Watson,R Dravid,J Botha,LRPL Taylor,AL Menaria,AM Rahane,A Singh,DH Yagnik,SK Warne,STR Binny,SK Trivedi
2011-04-27,Nehru Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,1,0,0,6,0,4,0,0,1,0,0,-2,0,8,6,S Sohal,S Dhawan,B Chipli,KC Sangakkara,CL White,DT Christian,DB Ravi Teja,A Mishra,MS Gony,DW Steyn,I Sharma
2011-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,DA Warner,V Sehwag,NV Ojha,Y Nagar,Y Venugopal Rao,TR Birt,IK Pathan,RE van der Merwe,M Morkel,AB Agarkar,UT Yadav
2011-05-05,Nehru Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,1,1,0,0,24,2,14,1,1,0,0,0,1,76,0,77,JH Kallis,EJG Morgan,G Gambhir,MK Tiwary,YK Pathan,MV Boucher,B Lee,R Bhatia,Iqbal Abdulla,S Ladda,JD Unadkat
2011-05-08,M Chinnaswamy Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,7,16,1,0,0,0,0,0,0,0,0,0,2,0,0,2,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,CA Pujara,M Kaif,SS Tiwary,DL Vettori,Z Khan,S Aravind,A Mithun
2011-05-13,Holkar Cricket Stadium,Indian Premier League,T20,20,RV Gomez,Kochi Tuskers Kerala,2,3,0,0,6,0,12,0,0,0,0,0,2,0,0,2,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,DJ Hussey,Mandeep Singh,Bipul Sharma,SJ Srivastava,PP Chawla,RJ Harris,BA Bhatt
2013-05-15,JSCA International Stadium Complex,Indian Premier League,T20,20,RV Gomez,Pune Warriors,0,0,0,0,6,1,5,0,0,0,0,0,0,25,0,25,G Gambhir,MS Bisla,JH Kallis,YK Pathan,RN ten Doeschate,MK Tiwary,DB Das,R Bhatia,SMSM Senanayake,SP Narine,L Balaji
2013-05-19,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,RV Gomez,Pune Warriors,4,1,1,0,0,0,0,0,0,2,0,0,5,0,16,21,DPMD Jayawardene,DA Warner,B Chipli,V Sehwag,BJ Rohrer,IK Pathan,CM Gautam,M Morkel,UT Yadav,S Nadeem,S Kaul
