match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1175358,b8527c3d,2019-03-24,Wankhede Stadium,Indian Premier League,T20,20,Rasikh Salam,Mumbai Indians,5,4,0,0,26,0,42,0,0,1,0,0,5,0,8,13,PP Shaw,S Dhawan,SS Iyer,CA Ingram,RR Pant,KMA Paul,AR Patel,R Tewatia,K Rabada,TA Boult,I Sharma
1304060,b8527c3d,2022-04-06,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,Rasikh Salam,Kolkata Knight Riders,0,0,0,0,18,0,18,0,0,0,0,0,0,2,0,2,RG Sharma,Ishan Kishan,D Brevis,SA Yadav,Tilak Varma,KA Pollard,DR Sams,M Ashwin,TS Mills,JJ Bumrah,Basil Thampi
1304065,b8527c3d,2022-04-10,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,Rasikh Salam,Kolkata Knight Riders,7,6,1,0,6,0,10,0,0,0,0,0,8,0,0,8,PP Shaw,DA Warner,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,SN Khan,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
1422131,b8527c3d,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,0,0,0,0,12,0,26,0,0,0,0,0,0,-6,0,-6,M Pathirana,RD Gaikwad,R Ravindra,AM Rahane,DJ Mitchell,S Dube,Sameer Rizvi,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1422134,b8527c3d,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,1,5,0,0,18,0,47,0,0,0,0,0,1,-6,0,-5,VG Arora,PD Salt,SP Narine,A Raghuvanshi,AD Russell,SS Iyer,RK Singh,VR Iyer,Ramandeep Singh,MA Starc,Harshit Rana
1426278,b8527c3d,2024-04-24,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,0,0,0,0,24,3,44,1,0,1,0,0,0,85,8,93,S Sandeep Warrier,WP Saha,Shubman Gill,B Sai Sudharsan,Azmatullah Omarzai,DA Miller,M Shahrukh Khan,R Tewatia,Rashid Khan,R Sai Kishore,MM Sharma
1426281,b8527c3d,2024-04-27,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,0,0,0,0,24,3,35,0,0,0,0,0,0,79,0,79,N Thushara,Ishan Kishan,RG Sharma,SA Yadav,Tilak Varma,HH Pandya,N Wadhera,TH David,Mohammad Nabi,PP Chawla,L Wood
1426285,b8527c3d,2024-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,8,10,1,0,15,0,30,0,0,0,0,0,9,-4,0,5,CV Varun,PD Salt,SP Narine,RK Singh,SS Iyer,VR Iyer,AD Russell,Ramandeep Singh,MA Starc,VG Arora,Harshit Rana
1426294,b8527c3d,2024-05-07,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,9,3,2,0,18,1,36,1,0,0,0,0,11,29,0,40,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,R Parag,SB Dubey,R Powell,D Ferreira,R Ashwin,TA Boult,Avesh Khan
1426300,b8527c3d,2024-05-12,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,10,12,1,0,18,2,23,0,0,0,0,0,11,50,0,61,V Kohli,F du Plessis,WG Jacks,RM Patidar,C Green,MK Lomror,KD Karthik,Swapnil Singh,KV Sharma,Mohammed Siraj,Yash Dayal
1426302,b8527c3d,2024-05-14,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Rasikh Salam,Delhi Capitals,0,0,0,0,18,0,30,0,0,0,0,0,0,0,0,0,Mohsin Khan,Q de Kock,KL Rahul,MP Stoinis,DJ Hooda,N Pooran,A Badoni,KH Pandya,Arshad Khan,Yudhvir Singh,Ravi Bishnoi
