match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1216493,df064e1a,2020-09-20,Dubai International Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,1,22,1,0,0,0,0,0,37,0,37,PP Shaw,S Dhawan,SO Hetmyer,SS Iyer,RR Pant,MP Stoinis,AR Patel,R Ashwin,K Rabada,A Nortje,MM Sharma
1216498,df064e1a,2020-10-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,1,13,0,0,0,0,0,0,31,0,31,DA Warner,JM Bairstow,MK Pandey,Abdul Samad,V Shankar,JO Holder,PK Garg,Rashid Khan,Sandeep Sharma,T Natarajan,KK Ahmed
1216503,df064e1a,2020-10-01,Sheikh Zayed Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,1,5,0,0,24,1,37,0,0,0,0,0,1,25,0,26,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KA Pollard,HH Pandya,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1216506,df064e1a,2020-11-01,Sheikh Zayed Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,0,42,0,0,0,0,0,0,-2,0,-2,RD Gaikwad,F du Plessis,AT Rayudu,MS Dhoni,N Jagadeesan,SM Curran,RA Jadeja,DL Chahar,SN Thakur,L Ngidi,Imran Tahir
1216510,df064e1a,2020-09-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,3,32,2,0,2,0,0,0,95,16,111,D Padikkal,AJ Finch,JR Philippe,V Kohli,AB de Villiers,Washington Sundar,S Dube,UT Yadav,Navdeep Saini,DW Steyn,YS Chahal
1216513,df064e1a,2020-10-04,Dubai International Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,0,33,0,0,0,0,0,0,0,0,0,SR Watson,F du Plessis,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,SM Curran,DJ Bravo,PP Chawla,SN Thakur,DL Chahar
1216517,df064e1a,2020-10-18,Dubai International Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,12,1,12,0,0,0,0,0,0,27,0,27,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
1216520,df064e1a,2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,2,20,1,1,0,0,0,0,74,0,74,Shubman Gill,N Rana,RA Tripathi,KD Karthik,EJG Morgan,SP Narine,KL Nagarkoti,PJ Cummins,LH Ferguson,CV Varun,M Prasidh Krishna
1216523,df064e1a,2020-10-10,Sheikh Zayed Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,1,25,0,0,0,0,0,0,27,0,27,RA Tripathi,Shubman Gill,N Rana,EJG Morgan,KD Karthik,AD Russell,PJ Cummins,SP Narine,KL Nagarkoti,M Prasidh Krishna,CV Varun
1216527,df064e1a,2020-09-27,Sharjah Cricket Stadium,Indian Premier League,T20,20,Ravi Bishnoi,Kings XI Punjab,0,0,0,0,24,0,34,0,0,0,0,0,0,0,0,0,JC Buttler,SPD Smith,SV Samson,R Tewatia,RV Uthappa,JC Archer,R Parag,TK Curran,S Gopal,AS Rajpoot,JD Unadkat
