date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-05-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,Y Venugopal Rao,SB Bangar,AS Yadav,RP Singh,DP Vijaykumar,PP Ojha
2010-04-03,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,MJ Lumb,NV Ojha,YK Pathan,SR Watson,FY Fazal,AA Jhunjhunwala,AS Raut,S Narwal,SB Wagh,SK Warne,SW Tait
2010-04-13,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC Ganguly,CH Gayle,BB McCullum,MK Tiwary,DJ Hussey,AD Mathews,WP Saha,LR Shukla,AB Agarkar,Iqbal Abdulla,AB Dinda
2010-04-22,Dr DY Patil Sports Academy,Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,24,15,1,2,0,0,0,0,0,1,0,0,33,0,8,41,AC Gilchrist,HH Gibbs,TL Suman,RG Sharma,A Symonds,MD Mishra,B Sumanth,RJ Harris,Harmeet Singh,RP Singh,PP Ojha
2010-04-25,Dr DY Patil Sports Academy,Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,6,4,1,0,0,0,0,0,0,0,0,0,7,0,0,7,S Dhawan,SR Tendulkar,AM Nayar,Harbhajan Singh,AT Rayudu,SS Tiwary,JP Duminy,KA Pollard,Z Khan,SL Malinga,CRD Fernando
2011-04-08,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,64,56,6,2,0,0,0,0,0,0,0,0,82,0,0,82,MS Bisla,JH Kallis,YK Pathan,MK Tiwary,EJG Morgan,G Gambhir,LR Shukla,R Bhatia,Iqbal Abdulla,L Balaji,S Ladda
2011-04-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,1,0,0,0,0,0,0,0,0,0,1,-2,0,6,4,PC Valthaty,AC Gilchrist,SE Marsh,Sunny Singh,AM Nayar,KD Karthik,R McLaren,P Kumar,RJ Harris,PP Chawla,BA Bhatt
2011-04-16,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,28,MA Agarwal,TM Dilshan,AUK Pathan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,Z Khan
2011-04-18,Nehru Stadium,Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,RA Jadeja,KM Jadhav,NLTC Perera,RV Gomez,R Vinay Kumar,RP Singh,RR Powar
2011-04-22,Wankhede Stadium,Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,9,12,0,1,0,0,0,0,0,1,0,0,11,0,8,19,R Sathish,SR Tendulkar,AT Rayudu,RG Sharma,A Symonds,KA Pollard,JEC Franklin,Harbhajan Singh,AN Ahmed,MM Patel,SL Malinga
2011-04-25,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,7,JD Ryder,MD Mishra,MK Pandey,RV Uthappa,Yuvraj Singh,M Manhas,NL McCullum,R Sharma,JE Taylor,M Kartik,AC Thomas
2011-04-27,Dr DY Patil Sports Academy,Indian Premier League,T20,20,S Anirudha,Chennai Super Kings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,JD Ryder,MD Mishra,MK Pandey,M Manhas,Yuvraj Singh,RV Uthappa,MR Marsh,JE Taylor,M Kartik,R Sharma,AC Thomas
