date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-19,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,31,14,3,2,0,0,0,0,0,0,0,0,48,0,0,48,K Goel,JR Hopes,KC Sangakkara,Yuvraj Singh,SM Katich,IK Pathan,P Dharmani,B Lee,PP Chawla,WA Mota,S Sreesanth
2008-04-23,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,2,1,0,0,0,0,0,0,0,1,0,1,2,0,14,16,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,DJ Bravo,AM Nayar,MA Khote,Harbhajan Singh,A Nehra,VS Yeligati,DS Kulkarni
2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn
2008-05-02,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,11,5,0,1,0,0,0,0,0,0,0,0,13,0,0,13,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,R Bhatia,VY Mahesh,GD McGrath,PJ Sangwan,Mohammad Asif
2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,15,14,3,0,0,0,0,0,0,0,0,0,18,0,0,18,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Rawat,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
2008-05-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,5,0,0,0,0,0,0,0,2,0,0,-2,0,16,14,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,Y Venugopal Rao,SB Bangar,AS Yadav,RP Singh,DP Vijaykumar,PP Ojha
2008-05-08,Feroz Shah Kotla,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,8,5,1,0,0,0,0,0,0,0,0,0,9,0,0,9,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,VY Mahesh,GD McGrath,Mohammad Asif,PJ Sangwan
2008-05-10,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,64,52,6,3,0,0,0,0,0,0,0,0,84,0,0,84,SE Marsh,JR Hopes,K Goel,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,U Kaul
2008-05-14,Wankhede Stadium,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,53,35,7,2,0,0,0,0,0,0,0,0,76,0,0,76,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,YV Takawale,RR Raje,A Nehra,DS Kulkarni
2008-05-18,Eden Gardens,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salman Butt,Mohammad Hafeez,SC Ganguly,DB Das,DJ Hussey,LR Shukla,WP Saha,AB Agarkar,I Sharma,AB Dinda,Shoaib Akhtar
2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,JH Kallis,SP Goswami,V Kohli,R Dravid,Misbah-ul-Haq,MV Boucher,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,1,2,0,0,0,0,0,0,0,0,0,1,1,0,6,7,GC Smith,SA Asnodkar,Kamran Akmal,YK Pathan,M Kaif,T Kohli,D Salunkhe,SK Warne,Sohail Tanvir,Pankaj Singh,MM Patel
2008-05-27,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AC Gilchrist,HH Gibbs,SB Styris,Y Venugopal Rao,DB Ravi Teja,Shahid Afridi,AS Yadav,RP Singh,PP Ojha,PM Sarvesh Kumar,DP Vijaykumar
2008-05-31,Wankhede Stadium,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,RR Powar,S Sreesanth,VRV Singh
2008-06-01,Dr DY Patil Sports Academy,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,6,2,1,0,0,0,0,0,0,0,0,0,7,0,0,7,NK Patel,SA Asnodkar,Kamran Akmal,SR Watson,YK Pathan,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
2009-04-18,Newlands,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,Z Khan,PR Shah,SL Malinga,RR Raje
2009-04-20,St George's Park,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,P Kumar,RV Uthappa,JH Kallis,LRPL Taylor,KP Pietersen,R Dravid,V Kohli,R Bishnoi,R Vinay Kumar,DW Steyn,A Kumble
2009-04-23,Kingsmead,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,7,8,0,0,0,0,0,0,0,0,0,0,7,0,0,7,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,MK Tiwary,DL Vettori,DP Nannes,AM Salvi,PJ Sangwan,A Nehra
2009-04-27,Kingsmead,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,8,9,1,0,0,0,0,0,0,0,0,0,9,0,0,9,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,AA Bilakhia,Y Venugopal Rao,PP Ojha,RP Singh,FH Edwards,Shoaib Ahmed
2009-04-30,SuperSport Park,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,29,27,4,0,0,0,0,0,0,2,0,0,33,0,16,49,RJ Quiney,GC Smith,SA Asnodkar,RA Jadeja,YK Pathan,AD Mascarenhas,SK Warne,M Rawat,MM Patel,SK Trivedi,Kamran Khan
2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,45,34,4,2,0,0,0,0,0,0,0,0,59,0,0,59,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,PJ Sangwan,A Mishra,A Nehra,DP Nannes
2009-05-04,Buffalo Park,Indian Premier League,T20,20,S Badrinath,Chennai Super Kings,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,TL Suman,Y Venugopal Rao,RJ Harris,RP Singh,Shoaib Ahmed,PP Ojha
