match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082593,1da489ff,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,0,44,0,0,0,0,0,0,-2,0,-2,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,PP Chawla,Kuldeep Yadav,SP Narine,TA Boult
1082596,1da489ff,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
1082610,1da489ff,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,18,0,36,0,0,0,0,0,0,-4,0,-4,CH Gayle,V Kohli,TM Head,KM Jadhav,SR Watson,Mandeep Singh,STR Binny,P Negi,AF Milne,S Aravind,YS Chahal
980949,1da489ff,2016-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,19,0,32,0,0,0,0,0,0,-2,0,-2,AM Rahane,SS Tiwary,SPD Smith,MS Dhoni,NLTC Perera,JA Morkel,R Bhatia,PSP Handscomb,R Ashwin,M Ashwin,AB Dinda
980955,1da489ff,2016-05-01,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,3,20,0,0,0,0,0,0,83,0,83,M Vijay,MP Stoinis,SE Marsh,GJ Maxwell,Gurkeerat Singh,DA Miller,WP Saha,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma
980961,1da489ff,2016-05-03,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,1,29,0,0,0,0,0,0,25,0,25,Q de Kock,RR Pant,SV Samson,JP Duminy,KK Nair,SW Billings,CH Morris,A Mishra,Mohammed Shami,Z Khan,S Nadeem
980967,1da489ff,2016-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,KS Williamson,MC Henriques,Yuvraj Singh,DJ Hooda,NV Ojha,B Kumar,BB Sran,A Nehra,Mustafizur Rahman
980975,1da489ff,2016-05-08,Eden Gardens,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,RV Uthappa,G Gambhir,MK Pandey,SA Yadav,Shakib Al Hasan,YK Pathan,AD Russell,GB Hogg,PP Chawla,M Morkel,UT Yadav
980987,1da489ff,2016-05-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,1,0,0,18,0,50,0,0,0,0,0,-2,-6,0,-8,CH Gayle,V Kohli,AB de Villiers,SR Watson,KL Rahul,Sachin Baby,STR Binny,CJ Jordan,S Aravind,VR Aaron,YS Chahal
981017,1da489ff,2016-05-27,Feroz Shah Kotla,Indian Premier League,T20,20,S Kaushik,Gujarat Lions,0,0,0,0,24,2,22,0,0,0,0,0,0,54,0,54,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,BB Sran,TA Boult
