date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,2,0,0,24,1,13,0,0,0,1,0,-2,31,12,41,CH Gayle,SR Watson,Mandeep Singh,KM Jadhav,STR Binny,Vishnu Vinod,P Negi,Iqbal Abdulla,TS Mills,YS Chahal,B Stanlake
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,24,1,23,0,0,1,0,0,0,29,8,37,AM Rahane,MA Agarwal,F du Plessis,RA Tripathi,BA Stokes,MS Dhoni,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,12,2,13,1,0,0,0,0,0,60,0,60,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,1,0,0,5,0,9,0,0,0,0,0,-2,0,0,-2,MJ Guptill,HM Amla,M Vohra,SE Marsh,GJ Maxwell,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,12,0,28,0,0,0,0,1,0,-6,6,0,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,18,1,21,1,0,0,0,0,0,33,0,33,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,2,6,0,0,12,1,12,0,0,1,0,0,2,27,8,37,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal
2018-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,24,3,34,1,0,0,0,0,0,87,0,87,AM Rahane,DJM Short,BA Stokes,SV Samson,JC Buttler,RA Tripathi,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KA Pollard,KH Pandya,HH Pandya,A Dananjaya,M Markande,JJ Bumrah,Mustafizur Rahman
2018-04-16,Eden Gardens,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,6,8,0,0,24,1,43,0,0,0,0,0,6,23,0,29,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,12,1,27,0,0,0,0,0,0,19,0,19,Q de Kock,M Vohra,V Kohli,AB de Villiers,CJ Anderson,Mandeep Singh,Washington Sundar,CR Woakes,UT Yadav,Mohammed Siraj,YS Chahal
2018-05-02,Arun Jaitley Stadium,Indian Premier League,T20,20,S Nadeem,Delhi Daredevils,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,DJM Short,JC Buttler,SV Samson,BA Stokes,RA Tripathi,K Gowtham,JC Archer,AM Rahane,JD Unadkat,DS Kulkarni,S Gopal
