match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335987,3fca55af,2008-04-21,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,M Kaif,Kamran Akmal,YK Pathan,SR Watson,DS Lehmann,RA Jadeja,Pankaj Singh,D Salunkhe,SK Warne,SK Trivedi,MM Patel
335991,3fca55af,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,S Sohal,Kings XI Punjab,0,4,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,SS Tiwary,SM Pollock,AM Nayar,Harbhajan Singh,MA Khote,DS Kulkarni,A Nehra
392207,3fca55af,2009-05-03,St George's Park,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,25,18,0,3,0,0,0,0,0,0,0,0,33,0,0,33,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
392210,3fca55af,2009-05-05,Kingsmead,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,NV Ojha,GC Smith,YK Pathan,RA Jadeja,LA Carseldine,AS Raut,NK Patel,SK Warne,SM Harwood,SK Trivedi,A Singh
392214,3fca55af,2009-05-07,SuperSport Park,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,S Badrinath,ML Hayden,SK Raina,MS Dhoni,JA Morkel,GJ Bailey,S Tyagi,SB Jakati,L Balaji,M Muralitharan,MS Gony
392216,3fca55af,2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,30,18,4,1,0,0,0,0,0,0,0,0,44,0,0,44,AC Gilchrist,HH Gibbs,TL Suman,RG Sharma,A Symonds,Y Venugopal Rao,DB Ravi Teja,PP Ojha,Shoaib Ahmed,RP Singh,RJ Harris
392222,3fca55af,2009-05-12,SuperSport Park,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,43,26,5,3,0,0,0,0,0,0,0,0,62,0,0,62,ST Jayasuriya,DJ Bravo,AM Rahane,SR Tendulkar,JP Duminy,AM Nayar,Harbhajan Singh,RR Raje,YV Takawale,DS Kulkarni,SL Malinga
392226,3fca55af,2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,3,12,0,0,0,0,0,0,0,2,0,0,-3,0,16,13,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,M Manhas,KD Karthik,MF Maharoof,DL Vettori,R Bhatia,PJ Sangwan,A Nehra
392229,3fca55af,2009-05-17,New Wanderers Stadium,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,9,15,0,1,0,0,0,0,0,0,0,0,9,0,0,9,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,DB Ravi Teja,RJ Harris,RP Singh,Jaskaran Singh,PP Ojha
392234,3fca55af,2009-05-20,Kingsmead,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,3,10,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,GJ Bailey,PA Patel,SK Raina,S Badrinath,MS Dhoni,JDP Oram,MS Gony,R Ashwin,T Thushara,L Balaji,M Muralitharan
419159,3fca55af,2010-04-18,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,S Sohal,Kings XI Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,JM Kemp,R Ashwin,SB Jakati,DE Bollinger,S Tyagi
501208,3fca55af,2011-04-14,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,S Sohal,Deccan Chargers,38,39,5,1,0,0,0,0,0,0,0,0,49,0,0,49,MA Agarwal,TM Dilshan,Z Khan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,S Aravind
