date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,60,35,10,1,0,0,0,0,0,0,0,0,86,0,0,86,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,32,31,5,0,0,0,0,0,0,0,0,0,41,0,0,41,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,39,38,3,1,0,0,0,0,0,1,0,0,48,0,8,56,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,50,46,7,1,0,0,0,0,0,0,0,0,67,0,0,67,J Arunkumar,V Kohli,Misbah-ul-Haq,JH Kallis,CL White,R Dravid,DT Patil,P Kumar,Z Khan,A Kumble,Abdur Razzak
2008-05-20,Eden Gardens,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,5,3,1,0,0,0,0,0,0,2,0,0,6,0,16,22,Salman Butt,Mohammad Hafeez,SC Ganguly,DJ Hussey,DB Das,LR Shukla,WP Saha,AB Agarkar,Umar Gul,I Sharma,AB Dinda
2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,41,27,5,2,0,0,0,0,0,0,0,0,58,0,0,58,PA Patel,SP Fleming,SK Raina,JA Morkel,MS Dhoni,S Badrinath,MS Gony,A Mukund,L Balaji,M Muralitharan,M Ntini
2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,17,20,2,0,0,0,0,0,0,0,0,0,19,0,0,19,ST Jayasuriya,SR Tendulkar,AM Nayar,RV Uthappa,DR Smith,SM Pollock,MK Pandey,YV Takawale,RR Raje,CRD Fernando,A Nehra
2008-05-30,Wankhede Stadium,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,39,21,6,1,0,0,0,0,0,1,0,0,57,0,8,65,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,KD Karthik,MF Maharoof,A Mishra,VY Mahesh,Mohammad Asif,GD McGrath
2008-06-01,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,28,20,4,0,0,0,0,0,0,1,0,0,34,0,8,42,PA Patel,S Vidyut,SK Raina,JA Morkel,MS Dhoni,CK Kapugedera,S Badrinath,MS Gony,L Balaji,M Muralitharan,M Ntini
2009-04-18,Newlands,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,JD Ryder,RV Uthappa,LRPL Taylor,KP Pietersen,R Dravid,V Kohli,B Akhil,P Kumar,R Vinay Kumar,DW Steyn,A Kumble
2009-04-26,Newlands,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,3,5,0,0,0,0,0,0,0,0,0,1,3,0,6,9,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,WA Mota,RR Powar,VRV Singh,YA Abdulla
2009-04-28,SuperSport Park,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,11,8,1,1,0,0,0,0,0,1,0,0,14,0,8,22,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,DL Vettori,M Manhas,A Mishra,PJ Sangwan,A Nehra,DP Nannes
2009-04-30,SuperSport Park,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,10,8,0,1,0,0,0,0,0,0,0,0,12,0,0,12,PA Patel,ML Hayden,SK Raina,S Badrinath,JDP Oram,MS Dhoni,JA Morkel,S Tyagi,SB Jakati,L Balaji,M Muralitharan
2009-05-02,St George's Park,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,HH Gibbs,AC Gilchrist,AA Bilakhia,RG Sharma,TL Suman,DR Smith,Y Venugopal Rao,Shoaib Ahmed,PP Ojha,RP Singh,FH Edwards
2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,SA Asnodkar,Rajasthan Royals,26,26,3,1,0,0,0,0,0,0,0,0,31,0,0,31,M Vijay,ML Hayden,SK Raina,S Badrinath,JDP Oram,MS Dhoni,JA Morkel,S Tyagi,SB Jakati,L Balaji,M Muralitharan
