match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082593,271f83cd,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,MS Gony,P Kumar,SB Jakati,DS Kulkarni,S Kaushik
1082597,271f83cd,2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,17,15,2,0,0,0,0,0,0,0,0,0,19,0,0,19,PA Patel,JC Buttler,N Rana,RG Sharma,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082601,271f83cd,2017-04-13,Eden Gardens,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,I Sharma
1082604,271f83cd,2017-04-15,Eden Gardens,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,4,3,1,0,0,0,0,0,0,0,0,0,5,0,0,5,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,A Nehra
1082608,271f83cd,2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,7,9,0,0,0,0,0,0,0,0,0,0,7,0,0,7,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,AD Mathews,CH Morris,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
1082613,271f83cd,2017-04-21,Eden Gardens,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
1082617,271f83cd,2017-04-23,Eden Gardens,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,15,19,1,0,0,0,0,0,0,0,0,0,16,0,0,16,CH Gayle,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,STR Binny,P Negi,S Badree,TS Mills,S Aravind,YS Chahal
1082631,271f83cd,2017-05-03,Eden Gardens,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,30,16,2,2,0,0,0,0,0,0,0,0,46,0,0,46,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082648,271f83cd,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,V Shankar,NV Ojha,CJ Jordan,Bipul Sharma,B Kumar,Rashid Khan,S Kaul
1082649,271f83cd,2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,SA Yadav,Kolkata Knight Riders,31,26,2,1,0,0,0,0,0,0,0,0,39,0,0,39,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MG Johnson,KV Sharma,JJ Bumrah,SL Malinga
1136561,271f83cd,2018-04-07,Wankhede Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,43,29,6,1,0,0,0,0,0,1,0,0,57,0,8,65,SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,MA Wood,Imran Tahir
1136567,271f83cd,2018-04-12,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,28,31,2,1,0,0,0,0,0,0,0,0,32,0,0,32,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,Rashid Khan,S Kaul,Sandeep Sharma,B Stanlake
1136569,271f83cd,2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,53,32,7,1,0,0,0,0,0,0,0,0,74,0,0,74,JJ Roy,G Gambhir,RR Pant,GJ Maxwell,SS Iyer,V Shankar,DT Christian,R Tewatia,S Nadeem,Mohammed Shami,TA Boult
1136574,271f83cd,2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,V Kohli,Q de Kock,AB de Villiers,Mandeep Singh,CJ Anderson,Washington Sundar,SN Khan,CR Woakes,UT Yadav,Mohammed Siraj,YS Chahal
1136581,271f83cd,2018-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,72,50,6,3,0,0,0,0,0,1,0,0,94,0,8,102,AM Rahane,RA Tripathi,SV Samson,BA Stokes,JC Buttler,H Klaasen,JC Archer,K Gowtham,JD Unadkat,DS Kulkarni,S Gopal
1136583,271f83cd,2018-04-24,Wankhede Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,34,39,4,0,0,0,0,0,0,0,0,0,42,0,0,42,S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan,YK Pathan,Mohammad Nabi,Rashid Khan,Basil Thampi,S Kaul,Sandeep Sharma
1136587,271f83cd,2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,44,35,5,1,0,0,0,0,0,0,0,0,55,0,0,55,SR Watson,AT Rayudu,SK Raina,MS Dhoni,DJ Bravo,SW Billings,RA Jadeja,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1136591,271f83cd,2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,SA Yadav,Mumbai Indians,9,9,2,0,0,0,0,0,0,1,0,0,11,0,8,19,M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,C de Grandhomme,Washington Sundar,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
