date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,SB Jakati,Gujarat Lions,0,0,0,0,18,0,30,0,0,0,0,0,0,0,0,0,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,PP Chawla,Kuldeep Yadav,SP Narine,TA Boult
2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,SB Jakati,Gujarat Lions,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,Ankit Sharma,SN Thakur,LH Ferguson,RD Chahar,Imran Tahir
2009-04-30,SuperSport Park,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RJ Quiney,GC Smith,SA Asnodkar,RA Jadeja,YK Pathan,AD Mascarenhas,SK Warne,M Rawat,MM Patel,SK Trivedi,Kamran Khan
2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,13,9,2,0,24,4,25,2,0,0,1,0,15,126,12,153,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,PJ Sangwan,A Mishra,A Nehra,DP Nannes
2009-05-04,Buffalo Park,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,4,23,2,0,2,0,0,0,128,16,144,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,TL Suman,Y Venugopal Rao,RJ Harris,RP Singh,Shoaib Ahmed,PP Ojha
2009-05-07,SuperSport Park,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,12,1,20,0,0,1,0,0,0,25,8,33,S Sohal,SM Katich,K Goel,Yuvraj Singh,DPMD Jayawardene,KC Sangakkara,IK Pathan,S Sreesanth,PP Chawla,YA Abdulla,VRV Singh
2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,2,35,0,0,0,1,0,0,50,12,62,GC Smith,NV Ojha,SA Asnodkar,RA Jadeja,YK Pathan,LA Carseldine,AS Raut,SK Warne,SM Harwood,A Singh,SK Trivedi
2009-05-14,Kingsmead,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,7,7,1,0,24,0,25,0,0,0,0,0,8,2,0,10,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,V Kohli,MV Boucher,RE van der Merwe,B Akhil,P Kumar,R Vinay Kumar,A Kumble
2009-05-16,St George's Park,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,ST Jayasuriya,DJ Bravo,JP Duminy,SR Tendulkar,AM Nayar,Harbhajan Singh,YV Takawale,AM Rahane,DS Kulkarni,SL Malinga,C Nanda
2009-05-18,SuperSport Park,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,1,40,1,0,0,0,0,0,33,0,33,BB McCullum,SC Ganguly,BJ Hodge,DJ Hussey,WP Saha,LR Shukla,AB Agarkar,Anureet Singh,M Kartik,AB Dinda,BAW Mendis
2009-05-23,New Wanderers Stadium,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,1,29,1,0,0,0,0,0,33,0,33,JH Kallis,MK Pandey,RE van der Merwe,R Dravid,V Kohli,LRPL Taylor,RV Uthappa,MV Boucher,P Kumar,R Vinay Kumar,A Kumble
2010-03-25,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,1,33,0,0,0,0,0,0,25,0,25,S Dhawan,SR Tendulkar,SS Tiwary,R Sathish,KA Pollard,DJ Bravo,R McLaren,AP Tare,Harbhajan Singh,Z Khan,SL Malinga
2010-03-28,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,2,30,0,0,0,0,1,0,50,6,56,MJ Lumb,NV Ojha,FY Fazal,YK Pathan,AC Voges,AA Jhunjhunwala,P Dogra,S Narwal,SK Warne,SW Tait,SK Trivedi
2010-03-31,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,3,17,0,1,0,0,1,0,97,6,103,MK Pandey,JH Kallis,RV Uthappa,V Kohli,KP Pietersen,CL White,R Dravid,P Kumar,A Kumble,DW Steyn,R Vinay Kumar
2010-04-03,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,18,0,38,0,0,0,0,0,0,-6,0,-6,MJ Lumb,NV Ojha,YK Pathan,SR Watson,FY Fazal,AA Jhunjhunwala,AS Raut,S Narwal,SB Wagh,SK Warne,SW Tait
2010-04-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,2,30,0,0,0,0,0,0,50,0,50,S Dhawan,SR Tendulkar,SS Tiwary,AT Rayudu,DJ Bravo,KA Pollard,R Sathish,R McLaren,Harbhajan Singh,AN Ahmed,SL Malinga
2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,1,29,0,0,0,0,0,0,25,0,25,MD Mishra,AC Gilchrist,TL Suman,RG Sharma,A Symonds,DR Smith,B Sumanth,RP Singh,PP Ojha,RJ Harris,Harmeet Singh
2010-04-13,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,1,23,0,0,0,1,0,0,29,12,41,SC Ganguly,CH Gayle,BB McCullum,MK Tiwary,DJ Hussey,AD Mathews,WP Saha,LR Shukla,AB Agarkar,Iqbal Abdulla,AB Dinda
2010-04-15,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,18,1,14,0,0,0,0,0,0,31,0,31,V Sehwag,DA Warner,TM Dilshan,G Gambhir,KD Karthik,M Manhas,PD Collingwood,A Mishra,A Nehra,DP Nannes,UT Yadav
2010-04-18,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,SE Marsh,KC Sangakkara,Yuvraj Singh,IK Pathan,K Goel,J Theron,RR Powar,PP Chawla,S Sohal,VRV Singh
2010-04-22,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SB Jakati,Chennai Super Kings,0,0,0,0,24,2,44,1,0,0,1,0,0,56,12,68,AC Gilchrist,HH Gibbs,TL Suman,RG Sharma,A Symonds,MD Mishra,B Sumanth,RJ Harris,Harmeet Singh,RP Singh,PP Ojha
