date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,28,12,3,2,24,0,17,0,0,0,0,0,41,6,0,47,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,B Akhil,P Kumar,Z Khan,SB Joshi,R Vinay Kumar
2008-04-23,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SM Pollock,Mumbai Indians,17,18,0,1,18,0,36,0,0,0,0,0,19,-4,0,15,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
2008-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,SM Pollock,Mumbai Indians,22,21,2,1,24,1,40,0,0,0,0,0,26,25,0,51,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,RR Sarwan,DPMD Jayawardene,S Sohal,B Lee,PP Chawla,S Sreesanth,VRV Singh
2008-04-27,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,31,31,3,1,12,0,33,0,0,0,0,0,40,-6,0,34,AC Gilchrist,VVS Laxman,A Symonds,RG Sharma,Shahid Afridi,SB Bangar,AS Yadav,RP Singh,PP Ojha,D Kalyankrishna,DNT Zoysa
2008-04-29,Eden Gardens,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,0,0,0,24,2,27,1,0,0,0,0,0,60,0,60,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2008-05-04,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,33,17,2,3,24,2,16,0,0,1,0,0,51,56,8,115,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,Shoaib Malik,KD Karthik,R Bhatia,PJ Sangwan,VY Mahesh,Mohammad Asif,GD McGrath
2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,0,0,0,18,1,19,0,0,0,1,0,0,27,12,39,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,MV Boucher,SP Goswami,Misbah-ul-Haq,R Dravid,CL White,V Kohli,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
2008-05-14,Wankhede Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,0,0,0,24,1,9,0,1,0,0,0,0,43,0,43,S Vidyut,SP Fleming,SK Raina,S Badrinath,CK Kapugedera,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,L Balaji,M Muralitharan
2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,0,0,0,24,4,12,0,0,0,0,1,0,114,6,120,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,Mohammad Hafeez,WP Saha,LR Shukla,AB Agarkar,Shoaib Akhtar,I Sharma,AB Dinda
2008-05-21,Wankhede Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,1,0,0,18,1,14,0,0,1,0,0,-2,31,8,37,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh
2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,16,15,2,0,18,1,35,0,0,0,0,0,18,21,0,39,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,KD Karthik,MF Maharoof,B Geeves,VY Mahesh,A Mishra,GD McGrath
2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,SM Pollock,Mumbai Indians,0,1,0,0,24,0,26,0,0,0,0,0,-2,2,0,0,Kamran Akmal,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,NK Patel,SK Warne,Sohail Tanvir,SK Trivedi,Pankaj Singh
