match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
336001,eea6b7f1,2008-05-02,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,13,14,2,0,0,0,0,0,0,0,0,0,15,0,0,15,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,R Bhatia,VY Mahesh,GD McGrath,PJ Sangwan,Mohammad Asif
336005,eea6b7f1,2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Rawat,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
336007,eea6b7f1,2008-05-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,14,17,2,0,0,0,0,0,0,0,0,0,16,0,0,16,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,Y Venugopal Rao,SB Bangar,AS Yadav,RP Singh,DP Vijaykumar,PP Ojha
336009,eea6b7f1,2008-05-08,Feroz Shah Kotla,Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,44,30,7,0,0,0,0,0,0,0,0,0,57,0,0,57,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,VY Mahesh,GD McGrath,Mohammad Asif,PJ Sangwan
336013,eea6b7f1,2008-05-10,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,1,4,0,0,0,0,0,0,0,1,0,0,1,0,8,9,SE Marsh,JR Hopes,K Goel,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,U Kaul
336018,eea6b7f1,2008-05-14,Wankhede Stadium,Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,26,29,4,0,0,0,0,0,0,0,0,0,30,0,0,30,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,YV Takawale,RR Raje,A Nehra,DS Kulkarni
336025,eea6b7f1,2008-05-18,Eden Gardens,Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,32,21,6,0,0,0,0,0,0,0,0,0,46,0,0,46,Salman Butt,Mohammad Hafeez,SC Ganguly,DB Das,DJ Hussey,LR Shukla,WP Saha,AB Agarkar,I Sharma,AB Dinda,Shoaib Akhtar
336029,eea6b7f1,2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,45,40,3,2,0,0,0,0,0,1,0,0,56,0,8,64,JH Kallis,SP Goswami,V Kohli,R Dravid,Misbah-ul-Haq,MV Boucher,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
336033,eea6b7f1,2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,7,4,0,1,0,0,0,0,0,0,0,0,9,0,0,9,GC Smith,SA Asnodkar,Kamran Akmal,YK Pathan,M Kaif,T Kohli,D Salunkhe,SK Warne,Sohail Tanvir,Pankaj Singh,MM Patel
336037,eea6b7f1,2008-05-27,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SP Fleming,Chennai Super Kings,14,10,3,0,0,0,0,0,0,0,0,0,19,0,0,19,AC Gilchrist,HH Gibbs,SB Styris,Y Venugopal Rao,DB Ravi Teja,Shahid Afridi,AS Yadav,RP Singh,PP Ojha,PM Sarvesh Kumar,DP Vijaykumar
