date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2018-05-10,Arun Jaitley Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,PP Shaw,JJ Roy,SS Iyer,RR Pant,HV Patel,GJ Maxwell,V Shankar,LE Plunkett,S Nadeem,A Mishra,TA Boult
2018-05-13,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,DL Chahar,SN Thakur
2018-05-17,M.Chinnaswamy Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,PA Patel,V Kohli,AB de Villiers,MM Ali,C de Grandhomme,Mandeep Singh,SN Khan,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
2018-05-19,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,35,28,4,1,0,0,0,0,0,1,0,0,45,0,8,53,CA Lynn,SP Narine,RV Uthappa,KD Karthik,AD Russell,N Rana,Shubman Gill,PP Chawla,JPR Scantlebury-Searles,Kuldeep Yadav,M Prasidh Krishna
2018-05-22,Wankhede Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,12,9,2,0,0,0,0,0,0,1,0,0,14,0,8,22,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,DJ Bravo,RA Jadeja,DL Chahar,Harbhajan Singh,SN Thakur,L Ngidi
2018-05-27,Wankhede Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,5,5,0,0,0,0,0,0,0,1,0,0,5,0,8,13,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,DJ Bravo,RA Jadeja,DL Chahar,KV Sharma,SN Thakur,L Ngidi
2020-10-27,Dubai International Cricket Stadium,Indian Premier League,T20,20,SP Goswami,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,DA Warner,WP Saha,MK Pandey,KS Williamson,V Shankar,Abdul Samad,JO Holder,Rashid Khan,Sandeep Sharma,T Natarajan,S Nadeem
2020-11-06,Sheikh Zayed Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,0,3,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,V Kohli,D Padikkal,AJ Finch,AB de Villiers,MM Ali,S Dube,Washington Sundar,Navdeep Saini,Mohammed Siraj,YS Chahal,A Zampa
2020-11-08,Sheikh Zayed Stadium,Indian Premier League,T20,20,SP Goswami,Sunrisers Hyderabad,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,MP Stoinis,S Dhawan,SS Iyer,SO Hetmyer,RR Pant,AM Rahane,P Dubey,AR Patel,R Ashwin,K Rabada,A Nortje
2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,14,AC Gilchrist,HH Gibbs,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar
2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,20,24,1,0,0,0,0,0,0,0,0,0,21,0,0,21,ST Jayasuriya,SR Tendulkar,RV Uthappa,DR Smith,AM Nayar,SM Pollock,MK Pandey,YV Takawale,DS Kulkarni,CRD Fernando,A Nehra
2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,52,43,7,1,0,0,0,0,0,1,0,1,69,0,14,83,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,S Dhawan,KD Karthik,MF Maharoof,R Bhatia,VY Mahesh,PJ Sangwan,GD McGrath
2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,10,19,1,0,0,0,0,0,0,0,0,1,7,0,6,13,PA Patel,SP Fleming,MS Dhoni,SK Raina,S Badrinath,JA Morkel,S Vidyut,MS Gony,L Balaji,M Ntini,M Muralitharan
2009-04-29,Kingsmead,Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,43,49,6,0,0,0,0,0,0,1,0,0,53,0,8,61,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2009-05-01,Kingsmead,Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,10,15,0,0,0,0,0,0,0,0,0,0,8,0,0,8,Yuvraj Singh,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,RR Powar,TM Srivastava,VS Malik,YA Abdulla
2010-03-14,Eden Gardens,Indian Premier League,T20,20,SP Goswami,Royal Challengers Bangalore,8,10,2,0,0,0,0,0,0,0,0,0,10,0,0,10,BJ Hodge,MK Tiwary,SC Ganguly,CA Pujara,OA Shah,RS Gavaskar,AD Mathews,WP Saha,M Kartik,CK Langeveldt,I Sharma
2011-04-28,Feroz Shah Kotla,Indian Premier League,T20,20,SP Goswami,Kolkata Knight Riders,22,21,4,0,0,0,0,0,0,1,0,1,26,0,14,40,DA Warner,V Sehwag,JR Hopes,IK Pathan,TR Birt,Y Venugopal Rao,NV Ojha,Y Nagar,AB Agarkar,M Morkel,UT Yadav
2011-04-30,Eden Gardens,Indian Premier League,T20,20,SP Goswami,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,18,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,AM Nayar,DJ Hussey,Bipul Sharma,P Kumar,PP Chawla,BA Bhatt,RJ Harris
2011-05-19,Dr DY Patil Sports Academy,Indian Premier League,T20,20,SP Goswami,Kolkata Knight Riders,6,3,1,0,0,0,0,0,0,1,0,0,7,0,8,15,JD Ryder,MK Pandey,CJ Ferguson,SC Ganguly,RV Uthappa,Yuvraj Singh,S Rana,WD Parnell,AC Thomas,R Sharma,B Kumar
2011-05-22,Eden Gardens,Indian Premier League,T20,20,SP Goswami,Kolkata Knight Riders,1,4,0,0,0,0,0,0,0,1,0,0,1,0,8,9,TL Suman,SR Tendulkar,Harbhajan Singh,RG Sharma,KA Pollard,JEC Franklin,AT Rayudu,R Sathish,AN Ahmed,RW Price,SL Malinga
2011-05-25,Wankhede Stadium,Indian Premier League,T20,20,SP Goswami,Kolkata Knight Riders,0,3,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,AC Blizzard,SR Tendulkar,RG Sharma,AT Rayudu,JEC Franklin,KA Pollard,TL Suman,Harbhajan Singh,DS Kulkarni,MM Patel,SL Malinga
2012-04-06,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,14,AC Gilchrist,PC Valthaty,SE Marsh,AM Nayar,DJ Hussey,Mandeep Singh,Bipul Sharma,PP Chawla,JP Faulkner,P Kumar,Harmeet Singh
2012-04-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,23,19,2,0,0,0,0,0,0,1,0,0,25,0,8,33,JH Kallis,BB McCullum,G Gambhir,MK Tiwary,DB Das,YK Pathan,R Bhatia,LR Shukla,B Lee,SP Narine,Iqbal Abdulla
2012-04-11,Wankhede Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,RE Levi,TL Suman,RG Sharma,AT Rayudu,KA Pollard,KD Karthik,JEC Franklin,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
2012-04-13,Eden Gardens,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,24,22,1,1,0,0,0,0,0,0,0,0,27,0,0,27,JH Kallis,G Gambhir,MS Bisla,MK Tiwary,Shakib Al Hasan,YK Pathan,RN ten Doeschate,DB Das,R Bhatia,L Balaji,SP Narine
2012-04-15,M Chinnaswamy Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,M Kaif,DL Vettori,R Vinay Kumar,Z Khan,S Aravind,M Muralitharan
2012-04-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,S Badrinath,F du Plessis,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,WP Saha,R Ashwin,KMDN Kulasekara,SB Jakati,DE Bollinger
2012-04-23,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,V Kohli,TM Dilshan,MA Agarwal,CH Gayle,AB de Villiers,SS Tiwary,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
2012-04-29,Feroz Shah Kotla,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor,Y Nagar,NV Ojha,IK Pathan,AB Agarkar,M Morkel,S Nadeem,UT Yadav
2012-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,18,22,1,0,0,0,0,0,0,1,0,0,19,0,8,27,DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor,Y Nagar,NV Ojha,IK Pathan,P Negi,M Morkel,S Nadeem,UT Yadav
2012-05-13,Sawai Mansingh Stadium,Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC Ganguly,JD Ryder,RV Uthappa,AP Majumdar,CJ Ferguson,SPD Smith,AD Mathews,B Kumar,M Kartik,R Sharma,A Nehra
2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SP Goswami,Rajasthan Royals,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,PA Reddy,S Dhawan,JP Duminy,CL White,CA Lynn,PA Patel,A Ashish Reddy,A Mishra,DW Steyn,MS Gony,V Pratap Singh
