date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,0,0,0,0,24,0,33,0,0,0,0,0,0,0,0,0,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,MS Gony,P Kumar,SB Jakati,DS Kulkarni,S Kaushik
2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,1,2,0,0,24,1,22,1,0,1,0,0,1,37,8,46,PA Patel,JC Buttler,N Rana,RG Sharma,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-04-13,Eden Gardens,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,37,19,4,3,24,1,19,1,0,1,0,0,57,39,8,104,HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,I Sharma
2017-04-15,Eden Gardens,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,6,9,1,0,24,1,18,0,0,0,1,0,7,31,12,50,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,A Nehra
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,1,1,0,0,24,2,20,1,0,0,0,0,1,62,0,63,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,AD Mathews,CH Morris,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
2017-04-21,Eden Gardens,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,42,17,9,1,24,0,42,0,0,0,0,0,63,-2,0,61,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
2017-04-23,Eden Gardens,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,34,18,6,1,0,0,0,0,0,0,0,0,52,0,0,52,CH Gayle,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,STR Binny,P Negi,S Badree,TS Mills,S Aravind,YS Chahal
2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,16,12,3,0,24,1,34,0,0,0,1,0,21,25,12,58,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,F du Plessis,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
2017-04-28,Eden Gardens,Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,4,4,1,0,24,2,25,1,0,0,0,0,5,60,0,65,SV Samson,KK Nair,SS Iyer,RR Pant,CH Morris,CJ Anderson,AR Bawne,PJ Cummins,K Rabada,A Mishra,Z Khan
2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SP Narine,Kolkata Knight Riders,1,4,0,0,18,0,37,0,0,0,0,0,1,-6,0,-5,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
