match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1304068,9385de2e,2022-04-12,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,34,18,5,1,0,0,0,0,0,0,0,1,51,0,6,57,RD Gaikwad,RV Uthappa,MM Ali,S Dube,RA Jadeja,MS Dhoni,AT Rayudu,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
1304073,9385de2e,2022-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,6,5,1,0,0,0,0,0,0,1,0,0,7,0,8,15,PP Shaw,DA Warner,MR Marsh,RR Pant,R Powell,Lalit Yadav,SN Thakur,AR Patel,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
1304077,9385de2e,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,10,10,0,1,0,0,0,0,0,1,0,0,12,0,8,20,Q de Kock,KL Rahul,MK Pandey,KH Pandya,DJ Hooda,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Ravi Bishnoi,Avesh Khan
1304082,9385de2e,2022-04-23,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,15,22,1,0,0,0,0,0,0,0,0,0,14,0,0,14,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,J Suchith,B Kumar,M Jansen,T Natarajan,Umran Malik
1304085,9385de2e,2022-04-26,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,2,7,0,0,0,0,0,0,0,1,0,1,2,0,14,16,JC Buttler,D Padikkal,R Ashwin,SV Samson,DJ Mitchell,R Parag,SO Hetmyer,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
1304095,,2022-05-04,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,SS Prabhudessai,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,V Kohli,F du Plessis,GJ Maxwell,MK Lomror,RM Patidar,KD Karthik,PWH de Silva,Shahbaz Ahmed,HV Patel,Mohammed Siraj,JR Hazlewood
1359498,9385de2e,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,19,14,0,2,0,0,0,0,0,1,0,0,25,0,8,33,RD Gaikwad,DP Conway,AM Rahane,S Dube,AT Rayudu,MM Ali,RA Jadeja,MS Dhoni,TU Deshpande,M Theekshana,M Pathirana
1359501,9385de2e,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RD Chahar,Atharva Taide,P Simran Singh,MW Short,LS Livingstone,Harpreet Singh,SM Curran,JM Sharma,M Shahrukh Khan,Harpreet Brar,NT Ellis
1359506,9385de2e,2023-04-23,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,0,2,0,0,0,0,0,0,0,1,0,1,-2,0,14,12,YBK Jaiswal,JC Buttler,D Padikkal,SV Samson,SO Hetmyer,Dhruv Jurel,R Ashwin,Abdul Basith,JO Holder,TA Boult,Sandeep Sharma
1359510,9385de2e,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,10,9,1,0,0,0,0,0,0,0,0,0,11,0,0,11,Suyash Sharma,JJ Roy,N Jagadeesan,VR Iyer,N Rana,AD Russell,RK Singh,D Wiese,SP Narine,VG Arora,UT Yadav
1359517,9385de2e,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bangalore,6,7,0,0,0,0,0,0,0,1,0,0,6,0,8,14,KR Mayers,A Badoni,KH Pandya,DJ Hooda,MP Stoinis,N Pooran,K Gowtham,Ravi Bishnoi,A Mishra,Naveen-ul-Haq,KL Rahul
1359544,,2023-05-21,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,SS Prabhudessai,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,H Sharma,V Kohli,F du Plessis,GJ Maxwell,MK Lomror,MG Bracewell,KD Karthik,Anuj Rawat,HV Patel,WD Parnell,Vijaykumar Vyshak
1426274,9385de2e,2024-04-21,"Eden Gardens, Kolkata",Indian Premier League,T20,20,SS Prabhudessai,Royal Challengers Bengaluru,24,19,3,0,0,0,0,0,0,0,0,0,27,0,0,27,Suyash Sharma,PD Salt,SP Narine,A Raghuvanshi,VR Iyer,SS Iyer,RK Singh,AD Russell,Ramandeep Singh,MA Starc,CV Varun
