date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,24,2,33,1,0,0,0,0,0,58,0,58,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,DT Christian,R Bhatia,RD Chahar,Imran Tahir,AB Dinda
2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,24,1,26,0,0,0,0,0,0,27,0,27,SR Watson,Vishnu Vinod,AB de Villiers,KM Jadhav,Mandeep Singh,STR Binny,P Negi,Iqbal Abdulla,TS Mills,B Stanlake,YS Chahal
2017-04-13,Eden Gardens,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,C de Grandhomme,PP Chawla,UT Yadav,TA Boult
2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,2,2,0,0,24,1,41,0,0,0,0,0,2,23,0,25,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,PJ Cummins,A Mishra,Z Khan,S Nadeem
2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,5,5,0,0,24,1,38,0,0,1,0,0,5,25,8,38,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,NV Ojha,DJ Hooda,Mohammad Nabi,Rashid Khan,B Kumar,BB Sran,S Kaul
2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,18,0,39,0,0,0,0,0,0,-6,0,-6,PA Patel,JC Buttler,N Rana,HH Pandya,RG Sharma,KA Pollard,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,24,2,40,2,0,0,0,0,0,66,0,66,BB McCullum,AJ Finch,SK Raina,KD Karthik,RA Jadeja,DR Smith,AD Nath,AJ Tye,Basil Thampi,SS Agarwal,NB Singh
2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,24,4,20,0,0,1,0,0,0,112,8,120,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,K Rabada,A Mishra,Mohammed Shami,S Nadeem
2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,24,3,22,1,0,0,0,0,0,91,0,91,Mandeep Singh,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,SR Watson,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,Sandeep Sharma,Kings XI Punjab,0,0,0,0,25,2,30,0,0,0,0,0,0,50,0,50,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
