match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1216505,f9e6e7ef,2020-11-02,Sheikh Zayed Stadium,Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,1,1,0,0,24,2,27,0,0,0,0,0,1,52,0,53,PP Shaw,S Dhawan,AM Rahane,SS Iyer,RR Pant,MP Stoinis,AR Patel,DR Sams,R Ashwin,K Rabada,A Nortje
1216522,f9e6e7ef,2020-10-17,Dubai International Cricket Stadium,Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,0,0,0,0,12,0,18,0,0,1,0,0,0,0,8,8,RV Uthappa,BA Stokes,SV Samson,SPD Smith,JC Buttler,R Tewatia,JC Archer,R Parag,S Gopal,JD Unadkat,Kartik Tyagi
1254058,f9e6e7ef,2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,1,3,0,0,6,0,14,0,0,0,0,0,1,0,0,1,RG Sharma,CA Lynn,SA Yadav,Ishan Kishan,HH Pandya,KA Pollard,KH Pandya,M Jansen,RD Chahar,JJ Bumrah,TA Boult
1254063,f9e6e7ef,2021-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,14,10,0,1,12,3,7,0,0,1,0,0,18,85,8,111,WP Saha,DA Warner,MK Pandey,JM Bairstow,Abdul Samad,V Shankar,JO Holder,Rashid Khan,B Kumar,S Nadeem,T Natarajan
1254067,f9e6e7ef,2021-04-18,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N Rana,Shubman Gill,RA Tripathi,EJG Morgan,KD Karthik,Shakib Al Hasan,AD Russell,PJ Cummins,Harbhajan Singh,CV Varun,M Prasidh Krishna
1254073,f9e6e7ef,2021-04-22,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,JC Buttler,M Vohra,SV Samson,DA Miller,S Dube,R Parag,R Tewatia,CH Morris,S Gopal,C Sakariya,Mustafizur Rahman
1254083,f9e6e7ef,2021-04-30,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,8,11,1,0,12,1,11,0,0,1,0,0,9,29,8,46,KL Rahul,P Simran Singh,CH Gayle,N Pooran,DJ Hooda,M Shahrukh Khan,Harpreet Brar,RP Meredith,Ravi Bishnoi,Mohammed Shami,CJ Jordan
1254090,f9e6e7ef,2021-10-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,8,4,0,1,18,1,29,0,0,0,0,0,10,25,0,35,KL Rahul,MA Agarwal,N Pooran,AK Markram,SN Khan,M Shahrukh Khan,MC Henriques,Harpreet Brar,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1254095,f9e6e7ef,2021-10-06,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,14,9,2,0,24,0,21,0,0,0,0,0,16,4,0,20,JJ Roy,Abhishek Sharma,KS Williamson,PK Garg,Abdul Samad,WP Saha,JO Holder,Rashid Khan,B Kumar,S Kaul,Umran Malik
1254101,f9e6e7ef,2021-10-08,Dubai International Cricket Stadium,Indian Premier League,T20,20,Shahbaz Ahmed,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PP Shaw,S Dhawan,RR Pant,SS Iyer,SO Hetmyer,RV Patel,AR Patel,R Ashwin,K Rabada,Avesh Khan,A Nortje
