match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082613,7dc35884,2017-04-21,Eden Gardens,Indian Premier League,T20,20,Shakib Al Hasan,Kolkata Knight Riders,1,1,0,0,18,0,34,0,0,0,0,0,1,-4,0,-3,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
1136564,7dc35884,2018-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,0,0,0,0,24,2,24,0,0,0,0,0,0,52,0,52,AM Rahane,DJM Short,SV Samson,BA Stokes,RA Tripathi,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
1136567,7dc35884,2018-04-12,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,12,12,1,0,24,1,34,0,0,1,0,0,13,25,8,46,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,M Markande,JJ Bumrah,Mustafizur Rahman
1136570,7dc35884,2018-04-14,Eden Gardens,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,27,21,2,1,24,2,22,0,0,1,0,0,31,54,8,93,RV Uthappa,CA Lynn,N Rana,SP Narine,KD Karthik,AD Russell,Shubman Gill,Shivam Mavi,MG Johnson,PP Chawla,Kuldeep Yadav
1136576,7dc35884,2018-04-19,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,24,15,1,2,12,0,28,0,0,0,0,0,33,-6,0,27,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,Yuvraj Singh,R Ashwin,AJ Tye,BB Sran,MM Sharma,Mujeeb Ur Rahman
1136580,7dc35884,2018-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,24,19,2,1,24,0,32,0,0,0,0,0,28,0,0,28,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DL Chahar,KV Sharma,SN Thakur
1136583,7dc35884,2018-04-24,Wankhede Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,2,4,0,0,18,1,16,0,0,0,0,0,2,29,0,31,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
1136585,7dc35884,2018-04-26,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,28,30,3,0,18,2,18,0,0,0,0,0,31,52,0,83,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,MK Tiwary,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman
1136588,7dc35884,2018-04-29,Sawai Mansingh Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,6,6,1,0,24,0,30,0,0,0,0,0,7,0,0,7,AM Rahane,RA Tripathi,SV Samson,BA Stokes,JC Buttler,MK Lomror,K Gowtham,JC Archer,DS Kulkarni,IS Sodhi,JD Unadkat
1136596,7dc35884,2018-05-05,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,0,0,0,0,24,0,34,0,0,0,0,0,0,0,0,0,PP Shaw,GJ Maxwell,SS Iyer,RR Pant,NV Ojha,V Shankar,DT Christian,LE Plunkett,A Mishra,Avesh Khan,TA Boult
1136599,7dc35884,2018-05-07,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,35,34,5,0,24,2,36,1,0,0,0,0,44,58,0,102,M Vohra,PA Patel,V Kohli,AB de Villiers,MM Ali,Mandeep Singh,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
1136602,7dc35884,2018-05-10,Arun Jaitley Stadium,Indian Premier League,T20,20,Shakib Al Hasan,Sunrisers Hyderabad,0,0,0,0,24,2,27,0,0,0,0,0,0,52,0,52,PP Shaw,JJ Roy,SS Iyer,RR Pant,HV Patel,GJ Maxwell,V Shankar,LE Plunkett,S Nadeem,A Mishra,TA Boult
