date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,24,0,32,0,0,0,0,1,0,0,6,6,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble
2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,3,3,0,0,24,3,32,1,0,0,0,0,3,87,0,90,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,24,6,15,5,0,2,0,0,0,212,16,228,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,6,6,1,0,19,0,13,0,0,0,0,0,7,6,0,13,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,24,1,41,0,0,0,0,1,0,23,6,29,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,SB Bangar,DB Ravi Teja,Y Venugopal Rao,RP Singh,PP Ojha,DP Vijaykumar
2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,24,3,10,1,0,0,0,0,0,93,0,93,J Arunkumar,V Kohli,Misbah-ul-Haq,JH Kallis,CL White,R Dravid,DT Patil,P Kumar,Z Khan,A Kumble,Abdur Razzak
2008-05-20,Eden Gardens,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,13,8,1,1,24,3,27,1,0,0,0,0,16,89,0,105,Salman Butt,Mohammad Hafeez,SC Ganguly,DJ Hussey,DB Das,LR Shukla,WP Saha,AB Agarkar,Umar Gul,I Sharma,AB Dinda
2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,25,3,33,1,0,0,0,1,0,87,6,93,PA Patel,SP Fleming,SK Raina,JA Morkel,MS Dhoni,S Badrinath,MS Gony,A Mukund,L Balaji,M Muralitharan,M Ntini
2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,0,0,0,0,24,4,15,2,0,0,0,0,0,130,0,130,ST Jayasuriya,SR Tendulkar,AM Nayar,RV Uthappa,DR Smith,SM Pollock,MK Pandey,YV Takawale,RR Raje,CRD Fernando,A Nehra
2008-05-30,Wankhede Stadium,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,5,5,1,0,12,0,17,0,0,2,0,0,6,0,16,22,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,KD Karthik,MF Maharoof,A Mishra,VY Mahesh,Mohammad Asif,GD McGrath
2008-06-01,Dr DY Patil Sports Academy,Indian Premier League,T20,20,Sohail Tanvir,Rajasthan Royals,9,9,0,0,24,1,40,0,0,0,0,0,9,25,0,34,PA Patel,S Vidyut,SK Raina,JA Morkel,MS Dhoni,CK Kapugedera,S Badrinath,MS Gony,L Balaji,M Muralitharan,M Ntini
