match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1359483,9440ef41,2023-04-06,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,3,30,0,0,0,0,0,0,79,0,79,Mohammed Siraj,V Kohli,F du Plessis,MG Bracewell,GJ Maxwell,HV Patel,Shahbaz Ahmed,KD Karthik,Anuj Rawat,DJ Willey,KV Sharma
1359487,9440ef41,2023-04-09,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,1,35,1,0,0,0,0,0,33,0,33,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,A Manohar,V Shankar,DA Miller,R Tewatia,Rashid Khan,AS Joseph,Mohammed Shami
1359493,9440ef41,2023-04-14,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,0,44,0,0,0,0,0,0,-2,0,-2,Washington Sundar,HC Brook,MA Agarwal,RA Tripathi,AK Markram,Abhishek Sharma,H Klaasen,M Jansen,M Markande,B Kumar,Umran Malik
1359496,9440ef41,2023-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,2,27,1,0,0,0,0,0,60,0,60,RP Meredith,RG Sharma,Ishan Kishan,SA Yadav,Tilak Varma,TH David,N Wadhera,C Green,Arjun Tendulkar,HR Shokeen,PP Chawla
1359507,9440ef41,2023-04-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,1,29,1,0,0,0,0,0,33,0,33,Akash Singh,RD Gaikwad,DP Conway,AM Rahane,S Dube,RA Jadeja,MS Dhoni,MM Ali,AT Rayudu,M Pathirana,TU Deshpande
1359510,9440ef41,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,3,30,1,0,0,0,1,0,87,6,93,HV Patel,V Kohli,F du Plessis,Shahbaz Ahmed,GJ Maxwell,MK Lomror,KD Karthik,SS Prabhudessai,PWH de Silva,DJ Willey,Vijaykumar Vyshak
1359513,9440ef41,2023-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,0,41,0,0,0,0,0,0,-2,0,-2,MM Sharma,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,Noor Ahmad,Mohammed Shami
1359527,9440ef41,2023-05-08,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,NT Ellis,P Simran Singh,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Sharma,SM Curran,R Dhawan,M Shahrukh Khan,Harpreet Brar,RD Chahar
1359530,9440ef41,2023-05-11,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,18,0,23,0,0,0,0,0,0,0,0,0,YBK Jaiswal,JC Buttler,SV Samson,JE Root,Dhruv Jurel,SO Hetmyer,R Ashwin,Sandeep Sharma,KM Asif,TA Boult,YS Chahal
1359535,9440ef41,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,19,0,29,0,0,0,0,0,0,0,0,0,M Pathirana,RD Gaikwad,DP Conway,AM Rahane,AT Rayudu,S Dube,MM Ali,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1359542,9440ef41,2023-05-20,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,Yash Thakur,KS Sharma,Q de Kock,PN Mankad,MP Stoinis,KH Pandya,A Badoni,N Pooran,K Gowtham,Ravi Bishnoi,Naveen-ul-Haq
1422121,9440ef41,2024-03-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,12,0,18,0,0,1,0,0,0,0,8,8,T Natarajan,MA Agarwal,Abhishek Sharma,RA Tripathi,AK Markram,H Klaasen,Abdul Samad,Shahbaz Ahmed,M Jansen,PJ Cummins,B Kumar
1426274,9440ef41,2024-04-21,"Eden Gardens, Kolkata",Indian Premier League,T20,20,Suyash Sharma,Kolkata Knight Riders,0,0,0,0,12,0,33,0,0,0,0,0,0,-6,0,-6,Yash Dayal,V Kohli,F du Plessis,WG Jacks,RM Patidar,C Green,SS Prabhudessai,MK Lomror,KD Karthik,KV Sharma,Mohammed Siraj
