date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,Swapnil Singh,Kings XI Punjab,0,0,0,0,12,1,14,0,0,0,0,0,0,25,0,25,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,DT Christian,R Bhatia,RD Chahar,Imran Tahir,AB Dinda
2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,Swapnil Singh,Kings XI Punjab,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,PA Patel,JC Buttler,N Rana,HH Pandya,RG Sharma,KA Pollard,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,Swapnil Singh,Kings XI Punjab,2,2,0,0,12,0,19,0,0,0,0,0,2,0,0,2,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,C de Grandhomme,YK Pathan,CR Woakes,UT Yadav,Kuldeep Yadav,AS Rajpoot
2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,Swapnil Singh,Kings XI Punjab,10,17,0,0,6,0,6,0,0,0,0,0,6,0,0,6,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
2023-05-07,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Swapnil Singh,Lucknow Super Giants,2,4,0,0,6,0,7,0,0,0,0,0,2,0,0,2,AS Joseph,WP Saha,Shubman Gill,HH Pandya,DA Miller,V Shankar,Rashid Khan,R Tewatia,A Manohar,MM Sharma,Mohammed Shami
2023-05-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,Swapnil Singh,Lucknow Super Giants,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,Akash Madhwal,Ishan Kishan,RG Sharma,SA Yadav,N Wadhera,TH David,Vishnu Vinod,C Green,CJ Jordan,HR Shokeen,PP Chawla
2024-04-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,12,6,1,1,19,2,40,1,0,0,0,0,15,52,0,67,T Natarajan,Abhishek Sharma,TM Head,AK Markram,Nithish Kumar Reddy,H Klaasen,Shahbaz Ahmed,Abdul Samad,PJ Cummins,B Kumar,JD Unadkat
2024-04-28,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,0,0,0,0,18,1,23,0,0,0,0,0,0,25,0,25,S Sandeep Warrier,WP Saha,Shubman Gill,B Sai Sudharsan,M Shahrukh Khan,DA Miller,Azmatullah Omarzai,R Tewatia,Rashid Khan,R Sai Kishore,MM Sharma
2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,15,9,2,1,6,0,1,0,0,1,0,0,19,0,8,27,WP Saha,Shubman Gill,B Sai Sudharsan,M Shahrukh Khan,DA Miller,R Tewatia,Rashid Khan,V Shankar,MJ Suthar,MM Sharma,Noor Ahmad
2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,1,1,0,0,18,2,28,1,0,0,0,0,1,58,0,59,V Kaverappa,P Simran Singh,JM Bairstow,RR Rossouw,Shashank Singh,JM Sharma,LS Livingstone,SM Curran,Ashutosh Sharma,HV Patel,RD Chahar
2024-05-12,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,0,2,0,0,6,1,9,0,0,0,0,0,-2,25,0,23,KK Ahmed,DA Warner,J Fraser-McGurk,Abishek Porel,SD Hope,Kumar Kushagra,AR Patel,T Stubbs,Rasikh Salam,Kuldeep Yadav,Mukesh Kumar
2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,0,0,0,0,12,0,13,0,0,1,0,1,0,2,14,16,M Theekshana,RD Gaikwad,R Ravindra,DJ Mitchell,AM Rahane,S Dube,RA Jadeja,MJ Santner,MS Dhoni,SN Thakur,TU Deshpande
2024-05-22,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Swapnil Singh,Royal Challengers Bengaluru,9,4,0,1,12,0,19,0,0,0,0,0,11,0,0,11,YS Chahal,YBK Jaiswal,T Kohler-Cadmore,SV Samson,R Parag,Dhruv Jurel,SO Hetmyer,R Powell,R Ashwin,TA Boult,Avesh Khan
2016-05-04,Eden Gardens,Indian Premier League,T20,20,Swapnil Singh,Kings XI Punjab,0,1,0,0,18,0,29,0,0,0,0,0,-2,0,0,-2,RV Uthappa,G Gambhir,YK Pathan,AD Russell,MK Pandey,SA Yadav,Shakib Al Hasan,GB Hogg,PP Chawla,M Morkel,UT Yadav
