match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082594,ce794613,2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,18,1,26,0,0,0,0,0,0,25,0,25,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,DT Christian,R Bhatia,RD Chahar,Imran Tahir,AB Dinda
1082598,ce794613,2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,SR Watson,Vishnu Vinod,AB de Villiers,KM Jadhav,Mandeep Singh,STR Binny,P Negi,Iqbal Abdulla,TS Mills,B Stanlake,YS Chahal
1082616,ce794613,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,BB McCullum,AJ Finch,SK Raina,KD Karthik,RA Jadeja,DR Smith,AD Nath,AJ Tye,Basil Thampi,SS Agarwal,NB Singh
1082626,ce794613,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,12,0,7,0,0,0,0,0,0,6,0,6,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,K Rabada,A Mishra,Mohammed Shami,S Nadeem
1082633,ce794613,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,Mandeep Singh,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,SR Watson,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
1082637,ce794613,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,T Natarajan,Kings XI Punjab,0,0,0,0,16,1,33,0,0,0,0,0,0,19,0,19,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
1216495,ce794613,2020-11-03,Sharjah Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,0,38,0,0,0,0,0,0,0,0,0,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,SS Tiwary,KA Pollard,NM Coulter-Nile,JL Pattinson,DS Kulkarni,RD Chahar
1216498,ce794613,2020-10-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,0,24,0,0,0,0,0,0,2,0,2,KL Rahul,Mandeep Singh,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1216502,ce794613,2020-10-31,Sharjah Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,1,13,0,0,0,0,0,0,31,0,31,JR Philippe,D Padikkal,V Kohli,AB de Villiers,Washington Sundar,Gurkeerat Singh,CH Morris,I Udana,Mohammed Siraj,Navdeep Saini,YS Chahal
1216507,ce794613,2020-10-11,Dubai International Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,1,32,0,1,0,0,0,0,37,0,37,BA Stokes,JC Buttler,SPD Smith,SV Samson,RV Uthappa,R Parag,R Tewatia,JC Archer,S Gopal,JD Unadkat,Kartik Tyagi
1216512,ce794613,2020-10-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,25,2,42,1,0,0,0,0,0,56,0,56,Shubman Gill,RA Tripathi,N Rana,AD Russell,EJG Morgan,KD Karthik,PJ Cummins,LH Ferguson,Kuldeep Yadav,Shivam Mavi,CV Varun
1216516,ce794613,2020-10-02,Dubai International Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,3,45,1,0,0,0,0,0,83,0,83,F du Plessis,SR Watson,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,SM Curran,DJ Bravo,SN Thakur,PP Chawla,DL Chahar
1216518,ce794613,2020-10-22,Dubai International Cricket Stadium,Indian Premier League,T20,20,T Natarajan,Sunrisers Hyderabad,0,0,0,0,24,0,46,0,0,0,0,0,0,-4,0,-4,RV Uthappa,BA Stokes,SV Samson,JC Buttler,SPD Smith,R Parag,R Tewatia,JC Archer,S Gopal,AS Rajpoot,Kartik Tyagi
