date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,TK Curran,Kolkata Knight Riders,2,5,0,0,18,2,39,0,0,0,0,0,2,44,0,46,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
2018-04-16,Eden Gardens,Indian Premier League,T20,20,TK Curran,Kolkata Knight Riders,2,3,0,0,12,1,21,0,0,0,0,0,2,23,0,25,G Gambhir,JJ Roy,SS Iyer,RR Pant,GJ Maxwell,R Tewatia,V Shankar,CH Morris,Mohammed Shami,S Nadeem,TA Boult
2018-04-18,Sawai Mansingh Stadium,Indian Premier League,T20,20,TK Curran,Kolkata Knight Riders,0,0,0,0,13,2,19,1,0,0,0,0,0,58,0,58,AM Rahane,DJM Short,SV Samson,RA Tripathi,BA Stokes,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
2018-04-21,Eden Gardens,Indian Premier League,T20,20,TK Curran,Kolkata Knight Riders,1,3,0,0,1,0,6,0,0,1,0,0,1,0,8,9,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,Yuvraj Singh,R Ashwin,AJ Tye,BB Sran,Mujeeb Ur Rahman,AS Rajpoot
2018-05-09,Eden Gardens,Indian Premier League,T20,20,TK Curran,Kolkata Knight Riders,18,17,3,0,19,1,33,0,0,0,0,0,21,23,0,44,SA Yadav,E Lewis,RG Sharma,Ishan Kishan,HH Pandya,BCJ Cutting,KH Pandya,JP Duminy,MJ McClenaghan,M Markande,JJ Bumrah
2020-09-22,Sharjah Cricket Stadium,Indian Premier League,T20,20,TK Curran,Rajasthan Royals,10,9,1,0,25,1,55,0,0,1,0,0,11,19,8,38,M Vijay,SR Watson,F du Plessis,SM Curran,RD Gaikwad,KM Jadhav,MS Dhoni,RA Jadeja,PP Chawla,DL Chahar,L Ngidi
2020-09-30,Dubai International Cricket Stadium,Indian Premier League,T20,20,TK Curran,Rajasthan Royals,54,36,2,3,24,1,37,0,0,0,0,0,72,25,0,97,Shubman Gill,SP Narine,N Rana,AD Russell,KD Karthik,EJG Morgan,PJ Cummins,KL Nagarkoti,Shivam Mavi,Kuldeep Yadav,CV Varun
2020-10-06,Sheikh Zayed Stadium,Indian Premier League,T20,20,TK Curran,Rajasthan Royals,15,17,1,0,18,0,34,0,0,0,0,0,16,-4,0,12,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,TK Curran,Rajasthan Royals,0,0,0,0,19,0,40,0,0,0,0,0,0,-6,0,-6,D Padikkal,AJ Finch,V Kohli,AB de Villiers,S Dube,Gurkeerat Singh,Washington Sundar,I Udana,Navdeep Saini,YS Chahal,A Zampa
2020-09-27,Sharjah Cricket Stadium,Indian Premier League,T20,20,TK Curran,Rajasthan Royals,4,1,1,0,24,1,44,0,0,0,0,0,5,23,0,28,KL Rahul,MA Agarwal,GJ Maxwell,N Pooran,KK Nair,JDS Neesham,SN Khan,Mohammed Shami,SS Cottrell,Ravi Bishnoi,M Ashwin
2021-04-10,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,TK Curran,Delhi Capitals,0,0,0,0,24,1,40,0,0,0,0,0,0,25,0,25,RD Gaikwad,F du Plessis,MM Ali,SK Raina,AT Rayudu,RA Jadeja,MS Dhoni,SM Curran,DJ Bravo,SN Thakur,DL Chahar
2021-04-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,TK Curran,Delhi Capitals,21,16,2,0,22,0,35,0,0,0,0,0,25,0,0,25,JC Buttler,M Vohra,SV Samson,S Dube,DA Miller,R Parag,R Tewatia,CH Morris,JD Unadkat,C Sakariya,Mustafizur Rahman
2021-10-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,TK Curran,Delhi Capitals,0,1,0,0,22,3,29,0,0,0,0,0,-2,79,0,77,RD Gaikwad,F du Plessis,RV Uthappa,SN Thakur,AT Rayudu,MM Ali,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,JR Hazlewood
