date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2011-04-10,Feroz Shah Kotla,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,2,10,0,0,0,0,0,0,0,0,0,0,-4,0,0,-4,AG Paunikar,R Dravid,J Botha,AL Menaria,AM Rahane,LRPL Taylor,AS Raut,SK Warne,A Singh,SK Trivedi,SW Tait
2012-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,18,11,2,1,0,0,0,0,0,0,0,0,26,0,0,26,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,MA Agarwal,R Vinay Kumar,Z Khan,HV Patel,P Parameswaran,M Muralitharan
2012-05-19,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,18,24,0,2,0,0,0,0,0,1,0,0,22,0,8,30,AC Gilchrist,Mandeep Singh,PC Valthaty,DJ Hussey,SD Chitnis,Azhar Mahmood,Gurkeerat Singh,PP Chawla,RJ Harris,P Kumar,P Awana
2013-04-03,Eden Gardens,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,0,1,0,0,0,0,0,0,0,2,0,0,-2,0,16,14,MS Bisla,G Gambhir,JH Kallis,MK Tiwary,EJG Morgan,YK Pathan,LR Shukla,R Bhatia,B Lee,SP Narine,L Balaji
2013-04-06,Feroz Shah Kotla,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,23,20,2,1,0,0,0,0,0,0,0,0,27,0,0,27,MDKJ Perera,AM Rahane,R Dravid,STR Binny,BJ Hodge,KK Cooper,AL Menaria,S Sreesanth,R Shukla,SK Trivedi,S Badree
2013-04-09,Wankhede Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,R Dhawan,MG Johnson,PP Ojha,SL Malinga
2013-05-16,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,7,8,0,1,0,0,0,0,0,0,0,0,9,0,0,9,AC Gilchrist,SE Marsh,Azhar Mahmood,DA Miller,R Sathish,PP Chawla,Mandeep Singh,M Vohra,P Kumar,P Awana,Sandeep Sharma
2013-04-28,Shaheed Veer Narayan Singh International Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,17,20,2,0,0,0,0,0,0,1,0,0,19,0,8,27,RV Uthappa,AJ Finch,Yuvraj Singh,LJ Wright,SPD Smith,M Manhas,AM Nayar,B Kumar,AB Dinda,R Sharma,KW Richardson
2013-05-01,Shaheed Veer Narayan Singh International Stadium,Indian Premier League,T20,20,UBT Chand,Delhi Daredevils,37,39,4,0,0,0,0,0,0,1,0,0,45,0,8,53,MS Bisla,G Gambhir,YK Pathan,JH Kallis,EJG Morgan,DB Das,R Bhatia,S Narwal,B Lee,SP Narine,L Balaji
