match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082601,cc1e8c68,2017-04-13,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,4,33,0,0,0,0,0,0,108,0,108,HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,I Sharma
1082604,cc1e8c68,2017-04-15,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,18,0,29,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,A Nehra
1082608,cc1e8c68,2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,1,53,0,0,1,0,0,0,19,8,27,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,AD Mathews,CH Morris,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
1082613,cc1e8c68,2017-04-21,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,12,1,18,1,0,1,0,0,0,33,8,41,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
1082617,cc1e8c68,2017-04-23,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,2,4,0,0,18,1,17,0,0,0,0,0,2,29,0,31,CH Gayle,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,STR Binny,P Negi,S Badree,TS Mills,S Aravind,YS Chahal
1082620,cc1e8c68,2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,18,1,29,0,0,0,0,0,0,25,0,25,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,F du Plessis,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082622,cc1e8c68,2017-04-28,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,1,39,1,0,0,0,0,0,33,0,33,SV Samson,KK Nair,SS Iyer,RR Pant,CH Morris,CJ Anderson,AR Bawne,PJ Cummins,K Rabada,A Mishra,Z Khan
1082627,cc1e8c68,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
1082631,cc1e8c68,2017-05-03,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,2,2,0,0,24,1,28,0,0,0,0,0,2,25,0,27,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082636,cc1e8c68,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,3,36,1,0,2,0,0,0,87,16,103,CH Gayle,Mandeep Singh,V Kohli,AB de Villiers,TM Head,KM Jadhav,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
1082639,cc1e8c68,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,18,1,27,0,0,0,0,0,0,25,0,25,MJ Guptill,M Vohra,SE Marsh,WP Saha,GJ Maxwell,AR Patel,Swapnil Singh,R Tewatia,MJ Henry,MM Sharma,Sandeep Sharma
1082644,cc1e8c68,2017-05-13,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,4,4,0,0,24,1,44,0,0,0,0,1,4,23,6,33,SS Tiwary,LMP Simmons,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,KV Sharma,MG Johnson,R Vinay Kumar,TG Southee
1082648,cc1e8c68,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,0,0,0,0,24,2,21,0,0,0,0,0,0,54,0,54,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,V Shankar,NV Ojha,CJ Jordan,Bipul Sharma,B Kumar,Rashid Khan,S Kaul
1082649,cc1e8c68,2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,UT Yadav,Kolkata Knight Riders,2,3,0,0,15,1,27,0,0,0,0,0,2,23,0,25,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MG Johnson,KV Sharma,JJ Bumrah,SL Malinga
1136563,cc1e8c68,2018-04-08,Eden Gardens,Indian Premier League,T20,20,UT Yadav,Royal Challengers Bangalore,0,0,0,0,24,2,28,1,0,0,0,0,0,58,0,58,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,R Vinay Kumar,PP Chawla,MG Johnson,Kuldeep Yadav
1136568,cc1e8c68,2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,UT Yadav,Royal Challengers Bangalore,0,0,0,0,24,3,23,2,0,0,0,0,0,99,0,99,KL Rahul,MA Agarwal,AJ Finch,Yuvraj Singh,KK Nair,MP Stoinis,AR Patel,R Ashwin,AJ Tye,MM Sharma,Mujeeb Ur Rahman
1136571,cc1e8c68,2018-04-15,M.Chinnaswamy Stadium,Indian Premier League,T20,20,UT Yadav,Royal Challengers Bangalore,0,0,0,0,26,0,59,0,0,1,0,0,0,-6,8,2,AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
