date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,12,4,3,0,0,0,0,0,0,0,0,0,15,0,0,15,T Kohli,YK Pathan,SR Watson,M Kaif,DS Lehmann,RA Jadeja,M Rawat,D Salunkhe,SK Warne,SK Trivedi,MM Patel
2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,94,43,10,6,0,0,0,0,0,0,0,0,130,0,0,130,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,RG Sharma,Shahid Afridi,SB Bangar,AS Yadav,WPUJC Vaas,RP Singh,PP Ojha
2008-04-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,6,7,1,0,0,0,0,0,0,0,0,1,7,0,6,13,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,TM Srivastava,IK Pathan,B Lee,PP Chawla,S Sreesanth,VRV Singh
2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,24,13,3,1,12,0,31,0,0,1,0,0,35,-6,8,37,P Kumar,W Jaffer,LRPL Taylor,JH Kallis,R Dravid,MV Boucher,V Kohli,Z Khan,DW Steyn,R Vinay Kumar,SB Joshi
2008-05-02,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,71,42,7,4,12,1,21,0,0,1,0,0,98,23,8,129,PA Patel,SP Fleming,S Vidyut,MS Dhoni,JA Morkel,SK Raina,S Badrinath,Joginder Sharma,M Ntini,MS Gony,M Muralitharan
2008-05-04,Dr DY Patil Sports Academy,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,40,20,3,3,6,1,2,1,0,0,0,0,59,33,0,92,YV Takawale,ST Jayasuriya,DJ Thornely,RV Uthappa,DJ Bravo,AM Nayar,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-08,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,23,18,3,0,12,0,30,0,0,0,0,1,26,-6,6,26,S Vidyut,SP Fleming,MS Dhoni,SK Raina,JA Morkel,CK Kapugedera,S Badrinath,MS Gony,P Amarnath,M Muralitharan,L Balaji
2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,17,21,2,0,12,1,21,1,0,0,0,1,19,31,6,56,YK Pathan,GC Smith,M Kaif,SR Watson,RA Jadeja,AD Mascarenhas,SK Warne,NK Patel,M Rawat,SK Trivedi,MM Patel
2008-05-13,Eden Gardens,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,0,2,0,0,6,0,7,0,0,0,0,0,-2,0,0,-2,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,Iqbal Abdulla,I Sharma,AB Dinda,Shoaib Akhtar
2008-05-15,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,AC Gilchrist,Shahid Afridi,HH Gibbs,RG Sharma,SB Styris,Y Venugopal Rao,DB Ravi Teja,RP Singh,PP Ojha,DP Vijaykumar,PM Sarvesh Kumar
2008-05-17,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,51,28,2,5,6,0,22,0,0,0,0,0,77,0,0,77,SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,DPMD Jayawardene,IK Pathan,RR Powar,PP Chawla,U Kaul,S Sreesanth,VRV Singh
2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,47,19,9,1,0,0,0,0,0,0,0,1,68,0,6,74,JH Kallis,B Chipli,SP Goswami,R Dravid,Misbah-ul-Haq,CL White,B Akhil,P Kumar,Z Khan,A Kumble,DW Steyn
2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,18,6,3,1,0,0,0,0,0,0,0,1,23,0,6,29,ST Jayasuriya,SR Tendulkar,DR Smith,RV Uthappa,AM Nayar,SM Pollock,SD Chitnis,PR Shah,A Nel,DS Kulkarni,A Nehra
2008-05-30,Wankhede Stadium,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,3,4,0,0,0,0,0,0,0,1,0,0,3,0,8,11,GC Smith,SA Asnodkar,Sohail Tanvir,SR Watson,M Kaif,YK Pathan,RA Jadeja,SK Warne,M Rawat,MM Patel,SK Trivedi
2009-04-19,Newlands,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,38,18,4,3,0,0,0,0,0,0,0,0,58,0,0,58,RS Bopara,K Goel,Yuvraj Singh,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,T Kohli,VS Malik,VRV Singh,YA Abdulla
2009-04-23,Kingsmead,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,6,9,1,0,0,0,0,0,0,0,0,1,7,0,6,13,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,MS Gony,Joginder Sharma,L Balaji,M Muralitharan
2009-04-26,St George's Park,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,7,6,0,1,0,0,0,0,0,0,0,0,9,0,0,9,JH Kallis,RV Uthappa,KP Pietersen,LRPL Taylor,V Kohli,MV Boucher,B Akhil,R Vinay Kumar,Pankaj Singh,A Kumble,KP Appanna
2009-04-28,SuperSport Park,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,16,11,2,1,0,0,0,0,0,0,0,0,22,0,0,22,RJ Quiney,GC Smith,SA Asnodkar,PC Valthaty,RA Jadeja,SK Warne,YK Pathan,AD Mascarenhas,M Rawat,MM Patel,Kamran Khan
2009-04-30,SuperSport Park,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,20,11,4,0,0,0,0,0,0,0,0,0,30,0,0,30,AC Gilchrist,HH Gibbs,AA Bilakhia,RG Sharma,TL Suman,DR Smith,Y Venugopal Rao,Shoaib Ahmed,RP Singh,PP Ojha,FH Edwards
2009-05-13,Kingsmead,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,11,10,1,0,0,0,0,0,0,0,0,0,12,0,0,12,TL Suman,AC Gilchrist,RG Sharma,DB Ravi Teja,A Symonds,DR Smith,Y Venugopal Rao,WPUJC Vaas,RP Singh,PP Ojha,Shoaib Ahmed
2009-05-15,OUTsurance Oval,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,9,10,2,0,0,0,0,0,0,1,0,0,11,0,8,19,S Sohal,SM Katich,LA Pomersbach,Yuvraj Singh,KC Sangakkara,IK Pathan,B Lee,PP Chawla,RR Powar,WA Mota,S Sreesanth
2009-05-17,OUTsurance Oval,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,2,8,0,0,0,0,0,0,0,2,0,0,2,0,16,18,RJ Quiney,GC Smith,NV Ojha,J Botha,RA Jadeja,YK Pathan,AS Raut,SK Warne,A Singh,SK Trivedi,MM Patel
2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,V Sehwag,Delhi Daredevils,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,MV Boucher,V Kohli,RE van der Merwe,P Kumar,B Akhil,A Kumble,MK Pandey
