match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1304057,7c3b3b78,2022-04-03,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,VG Arora,Punjab Kings,1,2,0,0,24,2,21,1,0,0,0,0,1,62,0,63,RV Uthappa,RD Gaikwad,MM Ali,AT Rayudu,RA Jadeja,S Dube,MS Dhoni,DJ Bravo,D Pretorius,CJ Jordan,Mukesh Choudhary
1304062,7c3b3b78,2022-04-08,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,VG Arora,Punjab Kings,2,7,0,0,24,0,34,0,0,0,0,0,2,0,0,2,MS Wade,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,DG Nalkande,Mohammed Shami,LH Ferguson
1304069,7c3b3b78,2022-04-13,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,VG Arora,Punjab Kings,0,0,0,0,24,2,43,0,0,1,0,0,0,48,8,56,RG Sharma,Ishan Kishan,D Brevis,Tilak Varma,SA Yadav,KA Pollard,JD Unadkat,M Ashwin,JJ Bumrah,TS Mills,Basil Thampi
1304074,7c3b3b78,2022-04-17,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,VG Arora,Punjab Kings,0,1,0,0,23,0,36,0,0,0,0,0,-2,0,0,-2,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,J Suchith,B Kumar,M Jansen,T Natarajan,Umran Malik
1304078,7c3b3b78,2022-04-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,VG Arora,Punjab Kings,2,4,0,0,12,0,31,0,0,0,0,0,2,-6,0,-4,PP Shaw,DA Warner,SN Khan,RR Pant,R Powell,Lalit Yadav,SN Thakur,AR Patel,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
1359510,7c3b3b78,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,12,0,24,0,0,0,0,0,0,-4,0,-4,HV Patel,V Kohli,F du Plessis,Shahbaz Ahmed,GJ Maxwell,MK Lomror,KD Karthik,SS Prabhudessai,PWH de Silva,DJ Willey,Vijaykumar Vyshak
1359521,7c3b3b78,2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,2,1,0,0,20,2,33,0,0,1,0,0,2,50,8,60,T Natarajan,Abhishek Sharma,MA Agarwal,RA Tripathi,AK Markram,HC Brook,H Klaasen,Abdul Samad,M Jansen,B Kumar,M Markande
1359527,7c3b3b78,2023-05-08,"Eden Gardens, Kolkata",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,18,0,32,0,0,1,0,0,0,-2,8,6,NT Ellis,P Simran Singh,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Sharma,SM Curran,R Dhawan,M Shahrukh Khan,Harpreet Brar,RD Chahar
1359535,7c3b3b78,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,25,1,30,0,0,1,0,0,0,25,8,33,M Pathirana,RD Gaikwad,DP Conway,AM Rahane,AT Rayudu,S Dube,MM Ali,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1359542,7c3b3b78,2023-05-20,"Eden Gardens, Kolkata",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,1,1,0,0,25,2,30,0,0,0,0,0,1,50,0,51,Yash Thakur,KS Sharma,Q de Kock,PN Mankad,MP Stoinis,KH Pandya,A Badoni,N Pooran,K Gowtham,Ravi Bishnoi,Naveen-ul-Haq
1422134,7c3b3b78,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,24,3,27,0,0,0,0,0,0,81,0,81,KK Ahmed,DA Warner,PP Shaw,MR Marsh,Abishek Porel,RR Pant,T Stubbs,AR Patel,Sumit Kumar,Rasikh Salam,A Nortje
1426260,7c3b3b78,2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,1,1,0,0,24,2,28,1,0,0,0,0,1,58,0,59,Mustafizur Rahman,R Ravindra,RD Gaikwad,DJ Mitchell,S Dube,MS Dhoni,AM Rahane,Sameer Rizvi,RA Jadeja,SN Thakur,TU Deshpande
1426266,7c3b3b78,2024-04-14,"Eden Gardens, Kolkata",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,19,1,34,0,0,0,0,0,0,23,0,23,Q de Kock,KL Rahul,DJ Hooda,A Badoni,MP Stoinis,N Pooran,KH Pandya,Arshad Khan (2),Mohsin Khan,Ravi Bishnoi,S Joseph
1426269,7c3b3b78,2024-04-16,"Eden Gardens, Kolkata",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,19,1,45,0,0,0,0,0,0,19,0,19,KR Sen,YBK Jaiswal,JC Buttler,SV Samson,R Parag,Dhruv Jurel,R Ashwin,SO Hetmyer,R Powell,TA Boult,Avesh Khan
1426285,7c3b3b78,2024-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,25,2,31,1,0,0,0,0,0,58,0,58,PP Shaw,J Fraser-McGurk,Abishek Porel,SD Hope,RR Pant,AR Patel,T Stubbs,Kumar Kushagra,Kuldeep Yadav,Rasikh Salam,LB Williams
1426289,7c3b3b78,2024-05-03,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,19,0,35,0,0,0,0,0,0,-4,0,-4,N Thushara,Ishan Kishan,RG Sharma,Naman Dhir,SA Yadav,Tilak Varma,N Wadhera,HH Pandya,TH David,G Coetzee,PP Chawla
1426292,7c3b3b78,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,VG Arora,Kolkata Knight Riders,0,0,0,0,12,0,21,0,0,0,0,0,0,-2,0,-2,Yash Thakur,Mohsin Khan,KL Rahul,AA Kulkarni,MP Stoinis,DJ Hooda,N Pooran,A Badoni,AJ Turner,KH Pandya,Yudhvir Singh
