match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082598,0a3d54b9,2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,0,0,0,0,24,2,22,1,0,0,0,0,0,62,0,62,SR Watson,Vishnu Vinod,AB de Villiers,KM Jadhav,Mandeep Singh,STR Binny,P Negi,Iqbal Abdulla,TS Mills,B Stanlake,YS Chahal
1082601,0a3d54b9,2017-04-13,Eden Gardens,Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,4,6,0,0,12,1,23,0,0,0,0,0,4,21,0,25,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,C de Grandhomme,PP Chawla,UT Yadav,TA Boult
1082605,0a3d54b9,2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,0,0,0,0,25,2,46,0,0,0,0,0,0,46,0,46,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,PJ Cummins,A Mishra,Z Khan,S Nadeem
1082626,0a3d54b9,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,0,0,0,0,12,2,3,1,0,0,0,0,0,64,0,64,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,K Rabada,A Mishra,Mohammed Shami,S Nadeem
1082633,0a3d54b9,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,0,5,0,0,24,0,32,0,0,0,0,0,-2,0,0,-2,Mandeep Singh,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,SR Watson,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
1082637,0a3d54b9,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,VR Aaron,Kings XI Punjab,0,0,0,0,24,0,44,0,0,0,0,0,0,-2,0,-2,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
1175369,0a3d54b9,2019-04-02,Sawai Mansingh Stadium,Indian Premier League,T20,20,VR Aaron,Rajasthan Royals,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,V Kohli,PA Patel,AB de Villiers,SO Hetmyer,MP Stoinis,MM Ali,AD Nath,UT Yadav,Navdeep Saini,YS Chahal,Mohammed Siraj
1178418,0a3d54b9,2019-04-25,Eden Gardens,Indian Premier League,T20,20,VR Aaron,Rajasthan Royals,0,0,0,0,24,2,24,2,0,1,0,0,0,68,8,76,CA Lynn,Shubman Gill,N Rana,KD Karthik,SP Narine,AD Russell,CR Brathwaite,RK Singh,PP Chawla,Y Prithvi Raj,M Prasidh Krishna
1178420,0a3d54b9,2019-04-27,Sawai Mansingh Stadium,Indian Premier League,T20,20,VR Aaron,Rajasthan Royals,0,0,0,0,24,2,40,0,0,0,0,0,0,50,0,50,DA Warner,KS Williamson,MK Pandey,V Shankar,Shakib Al Hasan,DJ Hooda,WP Saha,Rashid Khan,B Kumar,S Kaul,KK Ahmed
1178424,0a3d54b9,2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,VR Aaron,Rajasthan Royals,0,0,0,0,6,0,23,0,0,0,0,0,0,0,0,0,V Kohli,AB de Villiers,MP Stoinis,H Klaasen,Gurkeerat Singh,PA Patel,P Negi,UT Yadav,Navdeep Saini,K Khejroliya,YS Chahal
