match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335986,de8cce37,2008-04-20,Eden Gardens,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,0,6,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,WP Saha,BB McCullum,RT Ponting,SC Ganguly,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,AB Dinda,M Kartik,I Sharma
335988,de8cce37,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,MF Maharoof,Mohammad Asif,VY Mahesh,GD McGrath
335990,de8cce37,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,16,16,3,0,0,0,0,0,0,0,0,1,19,0,6,25,Kamran Akmal,GC Smith,YK Pathan,SR Watson,M Kaif,RA Jadeja,SK Warne,D Salunkhe,Pankaj Singh,SK Trivedi,MM Patel
335994,de8cce37,2008-04-27,Dr DY Patil Sports Academy,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,37,27,4,1,0,0,0,0,0,1,0,0,49,0,8,57,L Ronchi,ST Jayasuriya,AM Rahane,RV Uthappa,SM Pollock,AM Nayar,DJ Bravo,MA Khote,A Nehra,DS Kulkarni,SD Chitnis
335999,de8cce37,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,48,35,8,0,0,0,0,0,0,0,0,0,62,0,0,62,SE Marsh,RR Sarwan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh
336034,de8cce37,2008-05-03,M Chinnaswamy Stadium,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,52,44,7,0,0,0,0,0,0,0,0,0,67,0,0,67,B Chipli,W Jaffer,V Kohli,JH Kallis,Misbah-ul-Haq,R Dravid,MV Boucher,P Kumar,Z Khan,DW Steyn,A Kumble
392184,de8cce37,2009-04-19,Newlands,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,10,10,1,1,0,0,0,0,0,1,0,0,13,0,8,21,BB McCullum,CH Gayle,SC Ganguly,BJ Hodge,A Chopra,LR Shukla,MC Henriques,AB Agarkar,M Kartik,I Sharma,AB Dinda
392188,de8cce37,2009-04-22,Newlands,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,5,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,JD Ryder,RV Uthappa,JH Kallis,KP Pietersen,R Dravid,V Kohli,R Bishnoi,KV Sharma,P Kumar,A Kumble,DW Steyn
392192,de8cce37,2009-04-25,Kingsmead,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,ST Jayasuriya,SR Tendulkar,JP Duminy,S Dhawan,DJ Bravo,AM Nayar,Harbhajan Singh,Z Khan,PR Shah,SL Malinga,DS Kulkarni
392196,de8cce37,2009-04-27,Kingsmead,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,PA Patel,ML Hayden,SK Raina,MS Dhoni,JDP Oram,JA Morkel,S Badrinath,MS Gony,Joginder Sharma,L Balaji,M Muralitharan
392209,de8cce37,2009-05-04,Buffalo Park,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,0,7,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,M Vijay,ML Hayden,MS Dhoni,SK Raina,JA Morkel,JDP Oram,S Badrinath,S Tyagi,SB Jakati,L Balaji,M Muralitharan
419106,de8cce37,2010-03-12,Dr DY Patil Sports Academy,Indian Premier League,T20,20,VVS Laxman,Deccan Chargers,22,14,2,1,0,0,0,0,0,0,0,0,30,0,0,30,MK Tiwary,BJ Hodge,SC Ganguly,CA Pujara,OA Shah,AD Mathews,WP Saha,LR Shukla,M Kartik,CK Langeveldt,I Sharma
