match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1359494,54e52590,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,0,0,0,24,3,20,0,0,0,0,0,0,83,0,83,DA Warner,PP Shaw,MR Marsh,YV Dhull,MK Pandey,Abishek Porel,AR Patel,Aman Hakim Khan,Lalit Yadav,A Nortje,Kuldeep Yadav
1359498,54e52590,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,0,0,0,24,1,62,0,0,0,0,0,0,19,0,19,RD Gaikwad,DP Conway,AM Rahane,S Dube,AT Rayudu,MM Ali,RA Jadeja,MS Dhoni,TU Deshpande,M Theekshana,M Pathirana
1359501,54e52590,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,0,0,0,18,2,29,0,0,0,0,0,0,50,0,50,RD Chahar,Atharva Taide,P Simran Singh,MW Short,LS Livingstone,Harpreet Singh,SM Curran,JM Sharma,M Shahrukh Khan,Harpreet Brar,NT Ellis
1359506,54e52590,2023-04-23,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,1,0,0,12,0,24,0,0,0,0,0,-2,-4,0,-6,YBK Jaiswal,JC Buttler,D Padikkal,SV Samson,SO Hetmyer,Dhruv Jurel,R Ashwin,Abdul Basith,JO Holder,TA Boult,Sandeep Sharma
1359510,54e52590,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,13,9,0,1,24,2,41,1,0,1,0,0,15,56,8,79,Suyash Sharma,JJ Roy,N Jagadeesan,VR Iyer,N Rana,AD Russell,RK Singh,D Wiese,SP Narine,VG Arora,UT Yadav
1359528,54e52590,2023-05-09,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,0,0,0,19,2,37,0,0,0,0,0,0,46,0,46,Ishan Kishan,RG Sharma,SA Yadav,N Wadhera,TH David,C Green,CJ Jordan,PP Chawla,JP Behrendorff,K Kartikeya,Akash Madhwal
1359544,54e52590,2023-05-21,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bangalore,0,0,0,0,24,1,40,0,0,0,0,0,0,25,0,25,Yash Dayal,WP Saha,Shubman Gill,V Shankar,MD Shanaka,DA Miller,R Tewatia,HH Pandya,Rashid Khan,Noor Ahmad,Mohammed Shami
1422128,54e52590,2024-03-29,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bengaluru,0,0,0,0,24,1,23,0,0,0,0,0,0,29,0,29,CV Varun,PD Salt,SP Narine,VR Iyer,SS Iyer,RK Singh,AD Russell,Ramandeep Singh,MA Starc,AS Roy,Harshit Rana
1426263,54e52590,2024-04-11,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bengaluru,0,1,0,0,18,1,32,0,0,0,0,0,-2,23,0,21,Akash Madhwal,Ishan Kishan,RG Sharma,SA Yadav,HH Pandya,Tilak Varma,TH David,Mohammad Nabi,R Shepherd,S Gopal,JJ Bumrah
1426268,54e52590,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bengaluru,1,2,0,0,24,0,64,0,0,1,0,0,1,-6,8,3,M Markande,Abhishek Sharma,TM Head,H Klaasen,AK Markram,Abdul Samad,Shahbaz Ahmed,PJ Cummins,B Kumar,JD Unadkat,T Natarajan
1426290,54e52590,2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,Vijaykumar Vyshak,Royal Challengers Bengaluru,0,0,0,0,21,4,24,0,1,2,0,1,0,122,22,144,WP Saha,Shubman Gill,B Sai Sudharsan,M Shahrukh Khan,DA Miller,R Tewatia,Rashid Khan,V Shankar,MJ Suthar,MM Sharma,Noor Ahmad
