match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335986,bcce309e,2008-04-20,Eden Gardens,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,0,1,0,0,18,2,10,1,0,0,0,0,-2,64,0,62,WP Saha,BB McCullum,RT Ponting,SC Ganguly,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,AB Dinda,M Kartik,I Sharma
335988,bcce309e,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,12,6,0,1,18,0,22,0,0,0,0,0,14,0,0,14,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,MF Maharoof,Mohammad Asif,VY Mahesh,GD McGrath
335990,bcce309e,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,0,0,0,0,24,1,42,0,0,0,0,0,0,23,0,23,Kamran Akmal,GC Smith,YK Pathan,SR Watson,M Kaif,RA Jadeja,SK Warne,D Salunkhe,Pankaj Singh,SK Trivedi,MM Patel
336002,bcce309e,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,0,3,0,0,24,2,36,0,0,0,0,0,-2,50,0,48,JH Kallis,W Jaffer,Misbah-ul-Haq,R Dravid,CL White,V Kohli,B Akhil,SP Goswami,R Vinay Kumar,A Kumble,DW Steyn
336014,bcce309e,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,9,8,0,0,18,1,36,0,0,0,0,0,9,21,0,30,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,Umar Gul,I Sharma,AB Dinda,M Kartik
392220,bcce309e,2009-05-11,De Beers Diamond Oval,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,20,15,0,1,24,2,19,1,0,0,1,0,24,64,12,100,GC Smith,SA Asnodkar,LA Carseldine,NV Ojha,YK Pathan,RA Jadeja,AS Raut,M Morkel,SK Warne,SK Trivedi,MM Patel
392223,bcce309e,2009-05-13,Kingsmead,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,10,6,1,0,26,3,52,0,0,0,0,0,11,75,0,86,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,V Sehwag,KD Karthik,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
419106,bcce309e,2010-03-12,Dr DY Patil Sports Academy,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,0,1,0,0,18,2,27,0,0,0,0,0,-2,50,0,48,MK Tiwary,BJ Hodge,SC Ganguly,CA Pujara,OA Shah,AD Mathews,WP Saha,LR Shukla,M Kartik,CK Langeveldt,I Sharma
419110,bcce309e,2010-03-14,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,0,0,0,0,24,3,21,1,1,0,0,0,0,103,0,103,M Vijay,ML Hayden,SK Raina,S Badrinath,JM Kemp,MS Dhoni,JA Morkel,R Ashwin,L Balaji,M Muralitharan,S Tyagi
419117,bcce309e,2010-03-19,Barabati Stadium,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,16,10,1,1,24,3,28,1,0,0,0,0,23,87,0,110,RS Bopara,MS Bisla,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,AB Barath,IK Pathan,PP Chawla,Bipul Sharma,S Sreesanth,SJ Srivastava
419120,bcce309e,2010-03-21,Barabati Stadium,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,3,2,0,0,24,2,21,1,0,0,0,1,3,62,6,71,DA Warner,V Sehwag,AB de Villiers,KD Karthik,M Manhas,MC Henriques,Y Nagar,A Mishra,UT Yadav,S Ladda,DP Nannes
419126,bcce309e,2010-03-26,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,8,13,0,0,18,0,29,0,0,0,0,0,6,0,0,6,MJ Lumb,NV Ojha,YK Pathan,FY Fazal,AC Voges,AA Jhunjhunwala,P Dogra,SK Warne,S Narwal,SK Trivedi,SW Tait
419160,bcce309e,2010-04-18,Feroz Shah Kotla,Indian Premier League,T20,20,WPUJC Vaas,Deccan Chargers,3,8,0,0,24,1,21,0,0,0,0,0,3,29,0,32,DA Warner,V Sehwag,TM Dilshan,G Gambhir,M Manhas,PD Collingwood,KD Karthik,A Mishra,A Nehra,DP Nannes,UT Yadav
