date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2009-04-19,Newlands,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,MK Tiwary,KD Karthik,DP Nannes,DL Vettori,VY Mahesh,AM Salvi,PJ Sangwan
2009-04-21,Kingsmead,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,Yashpal Singh,A Chopra,MC Henriques,LR Shukla,I Sharma,M Kartik,AB Dinda
2009-04-24,Kingsmead,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,24,4,31,1,0,0,0,0,0,116,0,116,JD Ryder,RV Uthappa,JH Kallis,KP Pietersen,R Dravid,LRPL Taylor,V Kohli,P Kumar,R Vinay Kumar,Pankaj Singh,A Kumble
2009-04-26,Newlands,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,24,3,21,2,0,0,0,0,0,99,0,99,SA Asnodkar,GC Smith,RJ Quiney,YK Pathan,AD Mascarenhas,RA Jadeja,AS Raut,SK Warne,M Rawat,MM Patel,Kamran Khan
2009-04-29,Kingsmead,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,24,2,20,1,0,0,0,0,0,62,0,62,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,SS Tiwary,Z Khan,PR Shah,SL Malinga
2009-05-01,Kingsmead,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,24,4,37,1,1,0,0,0,0,128,0,128,JD Ryder,SP Goswami,R Bishnoi,JH Kallis,RV Uthappa,V Kohli,MV Boucher,RE van der Merwe,P Kumar,A Kumble,KP Appanna
2009-05-03,St George's Park,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,24,1,34,0,0,0,0,0,0,25,0,25,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2009-05-05,Kingsmead,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,19,0,44,0,0,0,0,0,0,-6,0,-6,NV Ojha,GC Smith,YK Pathan,RA Jadeja,LA Carseldine,AS Raut,NK Patel,SK Warne,SM Harwood,SK Trivedi,A Singh
2009-05-07,SuperSport Park,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,S Badrinath,ML Hayden,SK Raina,MS Dhoni,JA Morkel,GJ Bailey,S Tyagi,SB Jakati,L Balaji,M Muralitharan,MS Gony
2010-03-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,1,0,0,24,1,31,0,0,0,0,0,-2,25,0,23,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,MF Maharoof,A Mishra,PJ Sangwan,VY Mahesh,DP Nannes
2010-03-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,YA Abdulla,Kings XI Punjab,0,0,0,0,17,0,36,0,0,0,0,0,0,-6,0,-6,MK Pandey,JH Kallis,RV Uthappa,V Kohli,R Dravid,EJG Morgan,MV Boucher,P Kumar,A Kumble,DW Steyn,R Vinay Kumar
