match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082591,1c914163,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,62,30,7,3,0,0,0,0,0,2,0,0,89,0,16,105,CH Gayle,Mandeep Singh,TM Head,KM Jadhav,SR Watson,Sachin Baby,STR Binny,S Aravind,TS Mills,YS Chahal,A Choudhary
1082596,1c914163,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
1082600,1c914163,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,5,8,1,0,0,0,0,0,0,0,0,0,6,0,0,6,PA Patel,JC Buttler,RG Sharma,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082604,1c914163,2017-04-15,Eden Gardens,Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,26,18,2,2,0,0,0,0,0,0,0,0,34,0,0,34,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,Kuldeep Yadav,UT Yadav,TA Boult
1082609,1c914163,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,HM Amla,M Vohra,GJ Maxwell,EJG Morgan,DA Miller,WP Saha,AR Patel,MM Sharma,KC Cariappa,I Sharma,Sandeep Sharma
1082611,1c914163,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,3,4,0,0,6,2,7,0,0,0,0,1,3,50,6,59,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
1082623,1c914163,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,15,12,2,0,0,0,0,0,0,0,0,0,17,0,0,17,MJ Guptill,M Vohra,SE Marsh,GJ Maxwell,EJG Morgan,WP Saha,AR Patel,Anureet Singh,MM Sharma,I Sharma,KC Cariappa
1082627,1c914163,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,6,7,0,0,0,0,0,0,0,0,0,0,6,0,0,6,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SP Jackson,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082630,1c914163,2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,70,43,11,1,6,0,16,0,0,0,0,0,95,0,0,95,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
1082634,1c914163,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,47,44,4,2,0,0,0,0,0,1,0,0,59,0,8,67,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MS Dhoni,DT Christian,MK Tiwary,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082638,1c914163,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,9,12,1,0,0,0,0,0,0,0,0,0,10,0,0,10,LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
1082648,1c914163,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,Yuvraj Singh,Sunrisers Hyderabad,9,9,2,0,0,0,0,0,0,0,0,0,11,0,0,11,RV Uthappa,CA Lynn,YK Pathan,G Gambhir,IR Jaggi,SA Yadav,SP Narine,PP Chawla,UT Yadav,NM Coulter-Nile,TA Boult
