date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,1,1,0,0,24,3,31,0,0,0,0,0,1,79,0,80,CH Gayle,SR Watson,Mandeep Singh,KM Jadhav,STR Binny,Vishnu Vinod,P Negi,Iqbal Abdulla,TS Mills,YS Chahal,B Stanlake
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,18,3,20,0,0,0,0,0,0,81,0,81,AM Rahane,MA Agarwal,F du Plessis,RA Tripathi,BA Stokes,MS Dhoni,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,0,38,0,0,1,0,0,0,0,8,8,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,2,29,0,0,1,0,0,0,50,8,58,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,0,37,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,0,37,0,0,0,0,0,0,0,0,0,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
2017-04-28,Eden Gardens,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,SP Narine,G Gambhir,RV Uthappa,MK Pandey,SP Jackson,YK Pathan,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,2,11,0,0,24,0,30,0,0,0,0,0,-4,0,0,-4,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-05-10,Green Park,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,0,35,0,0,1,0,0,0,0,8,8,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,0,0,0,0,24,2,25,1,0,0,0,0,0,60,0,60,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,Z Khan,Delhi Daredevils,1,1,0,0,24,2,32,0,0,1,0,1,1,50,14,65,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal
2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,Z Khan,Royal Challengers Bangalore,3,8,0,0,24,1,38,0,0,0,0,0,3,25,0,28,SC Ganguly,BB McCullum,RT Ponting,DJ Hussey,Mohammad Hafeez,LR Shukla,WP Saha,AB Agarkar,AB Dinda,M Kartik,I Sharma
2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,Z Khan,Royal Challengers Bangalore,0,0,0,0,24,4,21,1,0,1,0,1,0,120,14,134,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni
2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,Z Khan,Royal Challengers Bangalore,17,18,2,0,24,1,25,0,0,0,0,0,19,27,0,46,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,Z Khan,Royal Challengers Bangalore,8,6,1,0,24,3,39,1,0,0,0,0,9,87,0,96,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,Joginder Sharma,P Amarnath,MS Gony
