match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
392199,2009-04-29,Kingsmead,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,9,9,0,1,24,1,29,1,0,0,0,0,11,33,0,44,86dc8f2e,541f85c9,39f01cdb,ba607b88,f3cb53a1,93b4fc78,e938e1bc,e32d22f6,0c2730df,d92e42f5,b8a55852,db584dad,b57f8a9a,725529bc,710dd98c,fe11caa6,b1451597,fa463154,abfeb126,5bb1a1c4,66b30f71
392204,2009-05-01,Kingsmead,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,35,19,3,3,18,2,27,0,0,0,0,1,54,50,6,110,91ffa6c6,541f85c9,4d5a1617,86dc8f2e,1c17e270,ba607b88,f3cb53a1,e938e1bc,0c2730df,d92e42f5,1c914163,a1f1829d,fdedb37c,6b71e6cf,d18f9182,5fa06777,98ae73b1,5d096f3d,a76d10ba,5f26df4f,4353bba5
392208,2009-05-03,New Wanderers Stadium,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,0,0,0,0,18,1,28,0,0,0,0,0,0,25,0,25,86dc8f2e,619aa81f,1c17e270,0184dc35,ba607b88,f3cb53a1,d7a57f75,e938e1bc,41eb4a4f,0c2730df,f233bbb4,d2c2b2d5,29e95537,2e8994e7,87e562a9,a45a5e8d,0a476045,0aadc906,8b5b6769,91a4a398,a12e1d51
392213,2009-05-07,SuperSport Park,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,15,17,1,0,6,0,11,0,0,0,0,0,16,0,0,16,86dc8f2e,619aa81f,1c17e270,0184dc35,ba607b88,f3cb53a1,d7a57f75,e938e1bc,41eb4a4f,0c2730df,72861603,890946a0,d872f52a,3c6ffae8,fe93fd9d,c69a7b5c,a2870fb7,bb18be76,5bb5a915,f0f628c7,5b040b81
392218,2009-05-10,St George's Park,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,3,5,0,0,18,1,17,1,0,0,0,0,3,37,0,40,86dc8f2e,ba607b88,1c17e270,b61a3e1a,0184dc35,f3cb53a1,41eb4a4f,0c2730df,d92e42f5,66cf56a5,f233bbb4,d2c2b2d5,29e95537,2e8994e7,a45a5e8d,87e562a9,8b5b6769,4e04666c,f24ca2ba,d2a989fc,a12e1d51
392224,2009-05-14,Kingsmead,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,3,7,0,0,24,1,31,0,0,1,0,0,3,25,8,36,1c17e270,86dc8f2e,0184dc35,b61a3e1a,ba607b88,f3cb53a1,af7dadf7,e938e1bc,41eb4a4f,0c2730df,4b57e452,d8699ab7,1dc12ab9,4a8a2e3b,3eac9d95,3576e47e,c3d35165,c8179c68,b2b50355,4ba44e19,c24a2c5d
392232,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,0,0,0,0,24,1,31,1,0,0,0,0,0,33,0,33,1c17e270,86dc8f2e,0184dc35,b61a3e1a,f3cb53a1,ba607b88,e938e1bc,af7dadf7,0c2730df,93b4fc78,bb345e0b,8ba8195d,c42aaf71,c4487b84,c03f1114,16043342,662c47a6,ab89348d,d7c6af50,260fd380,96fd40ae
392236,2009-05-21,SuperSport Park,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,23,18,3,1,24,1,37,1,0,2,0,0,28,33,16,77,86dc8f2e,93b4fc78,0184dc35,b61a3e1a,ba607b88,1c17e270,f3cb53a1,e938e1bc,af7dadf7,0c2730df,2b6e6dec,e1d1b294,aaa1b522,bd77eb62,740742ef,fe763256,bff458c6,12eddf28,d7b3a420,c3d1402f,6c6591ab
392238,2009-05-23,New Wanderers Stadium,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,2,5,0,0,24,1,24,0,0,0,0,0,2,27,0,29,86dc8f2e,93b4fc78,0184dc35,ba607b88,b61a3e1a,1c17e270,f3cb53a1,e938e1bc,41eb4a4f,0c2730df,b5da6c24,d8699ab7,4a8a2e3b,1dc12ab9,c3d35165,3eac9d95,3576e47e,c8179c68,b2b50355,4ba44e19,ae78bc32
392239,2009-05-24,New Wanderers Stadium,Indian Premier League,T20,20,05c2ca46,Royal Challengers Bangalore,32,21,1,3,24,0,28,0,0,0,0,0,47,0,0,47,86dc8f2e,93b4fc78,0184dc35,b61a3e1a,ba607b88,f3cb53a1,1c17e270,e938e1bc,41eb4a4f,0c2730df,2b6e6dec,e1d1b294,aaa1b522,bd77eb62,740742ef,fe763256,bff458c6,12eddf28,6c6591ab,2a72fd4f,c3d1402f
