match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082596,2017-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0994d0ae,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,dcce6f09,0a476045,32198ae0,1c914163,73ad96ed,2e11c706,890946a0,c18496e1,2e81a32d,96fd40ae,5f547c8b
1082600,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,0994d0ae,Sunrisers Hyderabad,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0a476045,dcce6f09,73ad96ed,1c914163,2e11c706,890946a0,5f547c8b,2e81a32d,96fd40ae,0a8fce53,b5da6c24,99b75528,740742ef,fb2d1dda,a757b0d8,5b8c830e,dbe50b21,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082611,2017-04-19,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0994d0ae,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,dcce6f09,0a476045,d027ba9f,1c914163,32198ae0,73ad96ed,890946a0,2e81a32d,5f547c8b,2f49c897,dcf81436
1082615,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,0994d0ae,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,29e95537,77255a9e,30a45b23,4a8a2e3b,e087956b,26e5cabf,2a2e6343,f19ccfad,1abb78f8,1e66c162,acee4cc4
1082638,2017-05-08,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0994d0ae,Sunrisers Hyderabad,15,13,1,0,0,0,0,0,0,1,0,0,16,0,8,24,dcce6f09,0a476045,32198ae0,1c914163,62af8546,890946a0,2e81a32d,5f547c8b,dcf81436,2f49c897,89f64c19,b5da6c24,fb2d1dda,740742ef,dbe50b21,a757b0d8,119678fd,8b5b6769,51a3c5ef,462411b3,a12e1d51
1082643,2017-05-13,Green Park,Indian Premier League,T20,20,0994d0ae,Sunrisers Hyderabad,63,44,9,0,0,0,0,0,0,0,0,0,82,0,0,82,dcce6f09,0a476045,32198ae0,73ad96ed,62af8546,890946a0,2e81a32d,5f547c8b,dcf81436,2f49c897,35205dfc,752f7486,1dc12ab9,c03f1114,b8d490fd,fe93fd9d,808f425a,9fc0ef64,f18ba07f,e938e1bc,f0f628c7
1082648,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,0994d0ae,Sunrisers Hyderabad,22,18,2,1,0,0,0,0,0,0,0,0,26,0,0,26,dcce6f09,0a476045,d027ba9f,1c914163,890946a0,ffe699c0,c18496e1,2e81a32d,5f547c8b,dcf81436,1c17e270,45eda7c8,3c6ffae8,bb345e0b,dded65e7,271f83cd,9d430b40,98ae73b1,cc1e8c68,56ab442f,a818c1be
1136562,2018-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,13,14,0,0,0,0,0,0,0,1,0,0,13,0,8,21,af2c687b,bb345e0b,85ec8e33,919a3be2,39a2dfa8,fb66ce1f,2a2e6343,6b19d823,a818c1be,8cf9814c,b17e2f24,00ea847a,1c914163,944533a5,d67d5f00,d9273ee7,2e171977,495d42a5,7c7d63a2,759ac88f,7d92277a
1136566,2018-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,b681e71e,af2c687b,919a3be2,fb66ce1f,85ec8e33,bb345e0b,39a2dfa8,9d80c5e1,a818c1be,8cf9814c,29e95537,1a156c88,e087956b,a4cc73aa,99b75528,77255a9e,90de905a,7a8bd078,d2a989fc,1e66c162,b2a79f17
1136569,2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d1c36f5c,bb345e0b,919a3be2,b681e71e,85ec8e33,2a2e6343,39a2dfa8,9d80c5e1,8cf9814c,a818c1be,271f83cd,0ebfb1ad,752f7486,740742ef,a757b0d8,5b8c830e,dbe50b21,5b16a806,a9fd84fb,462411b3,0a8fce53
1136573,2018-04-16,Eden Gardens,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,2,4,0,0,6,0,12,0,0,0,0,0,2,0,0,2,bb345e0b,d1c36f5c,85ec8e33,919a3be2,b681e71e,39a2dfa8,fb66ce1f,8cf9814c,9d80c5e1,a818c1be,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,b4b99816,e86754b2,98ae73b1,c38d3503,8d2c70ad
1136579,2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d1c36f5c,bb345e0b,85ec8e33,919a3be2,b681e71e,39a2dfa8,fb66ce1f,9d80c5e1,f986ca1a,a818c1be,372455c4,c03e2850,ba607b88,c4487b84,8abdf100,c3a96caf,f19ccfad,4c5d73db,cc1e8c68,2f49c897,57ee1fde
1136586,2018-04-27,Arun Jaitley Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,8b3e9c7c,af2c687b,85ec8e33,919a3be2,b681e71e,39a2dfa8,9a963804,6b19d823,eef2536f,a818c1be,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,b4b99816,bbd41817,c38d3503,98ae73b1,f5180fe6,8d2c70ad
1136590,2018-04-30,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,54,33,1,5,13,1,22,0,0,0,0,0,77,23,0,100,8b3e9c7c,af2c687b,85ec8e33,919a3be2,b681e71e,39a2dfa8,9a963804,6b19d823,eef2536f,a818c1be,4329fbb5,3355b542,1dc12ab9,70d205c9,4a8a2e3b,fe93fd9d,87e562a9,119678fd,8b5b6769,798cc28e,f834dcfc
1136592,2018-05-02,Arun Jaitley Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,17,7,2,1,0,0,0,0,0,1,0,0,21,0,8,29,8b3e9c7c,af2c687b,85ec8e33,919a3be2,b681e71e,9a963804,6b19d823,9d80c5e1,eef2536f,a818c1be,1a156c88,99b75528,a4cc73aa,e087956b,77255a9e,90de905a,5574750c,29e95537,1e66c162,d2a989fc,7a8bd078
1136596,2018-05-05,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,23,13,1,1,0,0,0,0,0,0,0,0,32,0,0,32,8b3e9c7c,b681e71e,85ec8e33,919a3be2,890946a0,2a2e6343,9a963804,6b19d823,eef2536f,a818c1be,92aeac25,0a476045,d027ba9f,93b4fc78,3c6ffae8,7dc35884,fe11caa6,2e81a32d,5f547c8b,dcf81436,ce820073
1136602,2018-05-10,Arun Jaitley Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,8b3e9c7c,d1c36f5c,85ec8e33,919a3be2,f986ca1a,b681e71e,9a963804,9d80c5e1,6b19d823,a818c1be,92aeac25,0a476045,d027ba9f,93b4fc78,7dc35884,3c6ffae8,541f85c9,5f547c8b,2e81a32d,dcf81436,ce820073
1136605,2018-05-12,Arun Jaitley Stadium,Indian Premier League,T20,20,0994d0ae,Delhi Daredevils,21,20,2,0,0,0,0,0,0,0,0,0,23,0,0,23,8b3e9c7c,d1c36f5c,85ec8e33,919a3be2,f29185a1,f986ca1a,6b19d823,b410bd3d,1cb14aa4,a818c1be,b5da6c24,bb351c23,ba607b88,c4487b84,c3a96caf,f088b960,94d7f855,13c35c9e,cc1e8c68,2f49c897,57ee1fde
