match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136563,2018-04-08,Eden Gardens,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,6,7,1,0,0,0,0,0,0,1,0,0,7,0,8,15,9d430b40,45eda7c8,1c17e270,fb2d1dda,c03f1114,bbd41817,41eb4a4f,98ae73b1,f5180fe6,8d2c70ad,b8a55852,372455c4,ba607b88,c4487b84,f088b960,c3a96caf,4c5d73db,f19ccfad,cc1e8c68,fa2f1dde,57ee1fde
1136565,2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,2,4,0,0,0,0,0,0,0,1,0,0,2,0,8,10,45eda7c8,9d430b40,1c17e270,fb2d1dda,c03f1114,bbd41817,e86754b2,41eb4a4f,8d2c70ad,98ae73b1,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,c16d4035,fe93fd9d,87e562a9,23eeb873,8b5b6769,1abb78f8,acee4cc4
1136593,2018-05-03,Eden Gardens,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,16,20,2,0,0,0,0,0,0,0,0,0,18,0,0,18,45eda7c8,9d430b40,1c17e270,b4b99816,c03f1114,bbd41817,c38d3503,98ae73b1,f5180fe6,8d2c70ad,4329fbb5,3355b542,1dc12ab9,70d205c9,4a8a2e3b,fe93fd9d,119678fd,87e562a9,8b5b6769,798cc28e,f834dcfc
1136597,2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,0a509d6b,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,271f83cd,0ebfb1ad,740742ef,dbe50b21,5b8c830e,2e8994e7,752f7486,2e11c706,51a3c5ef,a9fd84fb,462411b3
1136601,2018-05-09,Eden Gardens,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,5,3,1,0,0,0,0,0,0,2,0,0,6,0,16,22,9d430b40,45eda7c8,1c17e270,fb2d1dda,bbd41817,c03f1114,e86754b2,98ae73b1,8d2c70ad,85e0cf10,271f83cd,0ebfb1ad,740742ef,752f7486,dbe50b21,2e11c706,5b8c830e,2e8994e7,51a3c5ef,a9fd84fb,462411b3
1136614,2018-05-19,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0a509d6b,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,0a476045,541f85c9,d027ba9f,93b4fc78,3c6ffae8,e342e5fb,7dc35884,5f547c8b,2e81a32d,dcf81436,ce820073
1178413,2019-04-21,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,30,25,1,2,0,0,0,0,0,0,0,0,39,0,0,39,45eda7c8,9d430b40,b4b99816,fb2d1dda,c03f1114,bbd41817,98ae73b1,cfa4bd2b,edb3d4f8,e412cb64,dcce6f09,abb83e27,d027ba9f,0994d0ae,3c6ffae8,73ad96ed,5f547c8b,2e81a32d,9d80c5e1,a2f46292,ce820073
1178418,2019-04-25,Eden Gardens,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,3,3,0,0,0,0,0,0,0,1,0,0,3,0,8,11,45eda7c8,b4b99816,fb2d1dda,c03f1114,9d430b40,bbd41817,e342e5fb,98ae73b1,cfa4bd2b,85e0cf10,29e95537,a4cc73aa,30a45b23,e087956b,04a418e8,bd17b45f,7a8bd078,5574750c,1e66c162,0a3d54b9,c6097d68
1178422,2019-04-28,Eden Gardens,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b4b99816,45eda7c8,bbd41817,c03f1114,9d430b40,1c17e270,fb2d1dda,98ae73b1,e412cb64,cdc6bdba,372455c4,740742ef,0ebfb1ad,271f83cd,a757b0d8,dbe50b21,5b8c830e,d8b2f218,2ed569a0,a12e1d51,462411b3
1178427,2019-05-03,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,0a509d6b,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b4b99816,45eda7c8,1c17e270,bbd41817,c03f1114,9d430b40,fb2d1dda,98ae73b1,e412cb64,cdc6bdba,db584dad,b17e2f24,00ea847a,3241e3fd,c3a96caf,e94915e6,495d42a5,7c7d63a2,8cf9814c,e2db2409,244048f6
