match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1359479,2023-04-02,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,12314277,Mumbai Indians,15,9,0,1,14,1,29,0,0,0,0,0,17,19,0,36,4933f499,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,d1a60072,f1f99156,0c9652b0,98ae73b1,ba607b88,3355b542,c03f1114,b681e71e,e38bce7a,f9e6e7ef,f986ca1a,0a67aec0,8db7f47f,2f49c897,119678fd
1359486,2023-04-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,12314277,Mumbai Indians,2,4,0,0,13,0,35,0,0,0,0,0,2,-6,0,-4,f6d8a7ab,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,f1f99156,85b3fab2,0c9652b0,98ae73b1,23eeb873,df5a6881,45a43fe2,29e95537,a4e37e47,70d205c9,fe93fd9d,4a8a2e3b,11614d87,e4a0deae,8361e524
1359490,2023-04-11,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,12314277,Mumbai Indians,0,0,0,0,6,0,12,0,0,1,0,0,0,0,8,8,64775749,740742ef,752f7486,b0482a1d,271f83cd,f1f99156,eaa76d3c,d1a60072,0c9652b0,4933f499,2cffab74,dcce6f09,8b3e9c7c,93b4fc78,dd7e9b3b,650d5e49,ad427b5c,2e171977,ad3b6e95,8d2c70ad,acdc62f5
1359516,2023-04-30,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,12314277,Mumbai Indians,0,0,0,0,18,3,40,0,0,0,0,0,0,73,0,73,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,f1f99156,98ae73b1,5574750c,f6d8a7ab,64775749,2e78f685,6c19c6e5,99b75528,a4cc73aa,2c25d4f5,0f721006,48a1d7b7,bcf325d2,495d42a5,a818c1be,ce820073
1359520,2023-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,12314277,Mumbai Indians,0,0,0,0,24,1,48,0,0,0,0,0,0,21,0,21,4bd09374,740742ef,752f7486,eaa76d3c,271f83cd,f1f99156,b0482a1d,d1a60072,98ae73b1,5574750c,9eb1455b,9418198b,0a476045,a90e53ec,50c6bc2b,800d2d97,e94915e6,7dcb9bc9,c05edf8e,26a85969,2ed569a0
1359523,2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,12314277,Mumbai Indians,1,2,0,0,10,0,28,0,0,0,0,0,1,0,0,1,266849c1,eaa76d3c,752f7486,740742ef,d1a60072,271f83cd,85b3fab2,f1f99156,5574750c,98ae73b1,f24c6701,45a43fe2,df5a6881,29e95537,70d205c9,a4e37e47,4a8a2e3b,bb351c23,fe93fd9d,23eeb873,64839cb3
1426264,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,12314277,Lucknow Super Giants,20,17,2,0,19,0,34,0,0,1,0,0,22,-2,8,28,372455c4,b17e2f24,2c25d4f5,d9273ee7,3241e3fd,73ad96ed,872b03f7,5b8c830e,df064e1a,c0c411cb,a2f46292,8b3e9c7c,dcce6f09,9b6e1b3f,919a3be2,85b3fab2,1fc6ef83,2e171977,8d2c70ad,2cffab74,5bb1a1c4
1426266,2024-04-14,"Eden Gardens, Kolkata",Indian Premier League,T20,20,12314277,Lucknow Super Giants,5,4,1,0,12,0,25,0,0,0,0,0,6,-6,0,0,372455c4,b17e2f24,73ad96ed,872b03f7,d9273ee7,3241e3fd,5b8c830e,c33d8116,df064e1a,97290faf,5b7ab5a9,3d284ca3,9d430b40,d7017798,85ec8e33,a24be938,bbd41817,be24ead0,3fb19989,7c3b3b78,77b1aa15
1426302,2024-05-14,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,12314277,Lucknow Super Giants,58,34,3,5,18,1,45,0,0,0,0,0,85,19,0,104,c33d8116,372455c4,b17e2f24,d9273ee7,73ad96ed,3241e3fd,872b03f7,5b8c830e,4885bbe6,df064e1a,5bb1a1c4,9b6e1b3f,ad3b6e95,1fc6ef83,919a3be2,85b3fab2,2e171977,9f77963a,b8527c3d,2cffab74,8d2c70ad
1426305,2024-05-17,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,12314277,Lucknow Super Giants,0,1,0,0,12,0,11,0,0,0,0,0,-2,4,0,2,c0c411cb,b17e2f24,2c25d4f5,d9273ee7,73ad96ed,3241e3fd,872b03f7,5b8c830e,e84ac20c,df064e1a,ee1b6c27,740742ef,844e79d1,271f83cd,752f7486,dbe50b21,d1a60072,fffa744b,c5aef772,fcc21ace,98ae73b1
