match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1082593,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,68,52,7,0,0,0,0,0,0,0,0,0,85,0,0,85,d1c36f5c,b8a55852,b8d490fd,c03f1114,35205dfc,ae78bc32,e938e1bc,c8179c68,d2a989fc,1da489ff,bb345e0b,45eda7c8,1c17e270,93b4fc78,3c6ffae8,271f83cd,4c5d73db,98ae73b1,8d2c70ad,9d430b40,a818c1be
1082596,2017-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,5,8,0,0,12,0,24,0,0,0,0,0,5,-4,0,1,d1c36f5c,b8a55852,b8d490fd,c03f1114,35205dfc,d2a989fc,e938e1bc,871e9faf,c28e9f12,1da489ff,dcce6f09,0a476045,32198ae0,1c914163,73ad96ed,2e11c706,890946a0,c18496e1,2e81a32d,96fd40ae,5f547c8b
1082603,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,35,23,4,1,6,0,9,0,0,1,0,0,49,0,8,57,35205dfc,b8a55852,c03f1114,b8d490fd,752f7486,fe93fd9d,e938e1bc,871e9faf,7c7d63a2,c8179c68,29e95537,77255a9e,30a45b23,e087956b,26e5cabf,4a8a2e3b,24d94623,1abb78f8,2f9d0389,2ed569a0,acee4cc4
1082606,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,28,29,2,0,0,0,0,0,0,0,0,0,30,0,0,30,35205dfc,b8a55852,752f7486,c03f1114,d1c36f5c,fe93fd9d,e938e1bc,871e9faf,7c7d63a2,f0f628c7,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,dbe50b21,5b8c830e,8b5b6769,51a3c5ef,a12e1d51,462411b3
1082610,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,23,8,2,2,0,0,0,0,0,0,0,0,29,0,0,29,35205dfc,b8a55852,b8d490fd,c03f1114,fe93fd9d,752f7486,7c7d63a2,871e9faf,d2a989fc,1da489ff,db584dad,ba607b88,12b610c2,99d63244,4329fbb5,c3a96caf,bd17b45f,f62772e5,350bb1b1,957532de,57ee1fde
1082613,2017-04-21,Eden Gardens,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,84,46,9,4,12,1,11,0,0,1,0,0,115,29,8,152,b8d490fd,b8a55852,c03f1114,752f7486,35205dfc,fe93fd9d,808f425a,e938e1bc,871e9faf,d2a989fc,9d430b40,bb345e0b,1c17e270,93b4fc78,3c6ffae8,271f83cd,7dc35884,4c5d73db,56ab442f,8d2c70ad,cc1e8c68
1082616,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,32,24,4,0,6,0,6,0,0,1,0,0,42,0,8,50,b8a55852,b8d490fd,c03f1114,fe93fd9d,35205dfc,f10e94c4,7c7d63a2,871e9faf,b51f72a5,b822e99c,c03e2850,e798611a,508a1ea7,b681e71e,d9273ee7,2e171977,fe11caa6,759ac88f,edb3d4f8,ce794613,ce820073
1082621,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,34,31,4,1,0,0,0,0,0,1,0,0,44,0,8,52,752f7486,b8a55852,b8d490fd,fe93fd9d,c03f1114,808f425a,7c7d63a2,871e9faf,b822e99c,f18ba07f,db584dad,ba607b88,c4487b84,12b610c2,99d63244,c3a96caf,f62772e5,76388dc8,957532de,18e6906e,57ee1fde
1082625,2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,1,3,0,0,24,0,28,0,0,0,0,0,1,0,0,1,752f7486,b8a55852,b8d490fd,c03f1114,fe93fd9d,808f425a,5fa06777,7c7d63a2,871e9faf,f18ba07f,b5da6c24,99b75528,fb2d1dda,740742ef,a757b0d8,5b8c830e,dbe50b21,8b5b6769,51a3c5ef,462411b3,a12e1d51
1082629,2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,1dc12ab9,Gujarat Lions,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,8,752f7486,b8a55852,b8d490fd,35205dfc,c03f1114,fe93fd9d,808f425a,9fc0ef64,871e9faf,f18ba07f,29e95537,77255a9e,30a45b23,26e5cabf,e087956b,4a8a2e3b,2a2e6343,f19ccfad,1e66c162,1abb78f8,acee4cc4
