match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1136577,2018-04-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,235c2bb6,Rajasthan Royals,7,7,1,0,0,0,0,0,0,0,0,0,8,0,0,8,29e95537,a4cc73aa,e087956b,99b75528,77255a9e,bd17b45f,90de905a,7a8bd078,1e66c162,b2a79f17,4329fbb5,70d205c9,1dc12ab9,4a8a2e3b,c16d4035,87e562a9,fe93fd9d,23eeb873,119678fd,1abb78f8,acee4cc4
1136581,2018-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,235c2bb6,Rajasthan Royals,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,29e95537,77255a9e,a4cc73aa,e087956b,99b75528,5574750c,90de905a,1e66c162,d2a989fc,7a8bd078,271f83cd,0ebfb1ad,752f7486,a757b0d8,740742ef,5b8c830e,dbe50b21,51a3c5ef,a9fd84fb,462411b3,0a8fce53
1136613,2018-05-19,Sawai Mansingh Stadium,Indian Premier League,T20,20,235c2bb6,Rajasthan Royals,32,22,3,1,0,0,0,0,0,1,0,0,43,0,8,51,77255a9e,5574750c,29e95537,a4cc73aa,90de905a,bd17b45f,7a8bd078,641ac5ff,1e66c162,b2a79f17,ba607b88,b5da6c24,c4487b84,bb351c23,c3a96caf,94d7f855,f088b960,13c35c9e,cc1e8c68,2f49c897,57ee1fde
1136618,2018-05-23,Eden Gardens,Indian Premier League,T20,20,235c2bb6,Rajasthan Royals,18,18,1,0,0,0,0,0,0,1,0,0,19,0,8,27,29e95537,77255a9e,a4cc73aa,bd17b45f,90de905a,5574750c,7a8bd078,641ac5ff,1e66c162,b2a79f17,9d430b40,45eda7c8,1c17e270,fb2d1dda,c03f1114,b4b99816,bbd41817,99ed60f8,98ae73b1,8d2c70ad,85e0cf10
1175372,2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,235c2bb6,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,Unknown_Player,b5da6c24,ba607b88,c4487b84,d9273ee7,bb351c23,f10e94c4,f62772e5,21d4e29b,13c35c9e,57ee1fde,2f49c897
1178410,2019-04-19,Eden Gardens,Indian Premier League,T20,20,235c2bb6,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b5da6c24,ba607b88,f10e94c4,bb351c23,d9273ee7,f62772e5,8fd1a8f5,2f49c897,57ee1fde,21d4e29b,45eda7c8,9d430b40,b4b99816,1c17e270,fb2d1dda,bbd41817,c03f1114,98ae73b1,8d2c70ad,e412cb64,85e0cf10
1178421,2019-04-28,Arun Jaitley Stadium,Indian Premier League,T20,20,235c2bb6,Royal Challengers Bangalore,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,b5da6c24,ba607b88,c4487b84,a4e37e47,6eb146d2,d9273ee7,f19ccfad,cc1e8c68,57ee1fde,21d4e29b,8b3e9c7c,0a476045,85ec8e33,919a3be2,c995d726,d014d5ac,2e171977,b410bd3d,6b19d823,e62dd25d,5bb1a1c4
1178424,2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,235c2bb6,Royal Challengers Bangalore,6,7,0,0,0,0,0,0,0,0,0,0,6,0,0,6,ba607b88,c4487b84,d9273ee7,6eb146d2,b5da6c24,f62772e5,cc1e8c68,21d4e29b,fa2f1dde,57ee1fde,a4cc73aa,50c6bc2b,29e95537,30a45b23,04a418e8,bd17b45f,da934ee8,7a8bd078,1e66c162,0a3d54b9,c6097d68
1359488,2023-04-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4ae1755b,00ea847a,77255a9e,6a26221c,f19ccfad,81c36ee9,a9fd84fb,2e81a32d,81c08fa3,ce794613,9418198b,0a476045,a90e53ec,800d2d97,e94915e6,26d041c4,7dcb9bc9,c05edf8e,2ed569a0,9eb1455b,9a5f2863
1359493,2023-04-14,"Eden Gardens, Kolkata",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,16,7,2,1,0,0,0,0,0,0,0,0,20,0,0,20,f19ccfad,4ae1755b,00ea847a,77255a9e,6a26221c,f29185a1,81c36ee9,a9fd84fb,2e81a32d,81c08fa3,9440ef41,0bacade8,bd54eef5,a24be938,9d430b40,fb2d1dda,bbd41817,0a509d6b,1abb78f8,cc1e8c68,2f9d0389
1359499,2023-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,36,17,4,2,0,0,0,0,0,0,0,0,54,0,0,54,ce794613,4ae1755b,00ea847a,77255a9e,6a26221c,f29185a1,8e514b4c,81c36ee9,f19ccfad,2e81a32d,64775749,740742ef,752f7486,eaa76d3c,271f83cd,b0482a1d,f1f99156,d1a60072,44aac2f0,0c9652b0,98ae73b1
1359503,2023-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,17,16,1,0,0,0,0,0,0,0,0,0,18,0,0,18,a457cfb5,4ae1755b,f29185a1,77255a9e,6a26221c,00ea847a,81c36ee9,f19ccfad,2e81a32d,a9fd84fb,b483905d,45a43fe2,df5a6881,29e95537,70d205c9,bb351c23,a4e37e47,fe93fd9d,4a8a2e3b,46a9bea1,f24c6701
1359508,2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,31,19,3,1,0,0,0,0,0,1,0,3,44,0,26,70,ce794613,4ae1755b,00ea847a,77255a9e,f29185a1,6a26221c,f19ccfad,81c36ee9,a9fd84fb,2e81a32d,2cffab74,dcce6f09,3d284ca3,3d8feaf8,f088b960,93b4fc78,378daa89,2e171977,60500956,acdc62f5,8d2c70ad
1359514,2023-04-29,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,53,30,2,4,0,0,0,0,0,0,0,0,77,0,0,77,ce794613,f29185a1,00ea847a,77255a9e,6a26221c,4ae1755b,8e514b4c,4d7f517e,a9fd84fb,2e81a32d,5bb1a1c4,dcce6f09,3d284ca3,3d8feaf8,93b4fc78,bb965e9a,f088b960,2e171977,60500956,8d2c70ad,acdc62f5
1359521,2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,36,20,1,3,0,0,0,0,0,1,0,1,53,0,14,67,ce794613,f29185a1,00ea847a,77255a9e,6a26221c,4ae1755b,8e514b4c,81c36ee9,2e81a32d,a9fd84fb,d1c36f5c,0bacade8,a24be938,fb2d1dda,0a509d6b,bbd41817,9d430b40,1abb78f8,e4cdf230,77b1aa15,7c3b3b78
1359526,2023-05-07,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,26,12,2,2,0,0,0,0,0,0,0,0,38,0,0,38,ce794613,1399b39c,f29185a1,77255a9e,6a26221c,9a46c4e5,8e514b4c,81c36ee9,1b7b0fa7,a9fd84fb,529eb9e0,6c19c6e5,99b75528,a4cc73aa,48a1d7b7,a343262c,bcf325d2,495d42a5,ce820073,e2db2409,030f3089
1359532,2023-05-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,47,30,3,3,0,0,0,0,0,0,0,0,64,0,0,64,1b7b0fa7,1399b39c,f29185a1,77255a9e,6a26221c,9a46c4e5,8e514b4c,2e81a32d,ce794613,a9fd84fb,6b19d823,73c18486,372455c4,663b5e34,d9273ee7,3241e3fd,5b8c830e,4b31f3a3,df064e1a,4885bbe6,eef2536f
1359536,2023-05-15,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,64,46,4,3,0,0,0,0,0,1,0,1,84,0,14,98,ce794613,1399b39c,f29185a1,6a26221c,77255a9e,b0f2baf4,8e514b4c,81c36ee9,2e81a32d,a9fd84fb,7210d461,fe11caa6,b4b99816,d5130a30,dbe50b21,d67d5f00,39a2dfa8,3ff033bb,5f547c8b,efc04be7,8cf9814c
1359539,2023-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,104,52,8,6,0,0,0,0,0,0,0,0,146,0,0,146,ce794613,f29185a1,77255a9e,6a26221c,4ae1755b,9a46c4e5,8e514b4c,2e81a32d,5d2eea49,a457cfb5,ba607b88,3355b542,b681e71e,e38bce7a,da934ee8,c8f5f961,f9e6e7ef,f986ca1a,3a60e0b5,119678fd,2f49c897
1359543,2023-05-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,18,13,2,0,0,0,0,0,0,0,0,0,22,0,0,22,5d2eea49,1b7b0fa7,00ea847a,9a46c4e5,6a26221c,4ae1755b,b0f2baf4,aad0c365,a457cfb5,2e81a32d,752f7486,740742ef,eaa76d3c,271f83cd,f1f99156,d1a60072,ffe699c0,98ae73b1,4933f499,f6d8a7ab,4bd09374
1422121,2024-03-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,235c2bb6,Sunrisers Hyderabad,63,30,0,8,0,0,0,0,0,0,0,0,93,0,0,93,ce794613,00ea847a,f29185a1,77255a9e,6a26221c,8e514b4c,f9e6e7ef,81c36ee9,ded9240e,2e81a32d,9440ef41,3d284ca3,9d430b40,a24be938,85ec8e33,fb2d1dda,be24ead0,0a509d6b,bbd41817,3fb19989,77b1aa15
